line id verse number,urdu transliteration text,english translation text
,"@HujjatELC
Aa Ay Mere Hussain Mere Godh May Aaja- Oh my Hussain Come into my lap",Aa Ay Mere Husayn Meri Godh Me Aaja[Sayyidah Fatimah]: O MY HUSAYN! COME INTO MY EMBRACEEnglish Transliteration
,"Aa Ay Mere Husayn Meri Godh Me AajaAaja Mere Bachche Meri Aaghosh Me Aaja
COME, MY SON, COME INTO MY ARMS
@HujjatELC",[Sayyidah Fatimah]: O MY HUSAYN! COME INTO MY EMBRACE
,"Ashoor Ka Suraj Hai Qayamat Ki Ghari HaiBhayi Ka Gala Kat-ta Bahan Dekh Rahi HaiMaqtal Me Kisi Maa Ki Sada Goonj Rahi Hai
@HujjatELC","THE MORNING OF ASHURA HAS RISEN, THE APOCALYPSE HAS ARRIVED
A BROTHER’S NECK IS SEVERED WHILE HIS SISTER WATCHES
A MOTHER’S CRY IN THE BATTLEFIELD ECHOES …"
,"Mere Liye Ay Laal Tu Asghar Ki Tarha HaiGodi Meri Gehwaara Hai Bistar Ki Tarha HaiIs Dhoop May Daaman Mera Chadar Ki Tarha Hai
@HujjatELC","FOR ME, MY BELOVED, YOU ARE JUST LIKE ALI ASGHAR
FOR YOU, MY EMBRACE IS JUST LIKE A CRADLE
IN THIS SCORCHING SUN, MY CLOAK IS LIKE A COVER FOR YOU …"
,"Mai Maa Hoon Mera Dil Nahi Senay May SambhaltaNazuk Yeh Badan Tera Yeh Jalta Hua SehraAur Is Pe Sitam Yeh Hai Ke Tu Rehgaya Pyaasa
@HujjatELC","I AM A MOTHER, MY LOVE CANNOT BE CONTAINED IN MY HEART
YOUR FRAIL BODY; THIS BURNING DESERT
AND EVEN MORE CRUEL IS THAT YOU REMAINED THIRSTY …"
,"Mai Godh May Lelu Tujhe Seenay Se LagaloonSeene Pe Sakina Ki Tarha Tujh Ko SulaloonSeene Se Tere Teer Me Palko Se Nikaaloon
@HujjatELC","I WILL TAKE YOU IN MY ARMS, HUG YOU TIGHT TO MY CHEST
JUST LIKE SAKINA, I WILL MAKE YOU SLEEP ON MY CHEST
I WILL REMOVE THE ARROWS FROM YOUR CHEST EVER SO GENTLY …"
,"Aakar Mere Zaanu Pe Jo Sojaate Thay BetaChakki Ki Mashakhat Pe Bhi Pehlu Nahi BadlaAb Kaise Tujhe Chhor Doo Makhtal May Akela
@HujjatELC
Aa Ay Mere Hussain Mere Godh May Aaja- Oh my Hussain Come into my lap","YOU USED TO COME AND SLEEP ON MY KNEE
I DID NOT MOVE AN INCH, IN SPITE OF THE DIFFCULTY OF GRINDING THE GRAIN
HOW CAN I NOW LEAVE YOU ALL ALONE IN THIS BATTLEFIELD …"
,"Teri Bhi To Aulaad Hai Tu Bhi To Padar HaiAulaad Ka Gham Kya Hai Yeh Tujh Ko Bhi Khabar HaiGham Bachche Ka Sehjaye Yeh Kis Maa Ka Jigar Hai
@HujjatELC","YOU TOO HAVE CHILDREN, YOU ARE ALSO A FATHER
YOU ALSO KNOW WHAT IT IS TO SUFFER THE PAIN OF ONE'S CHILD
WHICH MOTHER IS ABLE TO ENDURE THE GRIEF OF HER CHILD …?"
,"Tu Layt-gaya Thak Kay To Is Jalti Zameen ParYeh Kiska Lahoo Tune Mala Rooye-haseen ParMat Khaakh Pe So Laal Teri Maa Hai Yahi Par
@HujjatELC","YOU HAVE LAYED DOWN THROUGH SHEER EXHAUSTION ON THE BURNING SANDS
WHOSE BLOOD IS THIS THAT YOU HAVE WIPED ON YOUR BEAUTIFUL FACE?
DO NOT SLEEP ON THE GROUND MY SON! YOUR MOTHER IS HERE …"
,"Jo Dil Pe Tere Guzri Mai Sab Dekh Rahi ThiHar Laash Uthaane Mai Tere Saath Gayi ThiAb Baat Woh Kehti Hoon Jo Bachpan May Kahi Thi
@HujjatELC","WHATEVER PAIN YOU HAVE GONE THROUGH, I WITNESSED IT ALL
I WAS WITH YOU AT EVERY DEAD BODY THAT YOU BROUGHT BACK TO THE TENTS
I NOW SAY TO YOU WHAT I HAD SAID TO YOU IN YOUR CHILDHOOD …"
