line id verse number,urdu transliteration text,english translation text
,"@HujjatELC
Aa Ay Mere Hussain Mere Godh May Aaja- Oh my Hussain Come into my lap",Aa Ay Mere Hussain Mere Godh May AajaOH MY HUSSAIN! COME INTO MY ARMS(Syeda Fatima s.a telling Imam Hussain a.s.)English Transliteration
,"Aa Ay Mere Hussain Mere Godh May AajaAaja Mere Bachche Meri Aaghosh May Aaja
COME MY CHILD, COME INTO MY ARMS
@HujjatELC
Aa Ay Mere Hussain Mere Godh May Aaja- Oh my Hussain Come into my lap",O MY HUSSAIN! COME INTO MY ARMS
,"Ashoor Ka Suraj Hai Qayamat Ki Ghadi HaiBhai Ka Gala Kat-tha Behan Dekh Rahi HaiMakhtal May Kisi Maa Ki Sada Goonj Rahi Hai
THE SISTER IS WATCHING HER BROTHER'S NECK BEING SEVERED
@HujjatELC
Aa Ay Mere Hussain Mere Godh May Aaja- Oh my Hussain Come into my lap","THE SUN OF ASHURA IS SCORCHING, THE HOUR OF CALAMATY IS HERE
A MOTHER'S CRY (SYEDA FATIMA S.A.) IS ECHOING IN THE BATTLEFIELD"
,"Mere Liye Ay Laal Tu Asghar Ki Tarha HaiGodi Meri Gehwaara Hai Bistar Ki Tarha HaiIs Dhoop May Daaman Mera Chadar Ki Tarha Hai
@HujjatELC
Aa Ay Mere Hussain Mere Godh May Aaja- Oh my Hussain Come into my lap","O MY SON! YOU ARE LIKE ALI ASGHER FOR ME,
MY LAP IS LIKE A CRADLE FOR YOU,
IN THIS SCORCHING SUN, MY VEIL IS A COVER FOR YOU"
,"Mai Maa Hoon Mera Dil Nahi Senay May SambhaltaNazuk Yeh Badan Tera Yeh Jalta Hua SehraAur Is Pe Sitam Yeh Hai Ke Tu Rehgaya Pyaasa
@HujjatELC
Aa Ay Mere Hussain Mere Godh May Aaja- Oh my Hussain Come into my lap","AS A MOTHER IT IS PAINFUL TO SEE THIS,
YOUR FRAIL BODY IN THIS BURNING DESERT,
AND THE CALAMITY IS THAT YOU REMAIN THIRSTY"
,"Mai Godh May Lelu Tujhe Seenay Se LagaloonSeene Pe Sakina Ki Tarha Tujh Ko SulaloonSeene Ke Tere Teer Mai Palko Se Nikaaloon
@HujjatELC
Aa Ay Mere Hussain Mere Godh May Aaja- Oh my Hussain Come into my lap","I WILL TAKE YOU IN MY LAP, AND HUG YOU TO MY CHEST,
I WILL PUT YOU TO SLEEP ON MY CHEST LIKE SAKINA,
I WILL GENTLY TAKE OUT THE ARROWS FROM YOUR CHEST"
,"Aakar Mere Zaanu Pe Jo Sojaate Thay BetaChakki Ki Mashakhat Pe Bhi Pehlu Nahi BadlaAb Kaise Tujhe Chod Doo Makhtal May Akela
@HujjatELC
Aa Ay Mere Hussain Mere Godh May Aaja- Oh my Hussain Come into my lap","WHEN YOU USED TO COME AND SLEEP IN MY LAP,
I NEVER MOVED IN SPITE OF THE DIFFCULTY IN GRINDING THE GRAIN,
NOW HOW I CAN LEAVE YOU ALL ALONE IN THIS BATTLEFIELD"
,"Teri Bhi To Aulaad Hai Tu Bhi To Padar HaiAulaad Ka Gham Kya Hai Yeh Tujh Ko Bhi Khabar HaiGham Bachche Ka Sehjaye Yeh Kis Maa Ka Jigar Hai
@HujjatELC
Aa Ay Mere Hussain Mere Godh May Aaja- Oh my Hussain Come into my lap","YOU ALSO HAVE CHILDREN, YOU ARE ALSO A FATHER,
YOU KNOW WHAT IT IS TO SUFFER THE PAIN OF ONE'S CHILD,
WHICH MOTHER IS ABLE TO ENDURE THE GRIEF OF HER CHILD"
,"Tu Layt-gaya Thak Kay To Is Jalti Zameen ParYeh Kiska Lahoo Tune Mala Rooye-haseen ParMat Khaakh Pe So Laal Teri Maa Hai Yahi Par
@HujjatELC
Aa Ay Mere Hussain Mere Godh May Aaja- Oh my Hussain Come into my lap","YOU LAY DOWN ON THE BURNING SAND FROM SHEER EXHAUSTION,
WHOSE BLOOD DO YOU HAVE ON YOUR BEAUTIFUL FACE,
DO NOT SLEEP ON THE SAND MY SON, YOUR MOTHER IS HERE"
,"Jo Dil Pe Tere Guzri Mai Sab Dekh Rahi ThiHar Laash Uthaane Mai Tere Saath Gayi ThiAb Baat Woh Kehti Hoon Jo Bachpan May Kahi Thi
@HujjatELC
Aa Ay Mere Hussain Mere Godh May Aaja- Oh my Hussain Come into my lap","I CAN SEE WHAT YOU ARE SUFFERING IN YOUR HEART,
I FOLLOWED YOU EVERY TIME YOU WENT TO PICK UP THE BODY OF A MARTYR,
NOW I WILL SAY WHAT I USED TO TELL YOU IN YOUR CHILDHOOD"
