line id verse number,urdu transliteration text,english translation text
,"Aaj-Ki, Shab Sey, Lahed Hey Aur, Zehra Ya-Ali","From Tonight Onwards it is the grave and Zahra, Ya-Ali"
,"Kutch, Wasiyat, Karti Hu, Suunlijiyega Ya-Ali","I am going to read my will so lend me your ear, Ya-Ali"
,"Koyi, Dushman, Dinka, Aaye, Na, Mayat Par Meri",Do not let an enemy come to my Mayyit
,"Aur-Nikle Raat Ko Janaaza Ya-Ali
Conduct my funeral in the Dark, Ya-Ali",
,"Is Tarha Baba Ki, Ummat Ne Diya Pursa Mujhe",Oh how my fathers Followers Consoled me
,"Fatema, Ka Hog Haya Chalni Kaleja
Ya-Ali
Fatema’s heart was torn,
Ya-Ali",
,"Mere Naalo Sey Jo The, Bezaar Kehdijiye Un He","Those who were disturbed by my mourning, tell them"
,"Khatma Hey Bas Aaj Sey, Zahra Ka Rona Ya-Ali
Zahras crying has ended today,
Ya-Ali",
,Ay Mere Sar-Taj Har Dam Rakhiyega Unka Khayaal,O My Master always care for them
,Meline Bachoko Mushaqat Sey Hey Paala Ya-Ali,"I have raised the children with great difficulty, Ya-Ali"
,"Qabra, Mey Raoungi, Bache Mere Jo Raoenge",I will weep in my grave when my children cry
,"Waaste, Mere Na Unko, Rone Dena Ya-Ali
Ya-Ali","For my sake, do not let them cry,"
