line id verse number,urdu transliteration text,english translation text
,Aaj Rukhsat Ho Rhi Hai Tumse Zahra Ya Ali,"Tonight, Fatima Zahra departs from you, O Ali!"
,Parda E Shab Mein Meri Mayyat Uthana Ya Ali,"Lift my body in the darkness of the night, O Ali!"
,Pasliya Todi Gai Kaise Ye Batlaungi Mai,How will I tell my Father that my ribs were broken!
,Hashr Ke Maidaa'n Mein Bhi Is Haal Mein Aaungi Mai,I will arrive at the plains of the Day of Judgement in this state...
,"Haath Pehlu Se Na Tum Mera Hataana
Ya Ali","Do not remove My hand from My injured side, O Ali!"
,Aaj Rukhsat Ho Rhi Hai Tumse Zahra Ya Ali,"Tonight, Fatima Zahra departs from you, O Ali!"
,"Wo Musibat Aap Ne Achcha Hua Dekhi Nahi
Ab Mai Sidhe Haath Se Tasbih Padh Sakti Nahi",It was better that you did not witness that tragedy. Now I cannot do tasbih with my right hand!
,Aisa kunfuz Ne Hai Mara Taziyana Ya Ali,"Qunfuz struck me with the whip so severely, O Ali!"
,Aaj Rukhsat Ho Rhi Hai Tumse Zahra Ya Ali,"Tonight, Fatima Zahra departs from you, O Ali!"
,"Kehti Hai Zainab Ye Mujhse
Dekhkar Chehra Mera","Seeing My face, Zainab says to Me"
,Aapke Rukhsaar Par Ye Neel Hai Kaisa Pada,How did You get that bruise on Your cheek?
,"Maine Khaya Hai Tamacha,
Mat Batana Ya Ali","I have been slapped,but don’t mention, it O Ali!"
,Aaj Rukhsat Ho Rhi Hai Tumse Zahra Ya Ali,"Tonight, Fatima Zahra departs from you, O Ali!"
,"Taziyane Ki Aziyyat Ka Uthana Ek Taraf
Wo Tamache, Qatle MOHSIN, Dar Jalana Ek Taraf","The pain from being whipped, the slaps, the death of Mohsin, the burning door all aside"
,"Sabse Mushkil Tha Magar Darbaar Jana
Ya ALI","Going to the court was the most difficult, O Ali!"
,Aaj Rukhsat Ho Rhi Hai Tumse Zahra Ya Ali,"Tonight, Fatima Zahra departs from you, O Ali!"
,"Jab Meri Talqeen Padhna Yaad Kar Lena Zara
Dar Ke Girne Se Mera Baazu Bhi Hai Toota Hua","When you recite my Talqeen, please remember, my arm also broke when the burning door fell"
,Mere Shano Ko Zara Dhire Hilana Ya Ali,"Shake My arms softly (for the talqeen), O Ali!"
,"Chahe Aajaye Qayamat Mujhse Ye Waada Karo
Jab Talak Maula Mere Shabbir Ki Marzi Na Ho","Promise Me, no matter what My Master, until My Shabbir does not agree…"
,Tab Talak Mera Janaza Mat Uthana Ya Ali,"Do not begin My Funeral until then, O Ali!"
,"Jab Se Aayi Hu Palat Kar Fikr Hai Mujhko Yehi
Mai To Parde Mein Gai Fir Bhi Zaeefa Ho Gayi","Since I returned from the court, it bothers me. I went with my veil and it still took such a toll on me!"
,Berida Darbaar Hai Zainab Ko Jana Ya Ali,"Zainab will have to go to the court unveiled, O Ali!"
,Aaj Rukhsat Ho Rhi Hai Tumse Zahra Ya Ali,"Tonight, Fatima Zahra departs from you, O Ali!"
,"Karbala Mein Jab Mere Mazloom Par Khanjar Chale
Pyaas K Aalam Me Wo Ghazi Ko Jab Aawaaz De",When My oppressed son is sacrificed in Karbala and He calls for Abbas while He is thirsty
,Mai Bhi Aaungi Waha Par Tum Bhi Aana Ya Ali,"I will answer His call and so will You, O Ali!"
,Aaj Rukhsat Ho Rhi Hai Tumse Zahra Ya Ali,"Tonight, Fatima Zahra departs from you, O Ali!"
,"Haath Pehlu Par Rakhe Boli Takallum Fatima
Mai Dua Krti Hu Tum Aamin Keh Dena Zara","Fatima said with a hand on Her injured side, I will pray and you respond with Ameen"
,Jald Aaye Mere Mahdi Ka Zamana Ya Ali,"The era of my Mahdi (a.t.f.s) should come soon, O Ali!"
