line id verse number,urdu transliteration text,english translation text
,Aaj bhi Zainab ki aati hai sada bhai Hussain,"Even till this day, the cries of Zainab (A.S) can be heard, calling out to her brother, O Hussain (A.S)"
,"Tera chehra, teri ankhain, bhol kab payi Hussain","“When have I been able to forget your face and eyes, O Hussain (A.S)?”"
,"Chaltay naakay say giraya khud ko jalti rait paar
Aaj bhi Zainab ki aati hai sada bhai Hussain","“I dropped myself from a moving horse, onto the hot plains (of Karbala)…"
,Ghutnion kay bal may teri laash tak aayi Hussain,"I crawled all the way to your corpse, O Hussain (A.S)”"
,Bus may ghabrayi thi khanjar tujh pay chalta dekh kar,“I was only petrified when I saw the dagger slit your throat…
,Phir kisi mushkil may ghir kar main na ghabrayi Hussain,"After that, no calamity would frighten me, O Hussain (A.S)”"
,Kaun ta jo maarnay walon may nahi ta khubaroo,“Who among the martyrs did not have a virtuous personality?
,Bhoolnay bethi to kis kis  - ki na yaad ay Hussain,"I kept remembering every martyr, the moment I tried to forget them, O Hussain (A.S)”"
,Beh rahay thay aankh say aanso teri ruukhsat kay waqt,“Tears were flowing from my eyes at the time of your departure…
,Phir koyi ansoo na tapka aankh pathraye Hussain,"I did not shed tears after that, for my eyes had become numb, O Hussain (A.S)”"
,Hath may kozay liye sab aasman taktay rehay,“All of us were gazing expectantly at the sky with vessels in our hands…
,Abr nay ik bond paani ki na barsayi Hussain,"However, nature did not send down even a drop of water for us, O Hussain (A.S)”"
,Dekhti hoon khaake maqtal ki to bhar ata hai dil,“My heart becomes heavy as soon as I look towards the battlefield…
,Khaak par mein kaise kaise phool chor aaee Hussain,"How many kinds of precious flowers have I left behind, O Hussain (A.S)?”"
,Door uftada safar say lout kar may nay Naveed,“When I returned from the foreign land…
,Thanda paani jab piya bas teri yaad ai Hussain,"As soon as I sipped a cup of cold water, I only remembered you O Hussain (A.S)”"
