line id verse number,urdu transliteration text,english translation text
,Aaja Asgher ki jagah meri Sakina soja,"Come sleep where Asghar used to, oh my Sakina"
,"Jaagti Maa ne kaha meri Sakina soja
A restless mother said,
sleep my Sakina",
,Jo tujhey khouf hai shayad main usse kam kardoon,Maybe I can reduce the fear that you have
,"Aaja aankhon pe tere naade ali dam pardoon
Come, let me recite naade ali on your eyes",
,"Dur kyun baithi hai aa meri sakina soja
come sleep my Sakina","Why are you sitting so far,"
,Baap ke sine pe aadat hai tujhe sone ki,You’ve gotten used to sleeping on your father’s chest
,Meri ghodi tere kaabil toh nahi hai phir bhi,"My lap isn’t the same for you, but still"
,"Hai mere dil ki sada meri Sakina soja
come sleep my Sakina","It’s the cry of my heart,"
,Qaid khaane me jo aa jayenge tere baba,If your father comes to the prison
,"Khud utha dungi tujhe shaana hila kar tera
I’ll wake you up myself,",by shaking your shoulder
,Accha kuch der zara meri sakina soja,"Just for a little while, come sleep my Sakina"
,Mujhse dekha nahi jaata yeh tera dard e jigar,I can’t bear to see the pain in your heart
,Ye batate huwe acha to nahi lagta magar,"It hurts for me to tell you this, but"
,"Ab na aayenge chacha meri Sakina soja
Your uncle isn’t coming back again, come sleep my Sakina",
