line id verse number,urdu transliteration text,english translation text
,"Aati Hai Sakina Ki Sada Karbobala Se
Ammu Ho Kahan Aao Ke Hum Hai Abhi Pyase","The voice of Sakina rises from the land of pain and calamity (Karbala)
O uncle, where are you? Come for we are still thirsty"
,"Atka Hai Jigar Pyas Ye Le-legi Meri Jaan
Bach Bhi Gayi Gar Shimr Ke Durro Ki Saza Se","The heart is about to stop, this thirst will take my life
Even if I am to spared the punishment at Shimr's hands"
,"Aati Hai Sakina Ki Sada Karbobala Se
Ammu Ho Kahan Aao Ke Hum Hai Abhi Pyase","The voice of Sakina rises from the land of pain and calamity (Karbala)
O uncle, where are you? Come for we are still thirsty"
,"Baysheer Ke Honton Pe Nahi Pyas Ka Shikwa
Tar Kardiya Aada Ne Gala Teere Jafa Se","There is no complain upon the lips of the famished infant
For the enemy has moistened his neck with a cruel arrow"
,"Aati Hai Sakina Ki Sada Karbobala Se
Ammu Ho Kahan Aao Ke Hum Hai Abhi Pyase","The voice of Sakina rises from the land of pain and calamity (Karbala)
O uncle, where are you? Come for we are still thirsty"
,"Jo Ran Ko Gaya Ran Se Kahan Aaya Palat Kar
Deti Hai Phuphi Jaan Mujhe Yuhin Dilaase
Says my dear aunt in condolence","Whoever went into the desert, did he return from the desert?"
,"Aati Hai Sakina Ki Sada Karbobala Se
Ammu Ho Kahan Aao Ke Hum Hai Abhi Pyase","The voice of Sakina rises from the land of pain and calamity (Karbala)
O uncle, where are you? Come for we are still thirsty"
,"Sunti Hoo Yateemo Ki Dua Radh Nahi Hoti
Ya Rab Mujhe Milwaade Phir Ek Baar Chacha Se","I have heard that an orphan's prayer is never rejected
O Lord, let me meet once again with my uncle"
,"Aati Hai Sakina Ki Sada Karbobala Se
Ammu Ho Kahan Aao Ke Hum Hai Abhi Pyase","The voice of Sakina rises from the land of pain and calamity (Karbala)
O uncle, where are you? Come for we are still thirsty"
,"Maa Behne Khule Sar Hai Lahoo Roti Hai Aankhein
Uth-ta Nahi Bhai Ka Mera Sar Hai Haya Se","Mothers and sisters are unveiled, the eyes shed tears of blood
My brother cannot lift his head for shame"
,"Aati Hai Sakina Ki Sada Karbobala Se
Ammu Ho Kahan Aao Ke Hum Hai Abhi Pyase","The voice of Sakina rises from the land of pain and calamity (Karbala)
O uncle, where are you? Come for we are still thirsty"
