line id verse number,urdu transliteration text,english translation text
,"WOH KARBALA, WOH SHAAME GHARIBA, WOH TEER RAGHIWOH ZAINABE HAZIN, WOH HIFAZAT KHAYAAM KI.AAYA WOH IK SAWAAR, KARIBE KHAYAAME SHAAM.
(Sham-e-Ghariba)","That Kerbala, That evening of the dispossessed
Those arrows,
That Zainab in mourning, guarding the tents
A rider approached the tents that night"
,"BETI ALI KI GHEIZ MEY SUWE FARAS BARHIULTI NAKAAB CHEHERE SEY APNE SAWAAR NEPESHE NIGHAHE ZAINABE MAZLUM THE ALI.
The daughter of Ali strode forward
towards the rider,","The rider lifted the veil from his face,
Infront of the oppressed(Mazlum) Zainab was Ali, her father"
,,"HAR CHAND SABERA THI BAHOT BINTE FATEMA BE SAAKHTA ZABAA PAR FARIYAAD AAGHAYI.  Although the daughter of Fatema was steadfastly patient,
Her tongue could not help but complain"
,"ZAINAB NE KAHA BAAP KE QADMO SEY LIPAT KAR, AB AAYA HO BABAJAB LOOT GHAYA PARDES MEY AMMA KA BHARA GHAR,AB AAYE HO BABA.","Wrapping herself around her father's feet, Zainab said, ""You have come now, O'Father (Baba)?“,
When our mother's whole family was looted in a strange land,  you have come now,  O' Father"
,"BABA AGAR AANA HI THA, KHAALIQ KI RIZAASEY,USWAQT NA AAEJAB KHAAK PA DAM TOR RAHA THA MERE AKBER, AB AAE HO BABA","O'Father if you wanted to come with the Creator's permission, why did you not come when:
When my Akber was breathing his last on the sands (of Karbala), You have come now  O ' Father."
,"CUT CUT KE NEHER PA JAB BAZUUE ABBAS, AUR KOYI NA THA PAASUS WAQT SADAA AAP KO DETA THA DILAWAR, AB AAE HO BABA.","When Abbas's hands were cut off and fell by the shores(of Furaat) and there was no one nearby (to help),
Your son called out to you for help at that time, Your have come now, O' Father."
,"JAB BHAI KA SAR CUT TA THA, MEY DEKH RAHI THI, HAZRAT KO SADAA DISAR KHOLE HUWE ROTI THI MEY KHAIME KE DARPAR, AB AAE HO BABA.","When my brother's head was being cut off I was watching, calling out to you,
My head was bare and I was weeping beside the tent, You have come now, O ' Father"
,,"JAB FARSHE ZAMIN BAAME FALAQ LARZA BAJAA THE, US WAQT KAHA THEJAB BAAPKE CHILUUMEY THA KHUNE ALI ASGHAR, AB AAE HO BABA.
When the land and sky were trembling, where were you then?
When a father's palms filled up with the innocent blood of Ali Asghar, You have come now, O' Father"
,"JAB BALI SAKINA KE GHOWHAR CHINE GHAYE THE, LAGHTE THE TAMAACHEHASRATSE MUJHE DEKHTI THI BANUE MUZTAR,AB AAE HO BABA.","When little Sakina's earrings were snatched, she was being slapped,
Banu (her mother) was looking towards me in hope, You have come now, O' Father"
,"JAB SHAAMKE QAZAAK HAME LOOT RAHE THE,KHAIMO KO JALAAKEAAP AAGHAE HOTE TO NA CHINTI MERI CHAADER, AB AAE HO BABA","When the Barbarians from Sham were looting our possessions, burning our tents,
If you had come to our rescue my veil would be not be seized, You have come now, O' Father"
,"KYA AAPNE FIRDOS SEY,YEH DEKHA NA HOGHA, KYA HASHRA BAPAA THAJAB PUSHT SEY BIMAAR KE KHAICHA GHAYA BISTER, AB AAE HO BABA.","You must have seen from heaven(Firdous), what commotion arose,
When they snatched the bed from under the invalid's(Imam Sajjad) back, You have come now, O' Father"
,"EK RAAT KE MEHMAAN HEY, PHIR QAIDE SALAASIL, AB AANE SEY HAASILBAAZAAR MEY HAM SUBHO KO JAAENGE KHULE SAR, AB AAE HO BABA","Guests for one more night, then to perpetual imprisonment, what will be achieved by coming now?
We will be paraded with bare heads(without chadar)in the markets of Sham, Now you have come, O' Father"
,"ZAINAB NE KAHA BAAP KE QADMO SEY LIPATKAR, AB AAE HO BABA.
Wrapping herself around her father feet Zainab said, ""You have come now O'Father (Baba)""",
