line id verse number,urdu transliteration text,english translation text
,"Ab Ghar Ko Chalo Khaak Se Uththo Ali Akbar
Rise Up From The Sand Ali Akbar, Let’s Go Home",
,"Ponhche Jo Husein Ibne Ali Laashe Pisar Par
Wo Haal Nazar Aayaa Chhuri Chal Gayi Dil Par","When Hussain-ibne-ali Arrived At The Body Of His Son
The Sight Of His State Was A Knife To His Heart"
,"Yeh Kehke Zamin Par Gir-e Bete Ke Baraabar
Aayaa Hai Pidar Hosh Men Aawo Ali Akbar
Your Father Has Come, Wake Up Ali Akbar","Saying This, He Fell To The Ground Beside His Son"
,"Ab Ghar Ko Chalo Khaak Se Uththo Ali Akbar
Rise Up From The Sand Ali Akbar, Let’s Go Home",
,"Zaalim Koi Bekas Ko Bataa Taa Na Thaa Rastaa
Chhaayaa Thaa Nigaaho Men Andheraa Hi Andheraa","The Enemies Would Not Show Me The Way To You
My Vision Has Been Overcome By Darkness Upon Darkness"
,"Aayaa Hai Pidar Paas Tere Thonkare Khaataa
Aankhon Ko Huwaa Kyaa Meri Puchho Ali Akbar","Your Father Has Come To You After Many Struggles
Ask Me What Has Happened To My Eyes Ali Akbar"
,"Ab Ghar Ko Chalo Khaak Se Uththo Ali Akbar
Rise Up From The Sand Ali Akbar, Let’s Go Home",
,"Kyun Paaun Ragadte Ho Kahaan Dard Uthaa Hai
Batlaao Meri Jaan Meraa Dil Baith Rahaa Hai.","Why Are You Thrashing Your Feet, Where Does It Hurt?
Show Me My Love, My Heart Is Sinking"
,"Kyun Haath Hai Sin-e Pe Kahaan Zakhm Lagaa Hai
Phat Jaaegaa Dil Baap Kaa Bolo Ali Akbar
My Heart Will Burst, Tell Your Father Ali Akbar","Why Is Your Hand On Your Chest, Where Have You Been Wounded?"
,"Ab Ghar Ko Chalo Khaak Se Uththo Ali Akbar
Rise Up From The Sand Ali Akbar, Let’s Go Home",
,"Ai Laal Tasawwur Men Thaa Maake Teraa Sehraa
Hai Der Se Darwaaza-e Khaimaa Pe Woh Dukhiyaa","Oh My Son, Your Mother’s Thoughts Were Of Your Wedding
For A Long Time She Has Been Standing At The Door Of The Tent"
,"Kyaa Jaake Bataaun Jo Huwaa Haal Tumhaaraa
Lailaa Se Kahun Kyaa Yeh Bataao Ali Akbar","What Will I Go Back And Tell Her About Your State
Tell Me This Ali Akbar, What Will I Tell Layla?"
,"Ab Ghar Ko Chalo Khaak Se Uththo Ali Akbar
Rise Up From The Sand Ali Akbar, Let’s Go Home",
,"Nawha Hai Labo Par Haiu Lahu Aankhon Se Jaari
Ham Kab Se Khade Rote Hai Baali Pe Tumhaari","With Lamentation On The Lips; (Tears Of) Blood Flows From The Eyes
For How Long Have We Been Standing Here, Crying By Your Side?"
,"Khaayaa Na Taras Tumne Gharibi Pe Hamaari
Dil Baap Ka Is Tarhaa Na Todo Ali Akbar
Do Not Break Your Father's Heart, Ali Akbar",Do You Have No Pity On Our Loneliness?
,"Ab Ghar Ko Chalo Khaak Se Uththo Ali Akbar
Rise Up From The Sand Ali Akbar, Let’s Go Home",
,"Ab Der Jo Ki Tumne To Karti Huwi Zaari
Be Pardaa Bahan Aaegi Maqtal Men Hamaari","Now That You’ve Delayed Returning, She Is Lamenting
Without Her Veil, My Sister Will Come To The Battlefield"
,"Maadar Kahin Marjaae Na Sadmense Tumhaari
Baabaa Bhi Nahin Jine-ke Sunlo Ali Akbar","May Your Mother Not Die From This Heartache
Your Father Also Will Not Survive This, Listen Ali Akbar"
,"Ab Ghar Ko Chalo Khaak Se Uththo Ali Akbar
Rise Up From The Sand Ali Akbar, Let’s Go Home",
,Qabu Me Nahi Qalb Ulajtaa Hai Kaleja,"Kis Tarha Se Dekhe Ye Pidar Haal TumhaaraaO! How Can Your Father Bear To See Your State?
My Heart Is Uncontrolled, Frayed!"
,"Pehlu Me Hai Dil Baap Kaa Paththar Nahi Betaa
Aage Mere Is Tarha Na Tadpo Ali Akbar","This Chest Has A Father's Heart, Not A Stone, My Son!
Do Not Thus Writhe In Pain Before Me Ali Akbar!"
,"Ab Ghar Ko Chalo Khaak Se Uththo Ali Akbar
Rise Up From The Sand Ali Akbar, Let’s Go Home",
