line id verse number,urdu transliteration text,english translation text
,"Holding an empty pitcherAbass, Sakina is crying
HAATHO ME LIYE KHAALI KUNZAA
ABBAS SAKINA ROTI HAI",
,"AB TAK HAI NAZAR, SUWE DARYAA
ABBAS SAKINA ROTI HAI","Till this moment her sight is gazed at the river Abbas, Sakina is crying"
,"DEKHO TO TARAI SE UTHKAR
PATHRAAI HUI SEHMISI NAZAR",Rise from the river bank and seeHer petrified and fearful look
,"BE AAS NA HOJAYE DUKHYAA
ABBAS SAKINA ROTI HAI","May the broken hearted child not become hopeless Abbas, Sakina is crying"
,"TUM AYSE GHAYE JAAKAR NA FIRE
ITNA BHI NA SOCHA KYA HOGA",You went in such a manner that you never turned back You didn’t even think of what would happen
,"For Allah's sake, bring the water skin (mashk)Abbas, Sakina is crying
LE AAWO KHUDAARA MASHKIZA
ABBAS SAKINA ROTI HAI",
,"TUM LAAYE NA BHAR KAR MASHKIZA
NA AAP HI PALTE DARYAASE",You didn't bring the filled waterskin (mashk)Neither did you return from the river
,"KYA KHUB NIBHAAYA, EHDE WAFAA
ABBAS SAKINA ROTI HAI","How well you fulfilled your promiseAbbas, Sakina is crying"
,"KHAAYE HAI TAMAACHE ZAALIM KE
MAASOOM NE NANNE GHAALON PAR",She bore the slaps of the oppressors On her innocent small cheeks
,"IS NEEND SE CHONKO BARAYE KHUDA
ABBAS SAKINA ROTI HAI","Wake up from this sleep for the sake of AllahAbbas, Sakina is crying"
,"AMMA HAI TARAPTI DEKHO CHACHA
ASGHAR KA JO HAAL NAHI DIKHTA","Look Uncle, my mother is so restless, She can not find Ali Asghar anywhere"
,"ITNAATO BATAADO TUM HO KAHAAN
ABBAS SAKINA ROTI HAI","Just tell me where you are Abbas, Sakina is crying"
,"HAATHON ME ALAM THAAME BABA
BAANDHE HAI KAMAR KO KYUN BABA",Baba is holding the flag Why has father tied his back
,"Look uncle, he doesn’t say anythingAbbas, Sakina is crying
KUCH KEHTE NAHI HAI DEKHO CHACHA
ABBAS SAKINA ROTI HAI",
,"HILTI HAI ZAMEEN HILTAA HAI FALAK
HAI HAASHIMI GHAM KI JINNO MALAK","The ground quakes, the skies quake The angels and jinn are mourning for the Hashimites"
,HAI EHLE HARAM ME SHOR BARPA,There is an uproar in the Holy household
,"Holding an empty pitcherAbass, Sakina is crying
HAATHO ME LIYE KHAALI KUNZAA
ABBAS SAKINA ROTI HAI",
