line id verse number,urdu transliteration text,english translation text
,@HujjatELC,"Ay Raat Na Dhalna Ke Ujar Jayegi ZainabOH NIGHT, DO NOT SET FOR ZAINAB WILL BE DESTROYEDEnglish Transliteration"
,"Ay Raat Na Dhalna Ke Ujar Jayegi ZainabBhai Se Dam E Subh Bichar Jayegi ZainabAy Raat Na Dhalna Ke Ujar Jayegi Zainab
@HujjatELC","OH NIGHT, DO NOT SET FOR ZAINAB WILL BE DESTROYED
IN THE WAKE OF DAWN, ZAINAB AND HER BROTHER WILL BE SEPARATED"
,"Sone De Sakina Ko Ke Phir So Na SakegiRona Bhi Jo Chahegi To Phir Ro Na SakegiAsghar Se Mulakaat To Phir Ho Na Sakegi
@HujjatELC","LET SAKEENA SLEEP FOR SHE WILL NOT BE ABLE TO SLEEP.
SHE WILL NOT BE ABLE TO CRY EVEN IF SHE WANTED TO
SHE WILL NOT BE ABLE TO MEET ALI ASGHAR"
,"Ay Raat Na Dhalna Ke Ujar Jayegi ZainabBhai Se Dam E Subh Bichar Jayegi ZainabAy Raat Na Dhalna Ke Ujar Jayegi Zainab
@HujjatELC","OH NIGHT, DO NOT SET FOR ZAINAB WILL BE DESTROYED
IN THE WAKE OF DAWN, ZAINAB AND HER BROTHER WILL BE SEPARATED"
,"Ghabraye Huye Laal Hai Sehmi Hui MayeinJee Bhar Ke Mai De Lon Ali Akbar Ko DuayeinLena Hai Abhi Aun O Mohamad Ki Balayein
@HujjatELC","THE CHILDREN ARE TERRIFIED AND THE MOTHERS ARE SCARED
LET ME GIVE AS MANY BLESSINGS TO AKBAR AS I CAN
LET ME TAKE ANY AUN AND MOHAMMAD’S MISFORTUNE UPON MYSELF."
,"Ay Raat Na Dhalna Ke Ujar Jayegi ZainabBhai Se Dam E Subh Bichar Jayegi ZainabAy Raat Na Dhalna Ke Ujar Jayegi Zainab
@HujjatELC","OH NIGHT, DO NOT SET FOR ZAINAB WILL BE DESTROYED
IN THE WAKE OF DAWN, ZAINAB AND HER BROTHER WILL BE SEPARATED"
,"Ae Raat Bikhar Ja Tere Bas May Ho Jahan TakMit Jayenge Kal Aal E Payamber Ke Nishan TakBaaqi Hai Yeh Manzar Ali Akbar Ki Azan Tak
@HujjatELC","OH NIGHT SPREAD YOUR DARKNESS AS MUCH AS IS IN YOUR CAPACITY
FOR EVEN THE TRACES OF ALE MUHAMMED WILL BE ERASED
THEY WILL ONLY REMAIN TILL THE AZAAN OF ALI AKBAR"
,"Ay Raat Na Dhalna Ke Ujar Jayegi ZainabBhai Se Dam E Subh Bichar Jayegi ZainabAy Raat Na Dhalna Ke Ujar Jayegi Zainab
@HujjatELC","OH NIGHT, DO NOT SET FOR ZAINAB WILL BE DESTROYED
IN THE WAKE OF DAWN, ZAINAB AND HER BROTHER WILL BE SEPARATED"
,"Baaqi Hai Abhi Aal E Muhamad Ka SafeenaBeti Ke Sulane Ko Hai Shabbir Ka SeenaJhoola Ali Asghar Ka Jhulaati Hai Sakina
@HujjatELC","THE SHIP OF THE AHLULBAYTIS STILL SAILING
THE CHEST OF IMAM HUSSAIN IS STILL THERE FOR SAKINA TO SLEEP
FOR NOW, SAKEENA IS SWINGING THE CRADLE OF ALI ASGHAR"
,"Ay Raat Na Dhalna Ke Ujar Jayegi ZainabBhai Se Dam E Subh Bichar Jayegi ZainabAy Raat Na Dhalna Ke Ujar Jayegi Zainab
@HujjatELC","OH NIGHT, DO NOT SET FOR ZAINAB WILL BE DESTROYED
IN THE WAKE OF DAWN, ZAINAB AND HER BROTHER WILL BE SEPARATED"
,"Kal Kaun Sunega Ye Meri Aah O Buka BhiHoga Tahe Khanjar Mere Bhai Ka Gala BhiKhema To Kuja Sar Pe Na Hogi Ye Rida Bhi
@HujjatELC","WHO WILL LISTEN TO MY CRIES TOMORROW
AS MY BROTHER’S NECK WILL BE UNDER THE DAGGER
LET ALONE THE TENTS, THERE WILL BE NO HIJAB ON OUR HEADS"
,"Ay Raat Na Dhalna Ke Ujar Jayegi ZainabBhai Se Dam E Subh Bichar Jayegi ZainabAy Raat Na Dhalna Ke Ujar Jayegi Zainab
@HujjatELC","OH NIGHT, DO NOT SET FOR ZAINAB WILL BE DESTROYED
IN THE WAKE OF DAWN, ZAINAB AND HER BROTHER WILL BE SEPARATED"
,"Ae Raat Ghadi Bhar Ko Tu Rehne De Sakoon MayGhir Jayenge Nasir Mere Aada Ki Safon MayYeh Chand Se Chehre To Naha Jayenge Khoon May
@HujjatELC","OH NIGHT FOR A MOMENT JUST STAY STILL
BECAUSE MY PROTECTORS WILL BE SURROUNDED BY THE ENEMIES
AND THEIR MOON-LIKE FACES WILL BE DRENCHED IN BLOOD"
