line id verse number,urdu transliteration text,english translation text
,"Ask Sajjad!
Sajjad se poocho",
,Afsoos nabi zadiyoon ka Shaam may jana,Unfortunate that the Prophet’s daughters had to go to Shaam
,"Ask Sajjad!
Sajjad se poocho",
,Sar nangay woh maa behnoon ka darbar may jana,Without a head cover the mothers and sisters had to go in the court
,"Ask Sajjad!
Sajjad se poocho",
,"Chupti thi nabi zadi, nabi zadi ke peechay
kis sharm-o-haya say","Daughters of Mohammad used to hide behind each other, with such modesty"
,Aur Shimr ka un bibiyoon kay naam batana,And Shimr’s calling Bibis by their names
,"Ask Sajjad!
Sajjad se poocho",
,"Baithay huay darbar may sab chootay baray thay
Sadaat Kharay thay","Everyone was seated in the court, However, the Sadaat were standing"
,Sar tasht may rakkha hua Zainab ko dikhana,The head was kept on tray for Zainab to see
,"Ask Sajjad!
Sajjad se poocho",
,Jab dukhtaray Shabbir nay zindaan may qaza ki - aafat ki ghari thi,"When daughter of Shabbir died in the prison, it was a time of tribulations"
,"Carrying the small mayyit with closed hands,
woh nanhi si mayyat bandhay hathon se uthana",
,"Ask Sajjad!
Sajjad se poocho",
,Jab ghusl Sakina ko wahan day chuki ghassal - tha sab ka boora haal,"When the ghassal gave ghusl to Sakina,everybody was in grief,"
,Us nanhi si mayyat par nishaan rassi ke paana,Finding marks of ropes on this small corpse
,"Ask Sajjad!
Sajjad se poocho",
,Thi aik rasan bara aseeron kay galay thay - sab chupke kharay thay,There was one rope on twelve prison’s necksEveryone was standing silently
,"Zainab came while tied in ropes
Rassi may bandhay Zainab-e-Kulsoom ka aana",
,"Ask Sajjad!
Sajjad se poocho",
,Sar Hazrat-e-Muslim ka latakta tha jahan par - waan sheh ka ruka sar,"Where Muslim bin Aqeel’s head would hang, there Hussain’s head would stop"
,Dur Abid-e-beemar ko us waqt lagana,Whip Abid at that time
,"Ask Sajjad!
Sajjad se poocho",
,Jab bali Sakina ko ghusl datay thay Sajjad - faryad hay faryad,"When Sajjad gave ghusul to Sakina,cry after cry could be heard"
,Us nanhi si gardan pe nishaan rassi ke paana,Finding marks of ropes on her little neck
,"Ask Sajjad!
Sajjad se poocho",
,Ghash kha ke giray Syed-e-Sajjad zameen par - barpa hua mehshar,"Overwhelmed, Sajjad fell on the ground,and the crowd gathered,"
,Naizay ki ani se unhain us waqt uthana,The spear … wake him at that time
,"Ask Sajjad!
Sajjad se poocho",
,Jab qaid-e-sitamgar se chutey Aal-e-payambar ek shor tha ghar-ghar,"When the family of the Prophet was freed from the prison, there was a cry, “Home, Home”"
,"Come build eighteen beloveds’ graves
Aththara azeezon ki lahad aakey banana",
,"Ask Sajjad!
Sajjad se poocho",
,"Akbar jo girey ghodey se kahney lagey Shabbeer, beta teri taqdeer","When akbar fell off his horse, Shabbir“My son, your legacy …"
,Ek zalim-e-be deen ka yun naiza lagana,A tyrant of no religion struck a spear in such manner
,"Ask Sajjad!
Sajjad se poocho",
