line id verse number,urdu transliteration text,english translation text
,"(Haye sughra, haaye sughra)
(Akbar ki judayi me na jee payegi sughra)","O Sughra, O Sughra
Sughra will not be able to live being separated from Akbar"
,"(Tanhayi me roro ke) marjayegi sughra
Sughra will perish, weeping in loneliness",
,(Akbar ki judayi me na jee payegi sughra),Sughra will not be able to live being separated from Akbar
,"(Akbar ko tasawwur me, dulha bhi banayengi)
(hum joliyo(n) ko sehra) dikhlayegi sughra
Sughra will display the (wedding) Garland",In her thoughts (dreams) she will make Akbar a bridegroom
,(Akbar ki judayi me na jee payegi sughra),Sughra will not be able to live being separated from Akbar
,"(dekhengi kisi bhayi, behen ki jo muhabbat) The moment she sees the affection between another brother and sister
(akbar ke liye us pal) tarap jaayegi sughra","Akbar at that moment, Sughra will yearn to see  Akbar"
,(Akbar ki judayi me na jee payegi sughra),Sughra will not be able to live being separated from Akbar
,"(dekhengi kisi bhayi, behen ki jo muhabbat) The moment she sees the affection between another brother and sister
(akbar ke liye us pal) tarap jaayegi sughra","Akbar at that moment, Sughra will yearn to see  Akbar"
,(Akbar ki judayi me na jee payegi sughra),Sughra will not be able to live being separated from Akbar
,"(dukh dard ki mari hai, baba ki bhi pyaari hai)
(zulmat ke andhero(n) me) bikharjayegi sughra","She has endured pain (of separation), she is the beloved of her father
Sughra will be devastated in the darkness of oppression"
,(Akbar ki judayi me na jee payegi sughra),Sughra will not be able to live being separated from Akbar
,"(Daadi ki lahad jaaye, kabhi nana ke roze)
(tanha hai akeli hai)  kaha(n) jayegi sughra","She goes to her Grandmother's grave, sometimes to her Grandfather's grave
Where will Sughra go, she is lonely and alone"
,(Akbar ki judayi me na jee payegi sughra),Sughra will not be able to live being separated from Akbar
,"(Beemar agar sunle, akbar ke laga neza)
(marjayengi ye kaise) sun payegi sughra","What if the unwell Sughra hears that Akbar was killed with a spear
How will Sughra bear this( news)? how will she die?"
,(Akbar ki judayi me na jee payegi sughra),Sughra will not be able to live being separated from Akbar
,"(ay rab-e-jahaa(n) usko, itna to bataade)
(akbar se na jite ji)  mil payegi sughra","O Lord at least let her know
While Sughra is alive, she will never see Akbar"
,(Akbar ki judayi me na jee payegi sughra),Sughra will not be able to live being separated from Akbar
,"(is aas pa zinda hai, ayega ali akbar)
(qadmo(n) ke nisha(n) kaise) mitta payegi sughra","She is alive in the hope that, Ali Akbar will come back
How will Sughra erase the footprints ( of Akbar)"
,(Akbar ki judayi me na jee payegi sughra),Sughra will not be able to live being separated from Akbar
,"(Hujra ali akbar ka, sughra ko rulaata hai) Sughra weeps at the sight of Ali Akbar's chamber
(veeran hai ghar saara) na reh payegi sughra",Sughra will not be able to bear the emptiness in her house
,(Akbar ki judayi me na jee payegi sughra),Sughra will not be able to live being separated from Akbar
,"(kabhi raho(n) ko takti hai, kabhi hatho(n) ko dekhe)
(in hatho(n) me kya mehndi) laga payegi sughra","Sometimes she gazes in the distance, sometimes she looks at her hands
Will Sughra be able to apply Mehndi on her hands"
,(Akbar ki judayi me na jee payegi sughra),Sughra will not be able to live being separated from Akbar
,"(is tarha bahan koyi, juda ho na akhi se)
(""yawar"" ye dua mango) rung layegi sughra
""Yawar"" pray, Sughra will get well",May no sister ever endure a separation like this from a brother
