line id verse number,urdu transliteration text,english translation text
,"Akber tuje kasam hai waapas zaroor aana
Ek baar aake apni maadar ko dekh jaana
Just once, come to see your mother
Akber tuje kasam hai waapas zaroor aana","Akber, promise me that you will return (from the battlefield)
Akber, promise me that you will return (from the battlefield)"
,"Maa jaanti hai beta marne ko jaa raha hai
Aur baap keh raha aansu nahi bahana","Your mother knows that her son
is going to die
And your father says “do not shed tears.”"
,Akber tuje kasam hai waapas zaroor aana,"Akber, promise me that you will return (from the battlefield)"
,"Zainab nai tujhko beta, atthara saal paala
Woh chaahti hai beta, Dulha tujhe banana
O’ Son, Zainab raised you for eighteen years,","O’ Son, she wishes to see you as a groom."
,Akber tuje kasam hai waapas zaroor aana,"Akber, promise me that you will return (from the battlefield)"
,"Qatil badha jo aage, Kehne lagi jawani
Hum shakl-e-Mustafa hai, Barchi nahi lagana","As the slayer stepped forward, the Youth said:
“He resembles the Prophet, strike not the spear”."
,Akber tuje kasam hai waapas zaroor aana,"Akber, promise me that you will return (from the battlefield)"
,"Daude hussain fauran, thame hue jigar ko
Kehte hue aye beta, Mushkil hai mera aana
Hussain rushed forth, hand upon heart","Saying: “O’ my son, it’s hard for me to come (to your corpse)”"
,Akber tuje kasam hai waapas zaroor aana,"Akber, promise me that you will return (from the battlefield)"
,"Ponche khareeb jis dam phir gir pade zameen par
Aandhair tha nazar mai, Shabbir ko zamana
The world turned dark in Shabbir’s eyes",He (Imam) came near (the corpse) and fell to the ground
,Akber tuje kasam hai waapas zaroor aana,"Akber, promise me that you will return (from the battlefield)"
,"Sheh se na uth saki jab, kadyal jawan ki mayyit
bachoon ke saath milkar, laasha pada uthana","When the Imam was unable to carry the budding youth’s corpse
Together with some children he had to carry the corpse"
,Akber tuje kasam hai waapas zaroor aana,"Akber, promise me that you will return (from the battlefield)"
,"Laashe ko rakh keh bole, Laila se ye sheh-e-deen
Bête ki aake apni, Mannat zara badhana
Come fulfil your son’s pledge","Laying the corpse before her, said the King of Religion to Laila"
,"Akber tujhe kasam hai waapas zaroor aana
Ek baar aake apni maadar ko dekh jaana
Just once, come to see your mother","Akber, promise me that you will return (from the battlefield)"
