line id verse number,urdu transliteration text,english translation text
,"Hal Min Naasareen Yan Sur Naa
Amma Haye Amma
Mother O’ Mother",Is there anyone to help me?
,Sine se ab lagalo Aghosh me chuupalo Amma mujhe sambhaalo,"Hold me to your chest, hide me in your bosom, Mother support me"
,"Nazdeek aa raha hu, Wada nibharaha hu, Amma mujhe sambhalo","I am coming close, I am fulfilling my promise, Mother support me"
,Sine se ab lagalo Aghosh me chuupalo Amma mujhe sambhaalo,"Hold me to your chest, hide me in your bosom, Mother support me"
,"Akbar nahi hai ghazi, darya pe sogaya hai
Raah-e-khuda may sara, kunba ujjar gaya hai
Be aas hogaya hu(n)
I am without any support","Akbar is no longer here, my warrior sleeps on the river bank
In the path of God, my entire family has been destroyed"
,"Tanha may rehgaya hu(n)
Amma mujhe sambhaalo
I am left all alone
Mother support me",
,Sine se ab lagalo Aghosh me chuupalo Amma mujhe sambhaalo,"Hold me to your chest, hide me in your bosom, Mother support me"
,"Awaaz dasht may jab, hal min ki de raha tha
Abbas-e-bawafa ka, lasha tarap raha tha
My loyal Abbas’s body trembled",When I raised my voice in the desert calling “Hal Min”
,"Maqtal may aa raha hu(n)
Tumko bula raha hu(n)
Amma mujhe sambhaalo
Mother support me","I am coming to the battlefield
Calling out to you"
,Sine se ab lagalo Aghosh me chuupalo Amma mujhe sambhaalo,"Hold me to your chest, hide me in your bosom, Mother support me"
,"Duba huwa lahu may, ye dasht-e-Karbala hai
Chehre pe khoon-e-Asghar, mene yuhi(n) mala hai","This land of Karbala, is drenched in blood
I have covered my face with Asghar’s blood"
,"Kis haal mei hai amma
Pyaasa ye laal tera
Amma mujhe sambhaalo
Mother support me","What is the state O Mother
Of this thirsty son of yours"
,Sine se ab lagalo Aghosh me chuupalo Amma mujhe sambhaalo,"Hold me to your chest, hide me in your bosom, Mother support me"
,"Zakhmo(n) se mera amma, tan chur hogaya hai
Lashe utha utha ke, dil gham se bhar gaya hai","O Mother , my body is crushed by the wounds
Carrying the bodies has filled my heart with sorrow"
,"Charo(n) taraf hai hamlaa
Talwar ki tabar ka
Amma mujhe sambhalo
Mother support me","The attack is from all four corners
Of Swords and axes"
,Sine se ab lagalo Aghosh me chuupalo Amma mujhe sambhaalo,"Hold me to your chest, hide me in your bosom, Mother support me"
,"Aankho(n) ke saamne hay, har bachpane ka manzar
Lori suna rahay the, zanu(n) pe tum sulaakar","Before my eyes are visions of my childhood
You, putting me to sleep on your lap, singing a lullaby"
,"Ab haal aake dekho
Godi may mujhko lelo
Amma mujhe sambhalo
Come and see my state now
Mother support me",Take me in your lap
,Sine se ab lagalo Aghosh me chuupalo Amma mujhe sambhaalo,"Hold me to your chest, hide me in your bosom, Mother support me"
,"Lut jayengi ridaaey(n), khayme bhi ab jalenge
Pyaari meri Sakina, ke baliyaa(n) chinenge","The cloaks will be looted, tents will be burned
My beloved Sakina’s earrings will be snatched"
,"Shaam-e-gharibaa(n) mei tab
Hogi sada-e-Zainab
Amma mujhe sambhaalo
Zainab’s call will be
Mother support me",In Sham-e-Ghariba then
,Sine se ab lagalo Aghosh me chuupalo Amma mujhe sambhaalo,"Hold me to your chest, hide me in your bosom, Mother support me"
,"Amma badan ye sara, teero(n) se ab bhara hai
Ghore pe na zamee(n) par, lasha mera para hai","O Mother this body is pierced full of arrows
My body is laying neither on the horse nor the ground"
,"Ab shimr ki churi hay
Gardan pe chal rahi hay
Amma mujhe sambhaalo","Now it’s Shimr’s dagger
Cutting my throat
Mother support me"
,Sine se ab lagalo Aghosh me chuupalo Amma mujhe sambhaalo,"Hold me to your chest, hide me in your bosom, Mother support me"
,"Sajde mei mera sar hai, talwaar chal rahi hay
Khayme ke dar pe Zainab, bechain ho rahi hay","The sword is cutting my head, I am in sajda,
Zainab is restless on the door of the tent"
,"Tuttegi ab qayamat
Nazdeek hay shahadat
Amma mujhe sambhaalo","Qiyamat will arrive now
Martyrdom is close
Mother support me"
,Sine se ab lagalo Aghosh me chuupalo Amma mujhe sambhaalo,"Hold me to your chest, hide me in your bosom, Mother support me"
,"kaise likhe ""Tejani"", purdard ka wo manzar
jab shimr ne chalaya, ibne ali pe khanjar","How will Tejani script, that pain filled scene
When shimr stabbed(continuously) son of Ali with the sword"
,"awaaz thi fiza may,
haaye dasht-e-karbala may
amma mujhe sambhalo
Mother support me","A voice rose in the sky
in the desert of Karbala"
,Sine se ab lagalo Aghosh me chuupalo Amma mujhe sambhaalo,"Hold me to your chest, hide me in your bosom, Mother support me"
,"Amma mujhe sambhalo
Mother support me",
