line id verse number,urdu transliteration text,english translation text
,"Ay Maa Tum Mujhe Paas Bulalo Mujhe Pyaas Satati He
Turbat Se Ali Asghar Ki  Awaaz Ye Aati Hey
From The Grave Comes Ali Asghar's Voice","O Mother Bring Me Close To You, The Thirst Is Making Me Suffer"
,"Yaad Aaye Bohot Mujhko Tera Jhula Jhulana
Hyy, Kabhi Seene Se Laga Ke Tera Lori Sunana
Jab Rayt Garam Pyaari Maa - Mere Tan Ko Jalaati Hey
When The Hot Sand O' Mother Burns My Body","I Am Reminded Of You Rocking My Cradle
Oh, Sometimes Being Held Close To Your Chest Listening To You Sing A Lullaby"
,"Ay Maa Tum Mujhe Paas Bulalo Mujhe Pyaas Satati He
Turbat Se Ali Asghar Ki  Awaaz Ye Aati Hey
From The Grave Comes Ali Asghar's Voice","O Mother Bring Me Close To You, The Thirst Is Making Me Suffer"
,"Haye Pyaas Ki Shiddat Se Gala Sukha Parha Hey
Hyy, Hey Zakhmi Gala Usme Ay Maa Dard Khara Hey
Turbat Me Akela Hu(n) Mey - Tanhaai Daraati Hey","My Throat Is Parched From The Intense Thirst
Oh, My Wounded Neck O' Mother Is Racked With Pain
I Am Alone In The Grave Terrified By The Loneliness"
,"Ay Maa Tum Mujhe Paas Bulalo Mujhe Pyaas Satati He
Turbat Se Ali Asghar Ki  Awaaz Ye Aati Hey
From The Grave Comes Ali Asghar's Voice","O Mother Bring Me Close To You, The Thirst Is Making Me Suffer"
,"Jhule Mey Parha Asghar Din Raat Hey Roya
Asghar lay in the cradle crying day and night
Hyy, Jab Pyaas Bujhi Iski To Phir Cheyn Se Soya
Maqtal Mey Sakina Phir Kyun - Ise Dhoond Ne Jaati Hey","Oh, he slept soundly only when his thirst was quenched
Then why is Sakina searching  for him in the battlefield"
,"Ay Maa Tum Mujhe Paas Bulalo Mujhe Pyaas Satati He
Turbat Se Ali Asghar Ki  Awaaz Ye Aati Hey
From The Grave Comes Ali Asghar's Voice","O Mother Bring Me Close To You, The Thirst Is Making Me Suffer"
,"Darwaaze Pe Khaima Ke Ye Ik Bibi Khar(r)i Hey
Haye, Mur Mur Ke Jo Maqtal Ki Taraf Dekh Rahi Hey
Ik Khoon Bharey Chole Ko - Aankho Sey Lagaati Hey","A Lady Is Standing At The Tent's Entrance
Oh, She Is Desperately Gazing Towards The Battlefield
She Is Pressing A Blood Soaked Cloth Against Her Eyes"
,"Ay Maa Tum Mujhe Paas Bulalo Mujhe Pyaas Satati He
Turbat Se Ali Asghar Ki  Awaaz Ye Aati Hey
From The Grave Comes Ali Asghar's Voice","O Mother Bring Me Close To You, The Thirst Is Making Me Suffer"
,"Wo Shame Ghariba Ko Ajab Zulm Huwa Tha
On Shame Ghariba A Terrible Oppression Occurred
Hyy, Sar Nange Thi Har Bibi Har Ik Khaima Jalaa Tha
Abbas Ka Saaniy-e-zahra - Hyy Farz Nibhaati Hey
Zainab Is Conducting Abbas's Duties","Oh, all the ladies were bare headed and the tents were burnt"
,"Ay Maa Tum Mujhe Paas Bulalo Mujhe Pyaas Satati He
Turbat Se Ali Asghar Ki  Awaaz Ye Aati Hey
From The Grave Comes Ali Asghar's Voice","O Mother Bring Me Close To You, The Thirst Is Making Me Suffer"
,"Akhtar Ye Hawaao Ne Jo Paighaam Diya Hey
Hyy, Asghar Tujhe Sughra Ne Bohot Yaad Kiya Hey
Ik Baar Madine Aawo - Bemaar Bulaati Hey","These Winds Have Brought A Message, Akhtar
Oh, Asghar Sughra Is Remembering You
Come Back To Madina Your Ill(sister) Is Calling You"
,"Ay Maa Tum Mujhe Paas Bulalo Mujhe Pyaas Satati He
Turbat Se Ali Asghar Ki  Awaaz Ye Aati Hey
From The Grave Comes Ali Asghar's Voice","O Mother Bring Me Close To You, The Thirst Is Making Me Suffer"
