line id verse number,urdu transliteration text,english translation text
,"AYE FARISHTON MUJHE KARBALA LE CHALO
Marshia Translations | ISIJ of Toronto","O Angels, please take me to Karbala…"
,"APNE MAULA KE KADMO KO CHUMUNGA MAI
FARSH SE ARSH KOH AAJ CHUMUNGA MAI
Marshia Translations | ISIJ of Toronto","I will kiss the feet of my MasterFrom this earth, I will kiss the sky today"
,"YEH IBADAT KOH HARGIZ NA BHULUNGA MAI
TUMKO ALLAH KA WASTA LE CHALO
Marshia Translations | ISIJ of Toronto","I will never forget this worship,I plead you in the name of God, please take me…"
,"HAQ ADAAI HU MAI TUMKO MAALUM HAI
EK FIDAAI HU MAI TUMKO MALUM HAI
Marshia Translations | ISIJ of Toronto",You know that I am not ungratefulYou know that I am in love(with Ahlul Bayt)
,"KARBALAAI HU MAI TUMKO MALUM HAI
MERI MAYYAT YAHA SE UTHA LE CHALO
Marshia Translations | ISIJ of Toronto",You know that I am a KarbalaaiPlease carry my dead body and take me there…
,"YEH LAHAD TOH NAHI HAI THIKANA MERA
YAANI HAI AB WAHI AAB DAANA MERA
Marshia Translations | ISIJ of Toronto",This grave is not the final destination for me. This means that now my water and food is provided therein
,"BAN GAYA HAI WAHI AASHYANA MERA
YAA NAJAF MUJHKO YA NAINAVA LE CHALO
Marshia Translations | ISIJ of Toronto",This has become my abode nowPlease take me either to Najaf or Nainawa (Karbala)
,"SAR KE BAL AAJ CHALTA HUA AA JAUGA
HAI IRAADA YAHI SAMARRAH JAUGA
Marshia Translations | ISIJ of Toronto",I will crawl and come backI intend to go to Samarra
,"MAI KHURASAN NAJAF KARBALA JAAUNGA
KHULD JAHA HAI MUJHE US JAGAH LE CHALO
Marshia Translations | ISIJ of Toronto","I will go to Khurasaan, Najaf and Karbala. Where the heaven is on earth, please take me there…"
,"ALLAH GHAAZI KA ROBO HASHAM
SEENAE AAB PAR USNE GAARDA ALAM
Marshia Translations | ISIJ of Toronto",O God! The might and authority of Ghaazi (Abbas A.S). He planted his flag in the chest of the river
,"SOCHA SAHIL PE YEH BEHRE AHLE HARAM
DOSH PAR RAKHKE YEH ALQAMA LE CHALO
Marshia Translations | ISIJ of Toronto","He thought at the banks of river, for the sake of the families. Carry water on my shoulders and take me there…"
,"AI ABAD MERI JANNAT HAI KARBOBALA
MERI MATTI ME HAI ISHQE AALE IBAA
Marshia Translations | ISIJ of Toronto","O Abad (poet), my paradise is Karbobala. The love of Ahlul Bayt is deeply ground with my clay (essence)"
,"KUCH NAI CHAYE MUJHKO USKE SIWAA
SUE DAAMANE AHLE KISA LE CHALO
Marshia Translations | ISIJ of Toronto","I don’t want anything besides, The presence of Ahle Kisa (the people of the cloak), so please take me there…"
