line id verse number,urdu transliteration text,english translation text
,"”Aye Kerbala Hussein Ke Gham Ko Na Bhulaana”
-",Please recite a Surah Fateha for the Marhumeen of all who made this translation possible
,"Aye Kerbala Hussein Ke Gham Ko Na Bhulaana
O Karbala don't ever forget Hussain's sorrow
(Warna Tujhe Bhi Saraa) Bhulaa Dega Zamanaa","Else, you too will be forgotten with the World"
,"Inn Rait Ke Urte Huwe Zarraat Se Kehna
Say to these flying sand particles
(Asgher Ki Yehi Qabr Hai) Usko Na Mitanaa","This is Asghar's grave , don't obscure it"
,"Aye Kerbala Hussein Ke Gham Ko Na Bhulaana
O Karbala don't ever forget Hussain's sorrow
(Warna Tujhe Bhi Saraa) Bhulaa Dega Zamanaa","Else, you too will be forgotten with the World"
,"Khaymese Nange Paaun Chali Kis Tarha Zainab
(Ye Baat Alamdaar Ko) Hargiz Na Batanaa","How did Zainab walk bare feet from the tent
Don't ever tell this to The Standard Bearer"
,"Aye Kerbala Hussein Ke Gham Ko Na Bhulaana
O Karbala don't ever forget Hussain's sorrow
(Warna Tujhe Bhi Saraa) Bhulaa Dega Zamanaa","Else, you too will be forgotten with the World"
,"Tujh Ko Kya Hai Kerbobalaa Kis Ne Muallaa
(Ye Khuun Hai Rasuul Ka) Isko Na Chupanaa","Karbala, who has Elevated your Status
This is the Prophet's blood, don't ever conceal it"
,"Aye Kerbala Hussein Ke Gham Ko Na Bhulaana
O Karbala don't ever forget Hussain's sorrow
(Warna Tujhe Bhi Saraa) Bhulaa Dega Zamanaa","Else, you too will be forgotten with the World"
,"Ay Chaand Sitaaro Ali Akber Ki Shahadaat
O Moon and Stars, Ali Akbar's martyrdom
(Sughraa Ko Na Rasuul Ke)  Rauzepe Sunanaa",Don't convey it to Sughra at Prophet's tomb
,"Aye Kerbala Hussein Ke Gham Ko Na Bhulaana
O Karbala don't ever forget Hussain's sorrow
(Warna Tujhe Bhi Saraa) Bhulaa Dega Zamanaa","Else, you too will be forgotten with the World"
,"Nehre Furaat Ki Ye Taraptii Huwi Mawje
These trembling waves of river Euphrates
(Abbas E Alamdaar Ko) Surat Na Dikhanaa",Don't (be audacious) to show face to Abbas the Standard Bearer
,"Aye Kerbala Hussein Ke Gham Ko Na Bhulaana
O Karbala don't ever forget Hussain's sorrow
(Warna Tujhe Bhi Saraa) Bhulaa Dega Zamanaa","Else, you too will be forgotten with the World"
,"Pyaasa Hay Teen Roz Ka Nanha Ali Asgher
Infant Ali Asghar is thirsty for three days
(Paani Ke Ewaz Teerse) Isko Na Sulanaa","Don't put him to sleep with an arrow, in lieu of some water"
,"Aye Kerbala Hussein Ke Gham Ko Na Bhulaana
O Karbala don't ever forget Hussain's sorrow
(Warna Tujhe Bhi Saraa) Bhulaa Dega Zamanaa","Else, you too will be forgotten with the World"
,"Dekho To Zaraa Ghor Se Akber Ko Laaeeno
Look closely to Akbar, O accursed people
(Hamshakl Hai Rasuul Ka) Barchi Na Laganaa","He is the Prophet's Resemblance, don't poke spears at him"
,"Aye Kerbala Hussein Ke Gham Ko Na Bhulaana
O Karbala don't ever forget Hussain's sorrow
(Warna Tujhe Bhi Saraa) Bhulaa Dega Zamanaa","Else, you too will be forgotten with the World"
