line id verse number,urdu transliteration text,english translation text
,Aye raat na dhalna ke ujad jayegi Zainab,"O night do not fade, Zainab will be destroyed"
,Bhai se dame subh bichar jayegi Zainab,Zainab will be torn away from her brother at dawn
,Sone de Sakina ko ke phir so na sakegi,Let Sakina sleep she will not be be able to sleep later
,Rona bhi jo chahegi to phir ro na sakegi,even if she wants to she will not be allowed to cry
,"Asghar se mulaqat to phir ho na sakegi
She will never see Asghar again",
,Aye raat na dhalna ke ujad jayegi Zainab,"O night do not fade, Zainab will be destroyed"
,"Ghabrae huwe laal hai sahmi hui maayain
Children are anxious, mothers are disillusioned",
,"Jee bhar ke main de loo Ali Akbar ko duae
Let me give heartfelt duas to Ali Akbar",
,Lena hai abhi Auno- Mohammad ki balaye,I have yet to accept the calamity of Aun and Muhammad
,Aye raat na dhalna ke ujad jayegi Zainab,"O night do not fade, Zainab will be destroyed"
,"Har chand se bachon ki abhi pyas hai baqi
The innocent children are still thirsty",
,"Kuch ankh me hasrat to kuch aas hai baqi
The eyes still wish and hope (for water) remains",
,Lekin mera bhai mera Bhai Mera Abbas hai baqi,Because my brother Abbas is still alive
,Aye raat na dhalna ke ujad jayegi Zainab,"O night do not fade, Zainab will be destroyed"
,Aye raat bikhar tere bas me hai jaha tak,O night scatter away as far as you can
,Mit jaaye kal ale Paymabar ke Nishan tak,(for) Tomorrow all signs of the Prophet will be wiped off
,"Baqi hai ye manzar Ali Akbar ki Azaan tak
This scene will only remain till Ali Akbar's adhaan",
,Aye raat na dhalna ke ujad jayegi Zainab,"O night do not fade, Zainab will be destroyed"
,"Baqi hai abhi aale Mohammad ka safina
The ship of Ahle Bait(Hussain) is still alive",
,Beti ko sulane ka hai Shabbir ka sina,Shabbir's bosom is still there for Sakina to rest
,"Jhoola Ali Asghar ka jhulati hai Sakina
Sakina is rocking Ali Asghar's cradle",
,Aye raat na dhalna ke ujad jayegi Zainab,"O night do not fade, Zainab will be destroyed"
,Kal kaun sunega ye meri aaho buka bhi,Who will listen to my pain and lament tomorrow
,Hoga tahe khanjar mere bhai ka gala bhi,My brother's throat will be on the edge of the sword
,Khaima to kuja sar pe na hogi ye rida bhi,The tents will be gone and my hijab too
,Aye raat na dhalna ke ujad jayegi Zainab,"O night do not fade, Zainab will be destroyed"
,Aye raat ghari bhar ko to rahne de sukoon main,O night leave us in peace for a while
,Ghir jayenge nasir mere aada ki safon meen,My helpers will be surrounded by the ranks of the enemy
,Ye Chand se chehre to naha jayenge khoon meen,Their innocent faces will be drenched in blood
,Aye raat na dhalna ke ujad jayegi Zainab,"O night do not fade, Zainab will be destroyed"
