line id verse number,urdu transliteration text,english translation text
,"Muhamad Kay Gharanay Se Wafadari Karenge Hum
Marshia Translations | ISIJ of Toronto",We Will Show Our Loyalty To The Family Of Muhammad (Pbuh).
,"Azakhane Sajaein Ge Azadari Karenge Hum
Marshia Translations | ISIJ of Toronto",We Will Decorate Our Centres (In Black Cloth) And We Will Do Azadari.
,"Sharaf humne yeh paya hai dua e Fatima hain hum
To jab tak jan baaqi hai karenge shah ka matam
Marshia Translations | ISIJ of Toronto","We have attained the honour of being the du’a of Bibi Fatima. For as long as we live, we will mourn Hussain."
,"Janab E Sayyada Se Yoon Namakhari Karenge Hum
Marshia Translations | ISIJ of Toronto",We Will Show Our Loyalty To Bibi Fatima In This Way
,"Bicha kar farsh e matam hum nay duniya ko bataya hai
Yeh izzat or yeh daulat shah e wala ka sadqa hai
Marshia Translations | ISIJ of Toronto",We Have Showed The World Through Our Mourning. All This Wealth And Respect Is Through Hussain Only.
,"Fida dolat inhi kay naam per sari karenge hum
Marshia Translations | ISIJ of Toronto",We Will Sacrifice All Our Wealth In Hussain’s Name
,"Julooso me jari abbas ka parcham uthaein ge
Waha(n’) naam e sakina par sabeelein bhi lagayein ge
Marshia Translations | ISIJ of Toronto",We will carry the flag of Abbas in our processions. We will give out water in the name of Sakina.
,"Mukamal Mah E Ghum Ki Aise Tayari Karenge Hum
Marshia Translations | ISIJ of Toronto",We Will Prepare For The Days Of Mourning In This Way
,"Jo zehra se kiya hum nay wohi wada nibhaein ge
Jahan jayein ge ghazi ka wahan parcham lagayein ge
Marshia Translations | ISIJ of Toronto",We Will Try And Fulfil The Promise Made To Zahra. Wherever We Go We Will Carry The Flag Of Abbas.
,"Hussaini qaflay ki ab alamdari karenge hum
Marshia Translations | ISIJ of Toronto",We Will Carry This Flag In Our Hussaini Processions
,"Sabhi bhai, bhateeje, bhanjay maray gaye piyase
Bas ik hi roz me haaye sitam lakhon sahay jis nay
Marshia Translations | ISIJ of Toronto",All of Hussain’s brothers and nephews were killed thirsty. The one who endured countless oppression on one day.
,"Hussain Ibn E Ali Pe Girya O Zaari Karenge Hum
Marshia Translations | ISIJ of Toronto",We Will Mourn For Hussain!
,"Azadari kay sadqay me humein maula bulaein ge
Sakina ka dar e shabeer py nauha sunaein ge
Marshia Translations | ISIJ of Toronto",He will call us to perform azadari at his shrine. We will recite a eulogy for Sakina at his shrine.
,"Yaqeenan Roza E Sarwar Ki Zawari Karenge Hum
Marshia Translations | ISIJ of Toronto",We Will No Doubt Visit His Shrine!
,"Yeh ghum to arsalan e ghumzada wirsay me paya hai
Humein abbas nauha maa nay lori me sunaya hai
Marshia Translations | ISIJ of Toronto","Arsalan, heavy heartedly says, we were taught to mourn for Hussain by our parents. Abbas (Karim), my mother recited nohas as lullabies to me."
,"Yeh Wirsa Apni Naslon Me Yun Hi Jaari Karenge Hum
Marshia Translations | ISIJ of Toronto",We Will No Doubt Pass This Down Through Our Generations.
