line id verse number,urdu transliteration text,english translation text
,"Bano kahan talash karein apne laal ko
Jungle may maar daala hai zehra ki aal ko","Where should Bano search for her son?
The progeny of Zahra has been massacred in Karbala"
,Bano kahan talash karei apne laal ko,Where should Bano search for her son?
,"Shabbir laa rahe hai maidan se dekhiye
Apne zayeef kaandhon pa athara saal ko
His eighteen year-old son upon his ageing shoulders","Observe, how Shabbir is bringing from the battlefield"
,Bano kahan talash karei apne laal ko,Where should Bano search for her son?
,"Shabbir dil ko thaam ke ghash khake gir pade
Dekha jo khoon may garkh nabi ke jamaal ko
Shabbir, clutching his heart, fainting fell",When he saw the beauty of the Prophet drowned in blood
,Bano kahan talash karei apne laal ko,Where should Bano search for her son?
,"Laila duvayein karti rahi baad e karbala
Ya rab juda na karna kisi maa se laal ko
Laila kept praying after Karbala","O Lord, never separate a mother from her son"
,Bano kahan talash karei apne laal ko,Where should Bano search for her son?
,"Shabbir mere paas hai sadke ko bas yahi
jhoole se laake de diya bano ne laal ko","“Shabbir, this is all I have to offer as sacrifice”
Bano said, and gave him her son from the cradle"
,Bano kahan talash karei apne laal ko,Where should Bano search for her son?
,"Bano kahan talash karein apne laal ko
Jungle may maar daala hai zehra ki aal ko","Where should Bano search for her son?
The progeny of Zahra has been massacred in Karbala"
,Bano kahan talash karei apne laal ko,Where should Bano search for her son?
