line id verse number,urdu transliteration text,english translation text
,"Tera Chehlum Manane Ghurbat Pe
Qaid Khane Se Aagayi Zainab",To Commemorate Your 40th in LonelinessZainab As Come From The Prison
,"Brother… Zainab Has Come
Bhaiyya... Aagayi Zainab",
,"Paas Tere Teri Sakina Ko
Saath Apne Na Laa Saki Zainab",Zainab Could Not Bring Sakina With Her To You
,"Haye Atthara Bhaiyo Wali
Berida Shaam Hoke Aayi Hai",Oh The One With 18 Brothers Has Come From Sham Without Any Covering
,"Neel Zakhmo Ke Aur Baazu Par
Rassiyo Ke Nishaan Laayi Hai",With Bruised Wounds And ArmsCovered With Marks Of Ropes
,"Tune Paala Tha Jisko Naazo Se
Ab Wo Zainab Nahi Rahi Zainab","After You Raised Her With Such CareNow That Zainab, Isn’t That Zainab Anymore"
,"Brother… Zainab Has Come
Bhaiyya... Aagayi Zainab",
,"Itne Chhale Pade Hai Payro Mein
Mujhse Bhaiyya Chala Nahi Jaata",I Have So Many Blisters In My FeetBrother I Can’t Walk Anymore
,"Dil Ye Kehta Hai Kehdu Sab Tumse
Par Zubaa Se Kaha Nahi Jaata",My Heart Says To Tell You EverythingMy Tongue Doesn’t Let Me Speak Anymore
,"Kabhi Kaato'n Bhari Zamee'n Pe Chali
Aur Kabhi Aag Par Chali Zainab","Sometimes, Zainab Walked On Thornes And Sometimes She Walked On Fire"
,"Brother… Zainab Has Come
Bhaiyya... Aagayi Zainab",
,"Bekasi Maa Ki Yaad Aati Thi
Apni Ghurbat Ko Bhool Jaati Thi",Remembering My Helpless MotherI Used To Forget My Own Situation
,"Mujhko Darbaar Mein Sharabi Ke
Amma Zahra Ki Yaad Aati Thi","In The Court Of The Drunkard,I Used To  Remember My Mother Zahra"
,"Log Teri Bahan Pe Haste The
Sar Jhukaye Khadi Rahi Zainab",People Used To Laugh At Your Sister (Zainab) As She Stood With Her Head Lowered
,"Brother… Zainab Has Come
Bhaiyya... Aagayi Zainab",
,"Haye Meri Janib Ishare Karte The
Shehr E Kufa Ke Log Has Has Kar",The People Of Kufa Used To Point And Laugh At Me
,"Jis Se Sajjad Ne Rida Maangi
Usne Maare Ghareeb Ko Patthar","When Sajjad Asked For A Head Cover, They Hit Him With Stones"
,"Aakhri Saans Tak Na Bhulegi
Kufe Walo Ki Be Rukhi Zainab",Till Her Last Breath Zainab Will Not Forget The Cruelty Of The People Of Kufa
,"Brother… Zainab Has Come
Bhaiyya... Aagayi Zainab",
,"Wo Jo Puchegi Apne Akbar Ka
Jaake Sughra Ko Kya Bataungi",When She Asks About Her AkbarWhat Will I Tell Sughra?
,"Saath Tera Agar Nahi Hoga
Qabr Pe Maa Ke Kaise Jaungi",How Will She Go To The Grave Of Mother Without You
,"Oh Stranger Without YouZainab Won’t Go Home
Aye Ghareeb Ul Watan Baghair Tere
Laut Kar Ghar Na Jayegi Zainab",
,"Brother… Zainab Has Come
Bhaiyya... Aagayi Zainab",
,"Haye Kabhi Takti Thi Wo Tere Sar Ko
Kabhi Abbas Ko Bulati Thi","Oh When She Used To Stroke Your (Hussain) Head, Sometimes She Used To Call Abbas"
,"Meri Aankho'n Ke Saamne Bhaiyya
Teri Bachhi Tamache Khati Thi",In Front Of My Eyes BrotherYour Daughter Was Slapped
,"Haath Mere Bandhe The Gardan Se
Shimr Ko Kaise Rokti Zainab",My Hand Were Tied To My NeckHow Could I Stop Shimr?
,"Brother… Zainab Has Come
Bhaiyya... Aagayi Zainab",
,"Qabr E Mazloom Par Takallum Ye
Keh Rahi Thi Batool Ki Jayi","On The Grave Of The Oppressed, Takallum, Batool’s Beloved Was Saying,"
,"Tujh Se Wada Bahan Ye Karti Hai
Khatm Ho Jayegi Ye Tanhayi",She Has Promised You That This Loneliness Will End
,"Tera Chehlum Manayegi Duniya
Ibteda Aaj Kar Chuki Zainab",Your 40th Will Be Commemorate By The Whole World. Zainab Has Started It Today
,"Brother… Zainab Has Come
Bhaiyya... Aagayi Zainab",
