line id verse number,urdu transliteration text,english translation text
,Jub Dafn Karne  Aaye Tan E Pash Pash Ko,When he came to bury the trampled body
,Aabid (ASWS) Pukare Dekh Ke Ghazi (ASWS) Ki Lash Ko,Imam Sajjad (AS) cried out looking at the body of the warrior
,"Chacha Mai Aap Ki Turbat Banane Aaya Hun, Sakina (SAWS) Ab Bhi Hai Pyasi Batane Aaya Hun","“O Uncle, I have come to make your tomb, and to tell you that Sakina is still thirsty”"
,"Bataun Kaise Chacha Kya Guzar Gayi Hum Par, Har Ek Shehr Mein  Mare Gaye Humein Patthar","How should I tell you O my uncle, what befell on us?
We were hit with stones in every city that we were paraded in."
,"Thi Maaien Phupiyan Mere Sath Ay Ali (ASWS) Ke Pisar, Yeh Sare Zulm Ke Kisse Sunane Aaya Hun","O son of Ali, my mother and aunts were with me, I have come to relay the stories of all these tragedies"
,"Haram Ko Chor Ke Kufe Se Aa Raha Hun Chacha, Bata Gaye Hai Tumhari Wasiyaten Baba","O Uncle, I have come from Kufa, leaving my family behind, My father has conveyed your final request (will)"
,"Wahin Ho Kabr Chida Tha Jahan Pe Mashkiza, Kiya Tha Sheh (ASWS) Se Jo Wada Nibhane Aaya Hun","That you be buried where the water bag was pierced, I have come to fulfill the promise I made to my father"
,"Hai Teen Roz Se Lash E Pe Dhoop Ka Saya, Yeh Haal Dekh Ke Rota Hai Khoon Dil Mera","Your body lay under the scorching sun for three days, My heart cries out witnessing your state"
,"Ghareeb Hun Mai Kafan Tumko De Nahi Sakta, Tumhari Lash Ke Tukre Uthane Aaya Hun","I am helpless such that I cannot even give you a shroud, I have come to pick up the cut pieces of your body"
,"Layeen (LA) Ne Bacchi Ke Gohar Ko Aaise Cheena Tha, Giri Zameen Pe Sakina (SAWS) Mai Khoon Rota Tha","The accursed snatched the little girl's earrings such that, Sakina fell to the ground while I cried profusely"
,"Woh Jis Zameen Pe Kanon Se Khoon Tapka Tha, Woh Khaak Rakhne Tumhare  Sirhane Aaya Hun","The earth where blood dropped from her ears, I have come to place that very dust besides you"
,"Bagair Inke Tum Utre The Zeen Se Kaise, Haram To Lut Gaye Yeh Bazu Kat Gaye Jubse",How did you fall from the horse without your arms? Our household was devastated the moment your arms were cut off
,"Pare The Door Yeh Lashe Se Aap Ke Kab Se, Kate Yeh Bazu Badan Se Milane Aaya Hun",Since when were your arms lying far away from your body? I have come to unite your arms with your body
