line id verse number,urdu transliteration text,english translation text
,Dua Karo Ke Koi Mojiza Dikhae Hussain,Pray that Hussain shows us a miracle
,Phir Ek Baar Hume Karbala Bulaae Hussain,May we get called to Karbala!
,Naseeb Jald Mujhe Shah Ki Ziyarat Ho,May I be granted the Ziyarat of Hussain
,"Mujhe Bhi Kaash Kisi Shab Me Ye
Basharat Ho",May I get this inspiration one evening
,"Let’s go, Hussain has come to collect you himself today
Chalo Utho Ke Tumhe Aaj Lene Aaye Hussain",
,Woh Jiska Khana E Kaba Tawaaf Karta Hai,"That, which the Ka’aba circumambulates"
,Woh Jiski Jaaliyan Jibreel Saaf Karta Hai,That whose Zareeh is cleaned by Jibraeel
,Wahaan Ka Mujhko Bhi Jaarob Kash Banaye Hussain,May Hussain grant me the honour of cleaning his shrine
,Hatega Jaise Hi Aankhon Se Ashk Ka Parda,As soon as the flood of tears is removed from my eyes
,"If Hussain awakens my destiny
Mera Naseeb Jo Ek Baar Phir Jagaa E Hussain",
,Who Jisko Baantna Chahe Woh Baant De Jannat,"Whoever he wants to grant Jannah, he can do ao"
,Mera To Karbobala Me Hi Ghar Banaye Hussain,I just want Hussain to make a house for me in Karbala
