line id verse number,urdu transliteration text,english translation text
,"DUA KARO KE KOI MOJIZA DIKHAE HUSSAINPRAY THAT HUSSAIN SHOWS US A MIRACLEEnglish Transliteration
@HujjatELC
Dua Karo Ke Ko Mojiza Dikhae Hussain – Pray that Hussain shows us a miracle",
,"Dua karo ke koi mojiza dikhae Hussain, phir ek baar hume karbala bulaae Hussain
@HujjatELC
Dua Karo Ke Ko Mojiza Dikhae Hussain – Pray that Hussain shows us a miracle","PRAY THAT HUSSAIN SHOWS US A MIRACLE, PRAY THAT HE SHOWS US KARBALA (ONCE AGAIN)"
,"Naseeb jald mujhe shah ki ziyarat ho
Mujhe bhi kaash kisi shab me yeh basharat ho
Chalo utho ke tumhe aaj lene aaye Hussain
phir ek baar hume karbala bulaae Hussain
@HujjatELC
Dua Karo Ke Ko Mojiza Dikhae Hussain – Pray that Hussain shows us a miracle","MAY I BE DESTINED FOR THE ZIYARAT OF HUSSAIN
MAY I GET THIS GOOD NEWS ONE EVENING…
…THAT COME, TODAY HUSSAIN HAS COME TO COLLECT YOU
… PRAY THAT HE SHOWS US KARBALA (ONCE AGAIN)"
,"Dua karo ke koi mojiza dikhae Hussain, phir ek baar hume karbala bulaae Hussain
@HujjatELC
Dua Karo Ke Ko Mojiza Dikhae Hussain – Pray that Hussain shows us a miracle","PRAY THAT HUSSAIN SHOWS US A MIRACLE, PRAY THAT HE SHOWS US KARBALA (ONCE AGAIN)"
,"Wo jis ka khana e kaaba tawaaf karta hai
Wo jiski jaliyaan jibreel saaf karta hai
Wahaan ka mujhko bhi jaa-rob-kash banaye Hussain
phir ek baar hume karbala bulaae Hussain
THAT PERSON, WHOSE SHRINE JIBRA’EEL CLEANS
@HujjatELC
Dua Karo Ke Ko Mojiza Dikhae Hussain – Pray that Hussain shows us a miracle","THAT WHICH THE HOLY KA’BA CIRCUMAMBULATES
MAY HUSSAIN MAKE ME A CLEANER OF THAT HOLY SHRINE
PRAY THAT HE SHOWS US KARBALA (ONCE AGAIN)"
,"Dua karo ke koi mojiza dikhae Hussain, phir ek baar hume karbala bulaae Hussain
@HujjatELC
Dua Karo Ke Ko Mojiza Dikhae Hussain – Pray that Hussain shows us a miracle","PRAY THAT HUSSAIN SHOWS US A MIRACLE, PRAY THAT HE SHOWS US KARBALA (ONCE AGAIN)"
,"Hatay ga jaise hi aankhon se ashk ka parda
Karunga roza e sarwar pe shukr ka sajda
Mera naseeb jo ek baar phir jagaa e Hussain
phir ek baar hume karbala bulaae Hussain
IF HUSSAIN AWAKENS MY DESTINY ONCE AGAIN
@HujjatELC
Dua Karo Ke Ko Mojiza Dikhae Hussain – Pray that Hussain shows us a miracle","AS SOON AS THE I WIPE THE TEARS OFF MY EYES
I WILL DO A SAJDA TO THANK ALLAH SWT (FOR THIS OPPORTUNITY)
PRAY THAT HE SHOWS US KARBALA (ONCE AGAIN)"
,"Dua karo ke koi mojiza dikhae Hussain, phir ek baar hume karbala bulaae Hussain
@HujjatELC
Dua Karo Ke Ko Mojiza Dikhae Hussain – Pray that Hussain shows us a miracle","PRAY THAT HUSSAIN SHOWS US A MIRACLE, PRAY THAT HE SHOWS US KARBALA (ONCE AGAIN)"
,"Jisay bhi banta chaahe woh baant de Jannat
Mujhe khuda ki qasam, khuld se nahi raghbat
Mera to karbobala me hi ghar bana e Hussain
phir ek baar hume karbala bulaae Hussain
@HujjatELC
Dua Karo Ke Ko Mojiza Dikhae Hussain – Pray that Hussain shows us a miracle","WHOEVER HE WISHES TO – HE CAN GRANT THEM HEAVEN
I SWEAR BY GOD – I HAVE NO LONGING FOR HEAVEN…
…ALL I WANT IS HUSSAIN TO GIVE ME A PLACE IN KARBALA
PRAY THAT HE SHOWS US KARBALA (ONCE AGAIN)"
,"Dua karo ke koi mojiza dikhae Hussain, phir ek baar hume karbala bulaae Hussain
@HujjatELC
Dua Karo Ke Ko Mojiza Dikhae Hussain – Pray that Hussain shows us a miracle","PRAY THAT HUSSAIN SHOWS US A MIRACLE, PRAY THAT HE SHOWS US KARBALA (ONCE AGAIN)"
,"Bayaan kaise ho mola ka ikhtetaame safar
Lage the jisme Mubarak pe itne teer-o-tabar
Giray zaroor zameen par magar na aaye Hussain
phir ek baar hume karbala bulaae Hussain
@HujjatELC
Dua Karo Ke Ko Mojiza Dikhae Hussain – Pray that Hussain shows us a miracle","HOW CAN I TELL YOU THE WAY THE IMAM’S JOURNEY ENDED?!
HIS HOLY BODY WAS PIERCED BY SO MANY ARROWS!!
HE FELL FOR SURE – BUT HIS BODY DIDN’T HIT THE GROUND (AS HE LAY ON A BED OF ARROWS!)
PRAY THAT HE SHOWS US KARBALA (ONCE AGAIN)"
,"Dua karo ke koi mojiza dikhae Hussain, phir ek baar hume karbala bulaae Hussain
@HujjatELC
Dua Karo Ke Ko Mojiza Dikhae Hussain – Pray that Hussain shows us a miracle","PRAY THAT HUSSAIN SHOWS US A MIRACLE, PRAY THAT HE SHOWS US KARBALA (ONCE AGAIN)"
,"Behan pukaar rahi thi, yeh baabe khaima se
Utha ke laaye ho tum subho se kaiee laashe
Tumhaari laash ko maqtal se kon laaye Hussain
phir ek baar hume karbala bulaae Hussain
YOU HAVE BROUGHT SO MANY BODIES BACK ALL MORNING
@HujjatELC
Dua Karo Ke Ko Mojiza Dikhae Hussain – Pray that Hussain shows us a miracle","HIS SISTER WOULD CRY FROM THE TENTS AND SAY
WHO IS GOING TO BRING YOUR BODY BACK FROM THE BATTLEFIELD?
PRAY THAT HE SHOWS US KARBALA (ONCE AGAIN)"
,"Dua karo ke koi mojiza dikhae Hussain, phir ek baar hume karbala bulaae Hussain
@HujjatELC
Dua Karo Ke Ko Mojiza Dikhae Hussain – Pray that Hussain shows us a miracle","PRAY THAT HUSSAIN SHOWS US A MIRACLE, PRAY THAT HE SHOWS US KARBALA (ONCE AGAIN)"
,"‘Jari’ jahaan ko bata, jo ho sakay karlay
Humara khoon bahe, hume Shaheed kare
Magar na chorain gay ‘Akaash’ yeh azaae Hussain
phir ek baar hume karbala bulaae Hussain
@HujjatELC
Dua Karo Ke Ko Mojiza Dikhae Hussain – Pray that Hussain shows us a miracle","‘JARI’ (RECITOR NAME), TELL THE WORLD – DO WHAT YOU WANT
WE WILL SPILL OUR BLOOD, WE WILL BECOME MARTYRS
BUT ‘AKAASH’ (POET’S NAME) – WE WILL NOT LEAVE THE ‘AZA’ OF HUSSAIN!
PRAY THAT HE SHOWS US KARBALA (ONCE AGAIN)"
,"Dua karo ke koi mojiza dikhae Hussain, phir ek baar hume karbala bulaae Hussain
@HujjatELC
Dua Karo Ke Ko Mojiza Dikhae Hussain – Pray that Hussain shows us a miracle","PRAY THAT HUSSAIN SHOWS US A MIRACLE, PRAY THAT HE SHOWS US KARBALA (ONCE AGAIN)"
