line id verse number,urdu transliteration text,english translation text
,,"Having lost her uncle Abbas (A.S.), her brother, Ali Akbar (A.S.) and her six month old baby brother, Ali Asghar (A.S.), Bibi Sakina (A.S.) realises that she is about to lose her beloved father on whose chest she always used to fall asleep and makes a final plea  to him.."
,Ek baar aur mujhe godh may lelo baba,"Please, just for one more time, hold me in your arms my baba (father)"
,"Wa hussaina ka hua shor haram may barpa
Hoke ruqsat jo chale ghar se shahe karbobala
Kehke ye daudi sakina ke teher jao zara","Cries of ""Wah Hussaina"" (a.s) are heard in the tents..
.. as Imam bids his last farewell to his family
Sakina (a.s.) runs towards her father, pleading him to wait for just a little bit longer"
,Ek baar aur mujhe godh may lelo baba,"Please, just for one more time, hold me in your arms my baba (father)"
,"Sheh ne bachi ka jo ye haal pareshan dekha
Roke farmaya ke kya haal meri mahelekha
Jodh kar nanhe se haathon ko sakina ne kaha","As Imam (a.s.) sees his daughter in such distress
He weeps and asks his darling why she is in such a state
With her tiny praying hands, Sakina (a.s.) pleads with her father"
,Ek baar aur mujhe godh may lelo baba,"Please, just for one more time, hold me in your arms my baba (father)"
,"Baba seene se sakina ko lagate jao
Ab kahan hogi mulaqat batate jao
Tumko Akbar ki qasam ghuncha dahan ka sadqa","My father, please hug your Sakina tightly to your chest
Tell me when and where we will meet again
I ask you for the sake of (my brother) Ali Akbar (a.s.)"
,Ek baar aur mujhe godh may lelo baba,"Please, just for one more time, hold me in your arms my baba (father)"
,"Ab mai pyasi hoo na pani ki zaroorat hai mujhe
Koi haajat nahi bas itni si hasrat hai mujhe
Dekhloo phir se jee bhar ke tumhara chehra","I am no longer thirsty nor do I need any water
I have no more desires, the only wish I have is..
.. to see your face for the last time to my heart’s content"
,Ek baar aur mujhe godh may lelo baba,"Please, just for one more time, hold me in your arms my baba (father)"
,"Sochti hoo ke tamache koi maare na mere
Goshware koi kaano se uthare na mere
Wehm aate hai mere dil may na jane kya kya","I keep wondering if someone will slap me (after you're gone)
that someone may snatch my earrings from my ears
My heart wonders if all this (and so much more) will happen to me (after you're gone)"
,Ek baar aur mujhe godh may lelo baba,"Please, just for one more time, hold me in your arms my baba (father)"
