line id verse number,urdu transliteration text,english translation text
,@HujjatELC,"GHAZI HO TUM KAHAANMY VICTORORIOUS ABBAS WHERE ARE YOUEnglish Transliteration
Ghazi Ho Tum Kahaan - MY VICTORORIOUS ABBAS WHERE ARE YOU"
,"Shaam Agaya Hai Ghazi Ho Tum Kahaan
@HujjatELC","WE HAVE ARRIVED IN SHAAM WHERE ARE YOU ABBAS
Ghazi Ho Tum Kahaan - MY VICTORORIOUS ABBAS WHERE ARE YOU"
,"Har Bibi Be Rida Hai Ghazi Ho Tum Kahaan
@HujjatELC","EVERY LADY IS WITHOUT HIJAB WHERE ARE YOU ABBAS
Ghazi Ho Tum Kahaan - MY VICTORORIOUS ABBAS WHERE ARE YOU"
,"Shaam Agaya Hai Ghazi Ho Tum Kahaan
@HujjatELC","WE HAVE ARRIVED IN SHAAM WHERE ARE YOU ABBAS
Ghazi Ho Tum Kahaan - MY VICTORORIOUS ABBAS WHERE ARE YOU"
,"Mashko Alam Sakina Seeney Pe Yun Saja Kar
Koozey Ko Tak Rahi Hai Abbas Ko Bulakar
Pur Soz Ek Sada Hai Ghazi Ho Tum Kahaan
@HujjatELC","SAKINA HOLDS THE WATER BOTTLE AND THE ALAM
LOOKS AT THE WATER BOWL AND CALLS OUT TO ABBAS
WITH GRIEF AND SADNESS,WHERE ARE YOU ABBAS
Ghazi Ho Tum Kahaan - MY VICTORORIOUS ABBAS WHERE ARE YOU"
,"Shaam Agaya Hai Ghazi Ho Tum Kahaan
@HujjatELC","WE HAVE ARRIVED IN SHAAM WHERE ARE YOU ABBAS
Ghazi Ho Tum Kahaan - MY VICTORORIOUS ABBAS WHERE ARE YOU"
,"Zarro Ko Hukm Do Ye Parda Mera Banaye
Kaanto Ka Hai Safar Ye Chalna Koi Sikhaye
Mushkil Ye Raasta Hai Ghazi Ho Tum Kahaan
@HujjatELC","ORDER THE SAND TO MAKE VEIL OVER US
WE WALK ON THE SHARP THORNS AND DONT KNOW HOW
HOW DIFFICULT IS THIS JOURNEY,WHERE ARE YOU ABBAS
Ghazi Ho Tum Kahaan - MY VICTORORIOUS ABBAS WHERE ARE YOU"
,"Shaam Agaya Hai Ghazi Ho Tum Kahaan
@HujjatELC","WE HAVE ARRIVED IN SHAAM WHERE ARE YOU ABBAS
Ghazi Ho Tum Kahaan - MY VICTORORIOUS ABBAS WHERE ARE YOU"
,"Nezey Pe Sar Akhi Ka Quran Par Raha Hai
Mujhe Un Saro Me Ghazi Tera Sar Nahin Dikha Hai
Zainab Ki Ilteja Hai Ghazi Ho Tum Kahaan
@HujjatELC","ON THE SPEARHEAD MY BROTHER RECITES QURAN
I CANNOT FIND YOUR HEAD AMONGST THE OTHERS
ZAINAB IS LOOKING FOR YOU WHERE ARE YOU ABBAS
Ghazi Ho Tum Kahaan - MY VICTORORIOUS ABBAS WHERE ARE YOU"
,"Shaam Agaya Hai Ghazi Ho Tum Kahaan
@HujjatELC","WE HAVE ARRIVED IN SHAAM WHERE ARE YOU ABBAS
Ghazi Ho Tum Kahaan - MY VICTORORIOUS ABBAS WHERE ARE YOU"
