line id verse number,urdu transliteration text,english translation text
,"(Haaye asghar, haaye asghar) x3
O Asghar, O Asghar
(Godi me aawo asghar, jula tera julaun) x2","Come to me Asghar, I will rock your cradle"
,Raton ko jag kar me lori tumhe sunaun,"I will stay awake at night, and sing you a lullaby"
,"(Godi me aawo asghar, jula tera julaun) x2","Come to me Asghar, I will rock your cradle"
,"Be teygh ran mei tu aur, qatil ka saamna tha
Dil tut ta hai mera, tu lot ke na aaya","You faced the enemies on the battlefield without a sword
My heart is breaking, you never returned back."
,"Koi nahi humara, ab kisko me bulaun
(Godi me aawo asghar, jula tera julaun) x2","No one is here for us, whom should I call..
Come to me Asghar, I will rock your cradle"
,"Jule ko dekh kar ab, beta me rorahi hun
Pyara sa tera chehra din raat dekhti hun","I cry when I see your empty cradle
I see your beautiful face day and night (on the spear)"
,"Kya beet ti hai mujhpar kaise tujhe bataun
(Godi me aawo asghar, jula tera julaun) x2","I can’t even tell you, what goes through my heart.
Come to me Asghar, I will rock your cradle"
,"Darya ke paas bhi tu, sehroz ka tha pyaasa
Paani ke badle beta, ik teer tune khaaya","We were so close to the river, yet you were thirsty
Instead of water, they gave you an arrow"
,"Paani ke saath ab mei, kaise nazar milaawu(n)
(Godi me aawo asghar, jula tera julaun) x2","Now how do I even look at water (without thinking of your thirst)
Come to me Asghar, I will rock your cradle"
,"Kya bezubaan bache, jaate hai suwe maqtal
Pathar dilo(n) se saara, haaye bhara hai karbal,","Do babies go fight on the battlefield?
The battlefield is filled with heartless enemies"
,"Lot aawo mere bete, kaise tujhe manaawu(n)
(Maan kehti thi asghar mere ghar lot ke aanaa) Mother keeps asking you to come back home O Aliasghar","Please come back to me my child, How else do I implore ?"
,"Thi aag ki zami(n) aur, thi pyaas ki wo shiddat
Kis haal me huwi thi, beta teri shahadat,
Under such unfortunate conditions, you experienced your martydom","The land was burning hot, the thirst unbearable"
,"ye baat janti hu(n), saye me kaise jaun
(Godi me aawo asghar, jula tera julaun) x2","How do I ever go under shade, (knowing you were under scorching heat?)
Come to me Asghar, I will rock your cradle"
,"Puchegi jab sakina, bhayi mera kahaan hai,
Amma zara batao asghar to meri jaan hai","When your sister Sakina asks me “where is my brother”
“Tell me mother, Asghar is my beloved”"
,"Bechayn hai sakina kaise usse manaun
(Godi me aawo asghar, jula tera julaun) x2","Sakina is so restless, how do I console her?
Come to me Asghar, I will rock your cradle"
,"Neze pe tera sar jab meri nazar me aya,
Thi me rasan mei leykin, ik baat ne sataaya","When I see your tiny head on the Spear
I am in chains, but it really hurts me.."
,"Zalim ke pathharon se kaise tujhe bachaun
(Godi me aawo asghar, jula tera julaun)","I cannot even save you from the stones thrown by the enemies
Come to me Asghar, I will rock your cradle"
,"Tu teer khake soya, jalti zamin pe beta
Zindane shaam me phir, marjayegi sakina","You died on the hot sands, being shot by an arrow, my son
In the dark dungeons of Shaam, Sakina will also die"
,"Yasrab ko laut kar me, sughra ko kya batawu(n)
(Godi me aawo asghar, jula tera julaun) x2","What will I answer your sister Sughra, When I return back to Medina?
Come to me Asghar, I will rock your cradle"
,"Bacho(n) ko khelte ab, kistarha se mei dekhu(n)
ye baat hai sataati, tumko kahaa(n) se laawu(n)","How will I bear to see children playing
It will definitely hurt me, I will not have you with me"
,"Ankho(n) ke aansuo(n) se, gham ke diye jalaawu(n)
(Godi me aawo asghar, jula tera julaun)","With my tears, I will put out this burning fire in my heart
Come to me Asghar, I will rock your cradle"
,"Sunti hu teer tumne, halqoom pe hai khaaya
Tera gala chida hai, Tu khun mei nahaaya,","I have heard, you were shot by an arrow on your neck
the Arrow split your throat, and you bathed in your own blood"
,"Karbal ki khaak sar par, kaise na ab urhaawu(n)
(Godi me aawo asghar, jula tera julaun)","How then would I not throw the sand of Kerbala on my head (to express my grief)
Come to me Asghar, I will rock your cradle"
,"Jab ran se laash ayi, kya haal tha “Tejani”
Choti lahad banaake, banu ye roke boli
Digging her sons small grave, Asghars Mom said..","When your body came to the tents, the condition was unbearable “Tejani”"
,"Tan tera khun me tar, kistarha bhul jaaun
(Godi me aawo asghar, jula tera julaun) x2","“How can I ever forget, your body drenched in Blood”
Come to me Asghar, I will rock your cradle"
