line id verse number,urdu transliteration text,english translation text
,Visualization:,The poet imagines Imam Hussain (as) calling out to his beloved mother as he falls from his horse moments before martyrdom
,"Haay asr ka waqt hai
Shabbir ki aati hai sada","Woe! It is the time of Asr
The voice of Shabbir is heard:"
,"Chur zakhmo se badan hogaya ama mera
Apani agosh me ab mujko chupalo ama","""O Mother! My body has been mutilated with wounds!“
""Cover me in your embrace, O Mother"""
,Are dhoop hai apni aba aan ke dalo ama,"""O the sun's scorching heat! Cover me with your aba, Mother"""
,Garm reti pa me gir ta hu sambhalo ama,"""I'm falling on the burning sand, take hold of me, Mother"""
,"Thak gayaa lash utha kar me bhare lashkar ki
Laash qasim ki me laya hu kabhi akber ki","""I am exhausted of carrying the corpses of the entire army“
""The corpse of Qasim have I lifted, then the corpse of Akber"""
,"Khud baniyi he lahad me ne ali asger ki
Do tasali muje sine se lagalo ama","""Myself have I dug the grave of Ali Asgher“
""Offer me condoloences, take me into your embrace, O Mother"""
,Garm reti pa me gir ta hu sambhalo ama,"""I'm falling on the burning sand, take hold of me, Mother"""
,"Teer talwar se, khanjar se badan zakhmi hai
Khaak jalti hai to zakhmo pe chubhan hoti hai","""With arrows and swords and daggers has my body been wounded“
""As the burning sands swirl, they sting these wounds"""
,"Mere zakhmo se mere dil ka lahu jari hai
Apni chadar ko mere zakhm pe dalo ama","""The blood of my heart flows forth from each gash“
""Cover my wounds with your veil, Mother"""
,Garm reti pa me gir ta hu sambhalo ama,"""I'm falling on the burning sand, take hold of me, Mother"""
,"Mera abbas khafa hogaya amma moojse
Wo nahi aaya utha laya tha bazu uske","""My Abbas does not speak with me any more, Mother“
""He did not return, I only brought back his arms"""
,"Aap ek kaam kare nehre kanare jaake
Mere ruthe huwe bhayi ko manaalo ama
""Console my upset brother, Mother""","""Do me a favour, go to the edge of the river“"
,Garm reti pa me gir ta hu sambhalo ama,"""I'm falling on the burning sand, take hold of me, Mother"""
,"Chakiya pisi hai godi me bithakar mujko
Jaag ti rehti thi zaanu pe sula kar mujko","""Remember, You worked the flour mill as I would sit in your laps“
""You would stay awake all night while I slept on your laps"""
,"Loriya detithi Jule me jula kar mujko
Ek baar god me phir apni sulalo ama","""You would recite lullabies as you cradled me to sleep“
""Make me sleep in your lap one more time, Mother"""
,Garm reti pa me gir ta hu sambhalo ama,"""I'm falling on the burning sand, take hold of me, Mother"""
,"Aur kuch der ka mehmaan hu tum paas raho
Ret zakhmo me hai aachal se usey saaf karo","""I am a guest for only a little more time, stay close to me“
""The sands that fill my wounds, wipe them with your scarf"""
,"Aati hai rone ki aawaz sakina dekho
Jaawo tum jaake sakina ko sambhalo ama
""Go, take care of Sakina, O Mother""","""Behold! The sound of Sakina's crying arises!“"
,Garm reti pa me gir ta hu sambhalo ama,"""I'm falling on the burning sand, take hold of me, Mother"""
,"Dekh wo aag lagi shame ghariba aayi
Dekho gabra ke nikal aayi meri ma jaayi","""Behold! the tents have been set ablaze! Sham-e-Ghariban is here“
""Behold! my mother's daughter (Zainab) has come out (of her tent) panicked"""
,"Dekho behoosh sakina ka para hai bhayi
""Behold, Sakina's brother lies unconscious“
Jawo sajad ko sholo se nikalo ama","""Go and pull Sajjad out of the flames, O Mother"""
,Garm reti pa me gir ta hu sambhalo ama,"""I'm falling on the burning sand, take hold of me, Mother"""
,"Hai ghuzarish meri tumse abitni madar
Ama baba ki kasam dhamp lo moo par chadar","""I now have only a small request of you, O Mother“
""For the sake of father, cover your face"""
,Dekha jayenga na ab tumse ye khooni manzar,"""For you will not be able to watch this bloody scene"""
,Qatl hota hoon nighaho ko hataalo ama,"""I am being slain, turn away your eyes O Mother!"""
,Garm reti pa me gir ta hu sambhalo ama,"""I'm falling on the burning sand, take hold of me, Mother"""
