line id verse number,urdu transliteration text,english translation text
,"dua e fatema hai girya o zaari na chorenge
ham apni jaan de denge azaadaari na chorenge","It's a dua of Fatema (so) we will not abandon mourning or azadari.
We will give up our lives but never relinquish this azadari."
,"na hoti gar dua e fatema phir ham kahaan hote
agar ye gham nahi hota to ehle gham kahaan hote
janaabe sayyada ki farmabardaari na chorenge
We will never abandon Sayyeda Fatema's dua( request)","Where would we be without Dua e Fatema
If there was no mourning (for Hussain) where would the mourners be"
,ham apni jaan de denge azaadaari na chorenge.,We will give up our lives but never relinquish this azadari.
,"kabhi bhi kaarwaane nusrate sheh ruk nahi sakta
The caravan with helpers of Hussain cannot stop
hamaara sar kate kat jaaye lekin jhuk nahi sakta
ali ke maan ne waale hain khud daari na chorenge","Our heads can be cut off  but will never bow
We are followers of Ali and never stop standing up (for the right)"
,ham apni jaan de denge azaadaari na chorenge.,We will give up our lives but never relinquish this azadari.
,"zamaane ko sabak sikh laagaye karbobala waale
sitamgar ki himaayat kar nahi sakte
khuda waale kisi mazlum o bekas ki tarafdaari na chorenge","The people of Karbala left a lesson for all times
We will never support oppressors
We are believers and will never abandon supporting the oppressed"
,ham apni jaan de denge azaadaari na chorenge.,We will give up our lives but never relinquish this azadari.
,"khuda ka din baaqi mustafa ki shaan baaqi hai
hussaini majlison se jazba e imaan baaqi hai
rakhenge masjidein aabaad dindaari na chorenge","The religion of Allh(SWT) and Mustafa's honour is intact
The majalis of Hussain has has protected our faith(imaan)
We will fill the mosques and never abandon the religion"
,ham apni jaan de denge azaadaari na chorenge.,We will give up our lives but never relinquish this azadari.
,"bataayenge sabhi ko daastaan pyaas aur paani ki
sabeele aab hogi yaad me tashnadahaani ki
ali asghar tumhaari naaz bardaari na chorenge
Ali Ashghar, we will never abandon remembering your plight","We will propagate the story of thirst and water
we will distribute water in commemorating the thirst(of Karbala)"
,ham apni jaan de denge azaadaari na chorenge.,We will give up our lives but never relinquish this azadari.
,"labe shabbir pe soya paher ki pyaas ke sadqe
hame sab kuch mila hai parchame abbas ke sadqe
khuda ne haath bakhshe hain alamdaari na chorenge","for the sake of noon's thirst, it slept on the lips of Shabbir.
We have attained everything through the intercession of Hadhrat Abbas
God has blessed us with hands and we will never abandon carrying the Alam"
,ham apni jaan de denge azaadaari na chorenge.,We will give up our lives but never relinquish this azadari.
,"ek aysa bewatan jiska janaaza bhi nahi uttha
wo arze karbala aur bekafan shabbir ka laasha
qasam khaate hain hargiz taazya daari na chorenge
we make a covenant never to abandon carrying Taziya","There was a stranger who was not accorded a funeral
The land of karbala and the unshrouded body of Shabbir"
,ham apni jaan de denge azaadaari na chorenge.,We will give up our lives but never relinquish this azadari.
,"ham ek din maqsade karbobala sab ko bataa denge
hussaini hain yazidiyat ko dunya se mita denge
kabhi islaam ke dushman se bezaari na chorenge","We will succeed in propagating the purpose of Karbala to everyone
We are followers of Hussain and will eradicate Yazidiyat
We will never abandon standing up to the enemies of Islam"
,ham apni jaan de denge azaadaari na chorenge.,We will give up our lives but never relinquish this azadari.
