line id verse number,urdu transliteration text,english translation text
,"Khuda ne jab Malakul Maut ko ye izn diyake roohe Hazrat-e-Sarwar nikaal kar le aa
Marshia Translations | ISIJ of Toronto","When God gave the Angel of Death the order, to retrieve the soul ofImam Husayn (a)"
,"Rahe khayaal ke, Shabbir ko na ho eeza.Husayn, Husayn, Husayn pehle hi zakhmo se chur chur hua
Marshia Translations | ISIJ of Toronto",He (swt) told the angel to be mindful not to cause Husayn any more painHusayn is already wounded to the point of being broken into fragments
,"Malak pukara ye mujhse na ho sakega Khuda
Marshia Translations | ISIJ of Toronto","The angel of death replied: ""I cant do this deed, my God"""
,"Main kis tarha se nikaloon, badan se jaan-e-Husaynbohat hi sakht he ya rab, ye imtehan-e-Husayn
Marshia Translations | ISIJ of Toronto","How do I take the soul of Husayn (a) from his body? My God, this trial of Husayn is already so difficult"
,"Laga hai zakhm tabar, beh raha hai sar se lahoobhare hain khoon mein jaane rasool ke gesu
Marshia Translations | ISIJ of Toronto","Husayn (a) has been wounded with an axe, blood is gushing out of his headThe Prophet's son is drenched in blood"
,"Qareeb jaake rakhun dil pe kis tarah qabooke is lahu mein to hai fatima ke doodh ki boo
Marshia Translations | ISIJ of Toronto",How do I keep my heart at ease when I go near Husayn (a)? When I can smell the fragrance of Fatima (a) in his blood?
,"Main kis tarha se nikaloon, badan se jaan-e-Husaynbohat hi sakht he ya rab, ye imtehan-e-Husayn
Marshia Translations | ISIJ of Toronto","How do I take the soul of Husayn (a) from his body? My God, this trial of Husayn is already so difficult"
,"Nida ye aayi ke gardan se khainch jaan inkikaha mein kya kahu gardan pe chal rahi hai churi
Marshia Translations | ISIJ of Toronto","Allah’s call was to, take Imam’s soul from his neck. The Angel replied, what can I say there is a knife slaughtering his neck!"
,"Churi pakad ke ye chillati hay koi bibina zibha kar mere bacche ko mai dua doongi
Marshia Translations | ISIJ of Toronto","There is a lady who keeps grabbing the knife while screaming: ""Don't slaughter my Son, I will pray for you!"""
,"Main kis tarha se nikaloon, badan se jaan-e-Husaynbohat hi sakht he ya rab, ye imtehan-e-Husayn
Marshia Translations | ISIJ of Toronto","How do I take the soul of Husayn (a) from his body? My God, this trial of Husayn is already so difficult"
,"Nida ye aayi ke seene se qabz kar le jaankaha wo teeron se chalni hay ey mere Rehmaan
Marshia Translations | ISIJ of Toronto","Allah’s call was to, take Imam’s soul from his chest. The Angel replied, ‘His chest is filled with arrows, Oh Merciful Lord!’"
,"Abhi to maarke barchi hata tha ek shaitanaur ab to hay tane zaanu e shimr ye Qur’an
Marshia Translations | ISIJ of Toronto","Just now one Satan has gotten up from hitting Husayn (a) with a spear, and now this Qur’an (Imam Husayn (a)) is under Shimr’s knees"
,"Main kis tarha se nikaloon, badan se jaan-e-Husaynbohat hi sakht he ya rab, ye imtehan-e-Husayn
Marshia Translations | ISIJ of Toronto","How do I take the soul of Husayn (a) from his body? My God, this trial of Husayn is already so difficult"
,"Mutee e hukm hu par fikr ye hay ay Yazdaanhar ek uzr hay zakhmi lagaun haath kahan
Marshia Translations | ISIJ of Toronto","God, I’m bound by your order, however this thought impedes my action: Every single body part of the Imam is wounded. Where do I place my hand to take out his soul?"
,"Khuda pukara ye mushkil karenge Hum asaanna tu nikaal Mere Aashiqe Ghareeb ki jaan
Marshia Translations | ISIJ of Toronto","God replied: ‘I will ease this difficult trial’.‘Oh Angel, do not take the soul of my poor, oppressed, loved servant (Husayn (a)).’"
,"Mai Khud nikaal raha hoon badan se jaan-e-Husaynke khatm hone ko ab hay yeh imtehan-e-Husayn
Marshia Translations | ISIJ of Toronto","I (Allah) Myself will extract the soul fromHusayn (a)'s body, so that this trial ofHusayn (a) can come to an end"
