line id verse number,urdu transliteration text,english translation text
,"JAFAR E TAYYAR HAIEnglish Transliteration
@HujjatELC
Wafa Thi Unke Liye  - Loyalty Was For Abbas",
,"Jafar E Tayyar HaiHaider E Karrar HaiAun O Muhammad Mere
@HujjatELC",
,"Shah Se Boli Bahan, Ay Mere Bhayi Sunoy
Jang Ke Maidan Me, Pehle Inhe Bhejdo
Hone Ko Tum Par Fida, Har Ghari Tayaar Hain
@HujjatELC","B. ZAINAB SAID TO IMAM, O’ MY BROTHER
SEND THEM ON THE BATTLFIELD FIRST!
THEY ARE READY TO SACRIFICE THEIR LIVES FOR YOU"
,"Jafar E Tayyar HaiHaider E Karrar HaiAun O Muhammad Mere
@HujjatELC",
,"Inki Huwi Parwarish, Saaye Me Abbas Ke
Ran Me Inhe Dekh Ke, Kyun Na Ye Zainab Kahe
Lashkare Shabbir Me, Aks Alamdaar Hain
@HujjatELC","THEY HAVE BEEN BROUGHT UP UNDER THE WATCH OF ABBAS
WHY SHOULD ZAINAB NOT BE PROUD OF THEM ON THE BATTLEFIELD
IN THE ARMY OF HUSSAIN, THEY ARE THE REFLECTION OF ABBAS"
,"Jafar E Tayyar HaiHaider E Karrar HaiAun O Muhammad Mere
@HujjatELC",
,"Pyaas Ki Shidat Se Hain, Kat Rahe Qalb O Jigar
Pani Nahi Laenge, Apne Labon Tak Magar
Saamne Now Lakh Ke, Haideri Talwaar Hai
@HujjatELC","THROUGH THE EXTREME THIRST, THEY’RE BEING PUT TO THE ULTIMATE TEST
HOWEVER, THEY WILL NOT DRINK WATER (BECAUSE HUSSAIN IS THIRSTY)
IN FRONT OF THIS HUGE OPPOSITION, THEY ARE HAIDERI WARRIORS"
,"Jafar E Tayyar HaiHaider E Karrar HaiAun O Muhammad Mere
@HujjatELC",
,"Kehti Thi Binte Ali, Fidya E Shabir Hain
Jurat O Himmat Ki Yeh, Bolti Tasweer Hain
Raah Me Baatil Ke Yeh, Aahni Deewar Hain
@HujjatELC","ZAINAB SAID, THEY WERE BROUGHT UP TO BE SACRIFICED FOR HUSSAIN (AND ISLAM)
THEY ARE BRAVERY AND COURAGE PERSONFIED
THEY ARE A STRONG WALL – OPPOSING THAT WHICH IS WRONG"
,"Jafar E Tayyar HaiHaider E Karrar HaiAun O Muhammad Mere
@HujjatELC",
,"Khoon E Abu Talibi, Inki Ragon Me Rawaa(n)
Aaj Mita Denge Yeh, Zulm Ka Naam O Nishaa
Bayat E Fasiq Se Yeh, Shah Ka Inkaar Hain
THE BLOOD OF ABU TALIB RUNS THROUGH THEIR VEINS
THEY REPRESENT HUSSAIN’S STANCE AGAINST INJUSTICE
@HujjatELC","TODAY, THEY WILL DEMOLISH OPPRESSION AND SUFFERING"
,"Jafar E Tayyar HaiHaider E Karrar HaiAun O Muhammad Mere
@HujjatELC",
,"Nana Hain Shere Khuda, Dada Hain Fakhre Zaman
Baaap Shujaa E Arab, Saani E Zahra Hai Maa
Aala Hasab Aur Nasab, Saahibe Kirdaar Hain
SUCH LOFTY HISTORIES –THEY HOLD RESPECTABLE CHARACTERS
@HujjatELC","THEIR (MATERNAL) GRANDFATHER WAS THE LION OF GOD, AND THEIR (PATERNAL) GRANDFATHER WAS THE PRIDE OF HIS ERA
THEIR FATHER WAS THE BRAVE FROM THE ARABS, AND THEIR MOTHER IS A REFLECTION OF ZAHRA"
,"Jafar E Tayyar HaiHaider E Karrar HaiAun O Muhammad Mere
@HujjatELC",
,"Ba Khuda Salman Hai, Mera Aqeeda Yehi
Aati Hain Majlis Me Jo, Purse Ko Binte Ali
Saath Me Madar Ke Yeh, Dono Azadar Hain
@HujjatELC","BY GOD, SALMAN, I BELIEVE THIS
THE DAUGHTER OF ALI JOINS OUR MAJALIS
ALONG WITH THEIR MOTHER, BOTH OF THESE BOYS ARE ALSO AZADARS"
,"Jafar E Tayyar HaiHaider E Karrar HaiAun O Muhammad Mere
@HujjatELC",
