line id verse number,urdu transliteration text,english translation text
,,
,"KARBALA MEIN KYA BATAYEN, , HUM NE KYA KYA DEKHA
@HujjatELC",HOW CAN I TELL YOU WHAT I WITNESSED IN KARBALA
,"HAI HUM NE LAAKHO MEIN HAI SHABBIR KO TANHA DEKHA
@HujjatELC",WE SAW IMAM HUSSAIN (a.s) STANDING ALL ALONE AMONGST THOUSANDS OF ENEMIES
,"KARBALA MEIN KYA BATAYEN, , HUM NE KYA KYA DEKHA
@HujjatELC",HOW CAN I TELL YOU WHAT I WITNESSED IN KARBALA
,"HAYE US BAALI SAKINA KO, KAHA NEEND AYEHJIS NE BABA KA GHALA AANKO SE KAT THA DHEKHA
@HujjatELC
AFTER SHE SAW HER FATHER’S HEAD BEING SEVERED","HOW CAN INNOCENT SAKINA SLEEP AT NIGHT,"
,"KARBALA MEIN KYA BATAYEN, , HUM NE KYA KYA DEKHA
@HujjatELC",HOW CAN I TELL YOU WHAT I WITNESSED IN KARBALA
,".KYU NA ASHKO KI JAGEH KHOON BAHAEY ABID X2 JIS NE MAADAR KA HEI JHALTA HUWA BURKA DEKHA
@HujjatELC
WHY SHOULDN’T SAJJAD CRY BLOOD INSTEAD OF TEARS,
AFTER HE SAW HIS MOTHER’S VEIL  BEING BURNT",
,"KARBALA MEIN KYA BATAYEN, , HUM NE KYA KYA DEKHA
@HujjatELC",HOW CAN I TELL YOU WHAT I WITNESSED IN KARBALA
,"SHAH NE JAB SEENA E AKBAR SE NIKAALA NEZASAATH AATEY HUWE AKBAR KA KALEJA DEKHA
@HujjatELC","WHEN IMAM HUSSAIN (as.) TOOK THE SPEAR OUT OF THE CHEST OF HIS SON, HE SAW HIS SON’S LIVER COMING OUT WITH IT"
,"KARBALA MEIN KYA BATAYEN, , HUM NE KYA KYA DEKHA
@HujjatELC",HOW CAN I TELL YOU WHAT I WITNESSED IN KARBALA
,"Youn to paani ko hai bechayn pyaasey kitnayhumney pysaaso ko tarastey huvey dariya dekha
@HujjatELC
On Ashura day we saw that hope (Qasim) diminsh","The one with whose hopes Imam Hasan (a.s.) departed from this world,"
,"KARBALA MEIN KYA BATAYEN, , HUM NE KYA KYA DEKHA
@HujjatELC",HOW CAN I TELL YOU WHAT I WITNESSED IN KARBALA
,"Jiski hasrat leeye duniya sey gaye sabze qabasubah e ashoora ko loot tey huvey sehra dekha
@HujjatELC
we saw river’s desire to quench their thirst","At the climax of the caravan’s restlessness and burning thirst,"
,"KARBALA MEIN KYA BATAYEN, , HUM NE KYA KYA DEKHA
@HujjatELC",HOW CAN I TELL YOU WHAT I WITNESSED IN KARBALA
,,
