line id verse number,urdu transliteration text,english translation text
,Karbala se jho kabhi ho ke hawa ati hai,When the wind occasionally arrives from Karbala
,"Kisi Masoom ki jo ronay ki sada
ati hai",It brings with it an Infallible's cries
,Kaun sota hai kinaray teray nehr-e-Furat?,"Who rests eternally by your riverbank, Euphrates?"
,"Teri mitti se abhi tak, kyun boo-e-wafa ati hai?",Why does its land bear the fragrance of devotion?
,Maa samajhti hay dulhan laoon gi aaya hay shabab,"A mother had hoped to welcome a bride, she received a youth in his prime"
,"Sheh samjhtay hain ke Akbar ki qaza aati hay
King (Hussain AS) knows that Akbar's martyrdom is near",
,Koyi beemar na parrhta ho tahajjud ki namaz,Is there somebody sick praying the voluntary night namaz (Tahajjud)?
,Raat ko bairryon ki kyun ye sada aati hay,"Why do I hear the sounds of handcuffs, leg cuffs and chains in the middle of the night?"
,Haan dharakta na ho marqad main kaheen qalb e Rubab,I hope Rubab's (SA) heart doesn't tremble in her tomb
,"Ali Asghar, Ali Asghar ki sada aati hay
I hear someone crying ""Ali Asghar, Ali Asghar""",
,Karbala se jho kabhi ho ke hawa ati hai,When the wind occasionally arrives from Karbala
