line id verse number,urdu transliteration text,english translation text
,@HujjatELC,"Kerbala Taazim kar, aai bahan Shabbir kiOh Karbala, show respect, the sister of Imam Hussain (a.s.) has arrivedEnglish Transliteration"
,"Kerbala Taazim kar, aai bahan Shabbir kiJaake kadmose lipat, tu Zainab-e-dilgeer ki
@HujjatELC","Oh Karbala, show respect, the sister of Imam Hussain (a.s) has arrived
Fall to her feet and embrace the grief-stricken Zainab (a.s)"
,"Kabr se be sar bahattar, tan uthe taazim koDekh istekbaal ko hay, Furaat-o -Shamshir bhi
@HujjatELC","From the grave, 72 headless bodies rise in respect,
Look, even the River Euphrates is waiting to receive her"
,"Baapke hatho pe hay, Masum Agher tishnalabDekh ab tak hay nishani, Hurmala ke tir ki
@HujjatELC","In the arms of his father, lay the innocent and thirsty baby Asghar,
Look, you can still see the wound left by Hurmala's arrow"
,"Kaidse chhutker hai aata, kaafela zawwar kaPuchhle unse sitam, zindaan ki jaagir ka
@HujjatELC","Having been freed from captivity, the caravan of pilgrims is arriving,
Ask them of the atrocities they faced in the prisons"
,"Kaale mehmil me hai baithi, bibiya sab dukh jailDaagose chhalni jigar hai, Shaah ke hamshir ki
@HujjatELC","Sitting in black canopies (on the backs of camels), are the grief stricken ladies,
Bibi Zainab’s heart is pierced with the pain of Imam Hussain (a.s)"
,"Kaid hoker jab chalithi, sarpe chaadar bhi na thi Sar khule bazzar me thi waarise Tathir ki
@HujjatELC","When imprisoned, the ladies were without their veils,
Paraded bareheaded in the bazaar were the inheritors of the most pure ones (referred to in Ayah Tathir)"
,"Laash tha begor bhai, ka bahen sar nange  thiBhai hay ab kabr  mei, parde mei hay hamsheer bhi
@HujjatELC","The brother’s body lay without a shroud, the sister was without her veil,
The brother is now buried and the sister has got her veil back"
,"Aj tak roneki bewon, ko ijazat bhi nathiAb rihaai milgayi, hogi aza shabbir ki
@HujjatELC","Up until now the womenfolk were not even permitted to cry,
Now that they have been freed, they will wholeheartedly mourn the martyrs of Karbala"
,"Nannisi turbat ye Asghar, ki chupaale Kerbala Kya tarapna soon sakoge, maadare beshir ka
Oh Karbala, hide this small grave of Asghar,
@HujjatELC",How will you bear to hear the sorrowful cries of this baby’s mother
,"Maadare Akber bhi aati, hai kaleja thaam karWo gilaa kisse kare, ruthi hui takdir ki
@HujjatELC","Approaching with a hand on her heart, is the devastated mother of Ali Akber, With whom can this poor mother share her pain and grief"
,"Tum Sakina ko na dhundho, turbate Abbas parReh gayi hai Shaam me, wo laadli Shabbir ki
@HujjatELC","Don't look for Sakina near the grave of Abbas (a.s.),
That beloved daughter of Imam Hussain (a.s) is left in Shaam"
