line id verse number,urdu transliteration text,english translation text
,KARBALA WALON PE YE KAISA MUHARRAM AAYA,Alas! What Muharram has befallen upon the people of Karbala?
,"Drenched in blood, Abbas's flag has appeared
KHUN TAPAKTA HUWA ABBAS KE PARCHAM AAYA",
,JAISE JAISE MERE GHAZI KA ALAM JUKTAA GAYA,As my Ghazi (H. Abbas's) alam kept falling to the ground
,"Hazrat Shabbir's back kept breaking because of the sorrow
PUSHT MEIN HAZRATE SHABBIR KA BHI KHAM AAAYA",
,KARBALA DEKHLE ISLAM BACHAANE KE LIYE,"O Kerbala, see how Islam is saved…"
,SAATH KUMBE KO LIYE WAARIS E ADAM AAYA,The inheritor of Adam has brought his entire family
,ZAALIMON ISKO TO DO BUNDH PILADO PAANI,"O oppressors, give him two sips of water at least"
,"My six-month old (Ali Asghar) is almost dying of thirst
AB LABON PAR MERE BESHIR KAA HAI DAM AAYA",
,"All seasons come and go, but…
SAARE MAUSAM TO GUZAR JAATE HAI AAKAR LAIKIN",
,BAS HAMESHA KE LIYE MAUSAM E MATAM AAYA,The season of Maatam is here to stay forever
,KARBALA WALON PE YE KAISA MUHARRAM AAYA,Alas! What Muharram has befallen upon the people of Karbala?
,"Drenched in blood, Abbas's flag has appeared
KHUN TAPAKTA HUWA ABBAS KE PARCHAM AAYA",
