line id verse number,urdu transliteration text,english translation text
,"KARBOBALA NASEEB SE JANA NASEEB HO
KARBOBALA NASEEB SE JANA NASEEB HO",May I get a chance to visit Karbala
,PHIR LAUT KAR WAHAAN SE NA ANA NASEEB HO,Such that I never return from there
,"AISA DARE HUSSAIN PE, SAJDA HO AAKHRI",May my last prostration be at Imam Hussain’s door…
,PHIR MUJHKO APNA SAR NA UTHANA NASEEB HO,Such that I never raise my head again
,PARWARDIGAR THOKRE DAR DAR KI KAB TALAQ,O Lord! For how long will I stray from door to door?
,AB MUSTAQIL NAJAF MEIN THIKAANA NASEEB HO,May my future abode be in Najaf forever
,"The way Ummul Baneen was blessed…
JAISA MILA NASEEB SE UMMUL BANEEN KO",
,AB KYA KISI KO AISA GHARANA NASEEB HO,Will anyone be blessed with such a household now?
,JEE CHAHTA HAI SAMNE BAITHE HO PANJATAN,It is my desire that Panjetan are seated in front of me..
,UNKI SANA UNHI KO SUNANA NASEEB HO,Such that I can recite their praises infront of them
