line id verse number,urdu transliteration text,english translation text
,"@HujjatELC
Lo Agaya Bazaar","Bazaar Shaam HaiThis is the Bazaar of DamascusEnglish Transliteration
We have reached the Bazaar"
,"Mazlum ka kunba, jab shaam ko pohncha, Abid ka tha nawhaLo agaya bazaar
ABID (ZAIN UL ABIDEEN) LAMENTED,
@HujjatELC
Lo Agaya Bazaar","WHEN THE CARAVAN OF THE OPPRESSED ARRIVED IN SHAAM,
WE HAVE REACHED THE BAZAAR OF SHAAM
We have reached the Bazaar"
,"Meri phuphi amma, roti hai beparda, lakhon ka hai majhmaLo agaya bazaar
MY BELOVED AUNT ZAINAB, IS CRYING WITHOUT A VEIL,
@HujjatELC
Lo Agaya Bazaar","THERE ARE THOUSANDS OF ONLOOKERS,
WE HAVE REACHED THE BAZAAR
We have reached the Bazaar"
,"Ye Soch Ke Rota Hoon, Ma Behne Khule Sar Hai,Kis Tarha Se Dekhoonga, Jo Samne Manzar Hai
@HujjatELC
Lo Agaya Bazaar","I AM THINKING OF THIS AND CRYING, THAT MY MOTHERS AND SISTERS ARE BAREHEADED
HOW CAN I EVEN BEAR TO LOOK AT
THIS ATMOSTPHERE IN FRONT OF ME?
We have reached the Bazaar"
,"Neze Pe Hai Ek Sar, Rota Hai Jo AksarKarta Hai Jo Nawha, Lo Agaya Bazaar
@HujjatELC
Lo Agaya Bazaar","BUT THERE IS ONE HEAD RAISED ON A SPEAR,
WHICH IS CONSTANTLY CRYING
AND LAMENTING,
WE HAVE REACHED THE BAZAAR
We have reached the Bazaar"
,"Bazu Hai Bandhe Mere, Main Kuch Nahi Kar Sakta,Bochaar Hai Pathar Ki, Hum Sab Hai Rasan Basta
@HujjatELC
Lo Agaya Bazaar","MY HANDS ARE TIED, I CANT DO ANYTHING!
THERE IS A SHOWER OF STONES,
AND WE ARE TIED TOGETHER AS TARGETS
We have reached the Bazaar"
,"Hai Khoon Ka Darya, Jo Sar Se Hai Behta,Hasta Hai Ye Aada, Lo Agaya Bazaar
@HujjatELC
Lo Agaya Bazaar","THERE ARE RIVERS OF BLOOD FLOWING FROM OUR HEADS,
AND THESE MEN ARE LAUGHING AT US,
WE HAVE REACHED THE BAZAAR
We have reached the Bazaar"
,"Har Ek Qadam Baba, Quran Sunata HaiAur Aag Ke Patthar Khud, Chehre Pe Wo Khaate Hain
@HujjatELC
Lo Agaya Bazaar","WITH EVERY STEP OF THIS JOURNEY,
MY FATHER IS RECITING QURAN
AND HE IS BEING HIT WITH FIRE AND STONES TO HIS OWN BLESSED FACE
We have reached the Bazaar"
,"Zahra Ka Dulara, Ahmed Ka Nawasa,Hai Barsare Neza, Lo Aagaya Bazaar
THE GRANDSON OF AHMED (SAW)
@HujjatELC
Lo Agaya Bazaar","THE BELOVED OF ZAHRA (AS),
IS RAISED UPON A SPEAR,
WE HAVE REACHED THE BAZAAR
We have reached the Bazaar"
,"Parde Ka Muhafiz Ab, Sar Apna Giraata Hai,Khoon Rota Hai Wo Ghaazi, Jab Bhi Nazar Aata Hai
THE PROTECTOR OF ZAINAB’S VEIL,
@HujjatELC
Lo Agaya Bazaar","IS LETTING HIS HEAD FALL TO THE GROUND
THIS IS ABBAS, CRYING TEARS OF BLOOD WHEN HE WITNESSES THIS
We have reached the Bazaar"
,"Zainab Ka Khula Sar, Aur Shaam Ka ManzarSar Pe Nahi Parda, Lo Agaya Bazaar
ZAINAB IS BAREHEADED,
@HujjatELC
Lo Agaya Bazaar","AND ALL OF SHAAM IS IN FRONT OF US
SHE HAS NOT EVEN A CLOTH TO PROTECT HER HEAD,
WE HAVE REACHED THE BAZAAR
We have reached the Bazaar"
,"Aur Shimr Ye Abid (as) Se, Kis Fakhre Se Kehta Hai,Parda Teri Zainab Ka, Neze Pe Utara Hai
USING JUST MY SPEAR”
@HujjatELC
Lo Agaya Bazaar","THEN SHIMR SAYS TO ABID (AS)
WITH SUCH ARROGANCE AND PRIDE,
“I HAVE REMOVED THE VEIL OF YOUR ZAINAB,
We have reached the Bazaar"
,"Quwwat Hai Ye Meri, Ahmed Ki Nawasi,Ko Shaam Me Layaa, Lo Agaya Bazaar
SHIMR SAYS,
@HujjatELC
Lo Agaya Bazaar","“THIS IS MY MIGHT AND POWER
THAT I MYSELF CAN BRING
THE GRANDDAUGHTER OF THE PROPHET
TO THE BAZAAR OF SHAAM”
We have reached the Bazaar"
