line id verse number,urdu transliteration text,english translation text
,"Lori Suna Rahi HunI AM SINGING A LULLABY English Transliteration
@HujjatELC
Lori Suna Rahi Hun- I am telling a bedtime rhyme",
,"Soja Meri Sakina
SLEEP MY SAKINA
@HujjatELC
Lori Suna Rahi Hun- I am telling a bedtime rhyme",
,"Lori Suna Rahi Hun, Soja Meri Sakina
SLEEP MY SAKINA
@HujjatELC
Lori Suna Rahi Hun- I am telling a bedtime rhyme","I AM SINGING A LULLABY,"
,"Baba Ke Sine Se Tum Jabse Juda Huwi HoIk Raat Neend Ayi, Beta Nahi Hai TumkoAb Me Sula Rahi Hun Ajaa Meri Sakina
EVER SINCE YOU LOST YOUR FATHER,
@HujjatELC
Lori Suna Rahi Hun- I am telling a bedtime rhyme","YOU HAVE NOT SLEPT FOR EVEN ONE NIGHT,
NOW I AM PUTTING YOU TO SLEEP COME MY SAKINA"
,"Mujhko Yahi Khabar Hai Dukh Dard Ki Ho MaariTumko Hai Sabr Karna Ye Bhi Khuda Ki MarziTu Misle Fatema Ab Banna Meri Sakina
@HujjatELC
Lori Suna Rahi Hun- I am telling a bedtime rhyme","I KNOW YOU HAVE SUFFERED A LOT,
THIS IS ALLAH’S WILL, YOU MUST BE PATIENT ,
YOU MUST BE LIKE FATIMA (s.a.) MY SAKINA"
,"Ayega Ab Na Koi Bhi Leke TaziyaneMarega Na Shimar Ab Rukhsar Par TamacheHar Aik Saans Pe Na Ghabra Meri Sakina
@HujjatELC
Lori Suna Rahi Hun- I am telling a bedtime rhyme","NO ONE WILL COME TO WHIP YOU NOW,
SHIMR WILL NOT SLAP YOU ANYMORE.
DO NOT BE AFRAID, O MY SAKINA"
,"Kuchh Din Me To Rihayi Miljayegi SakinaZindane Gham Se Chhutke Jayege Hum MadinaMadar Ye Kar Rahi Hai Wada Meri Sakina
@HujjatELC
Lori Suna Rahi Hun- I am telling a bedtime rhyme","SOON YOU WILL GET FREEDOM FROM PRISON MY SAKINA,
AFTER FREEDOM FROM PRISON WE WILL GO TO MADINA,
THIS IS YOUR MOTHER’S PROMISE TO YOU O SAKINA"
,"Dekho Ab Aagaya Hai Baba Ka Sar Ay BetiUnko Dikhana Saare Chehre Ke Zakhm BibiJee Khol Ke Tu Ab To Rona Meri Sakina
LOOK, YOUR FATHER’S HEAD HAS ARRIVED MY DAUGHTER,
@HujjatELC
Lori Suna Rahi Hun- I am telling a bedtime rhyme","SHOW HIM ALL THE WOUNDS ON YOUR FACE,
YOU CAN CRY AS MUCH AS YOU WISH MY SAKINA"
,"Jab Neend Agayi Thi, Phir Khaab Aayi HaayeJis Mei Hussain Apni Beti Se Keh Rahe TheAb Waqt Agaya Hai Aja Meri Sakina
@HujjatELC
Lori Suna Rahi Hun- I am telling a bedtime rhyme","WHEN SHE FELL ASLEEP, SHE DREAMT THAT HER FATHER WAS TELLING HER,
NOW TIME HAS COME TO JOIN ME MY SAKINA"
,"Jab Qaid Me Sakina Ko Maut Agayi ThiBazu Hila Hila Ke Madar Ye Roke BoliMujhse Khata Huwi Kya Batla Meri Sakina
@HujjatELC
Lori Suna Rahi Hun- I am telling a bedtime rhyme","WHEN SAKINA DIED IN PRISON,
HER MOTHER HELD HER ARM AND CRIED,
WHAT HAVE I DONE WRONG, TELL ME O SAKINA"
,"Abid Larazte Hathon Se Ik Lahad BanayeYe Kehke Apni Behna Ko Phir Wahi LitaayeKaise Sahunga Me Gham Tera Meri Sakina
@HujjatELC
Lori Suna Rahi Hun- I am telling a bedtime rhyme","ABID A.S. MADE A GRAVE WITH TREMBLING HANDS
HE LAID HER TO REST, SAYING
HOW CAN I BEAR YOUR LOSS MY SAKINA"
,"Paye The Jab Rihayi, Ehle Haram “Tejani”Banu Sisak Sisak Ke Girkar Yahi PukariKaise Watan Ko Jaun Tanha Meri Sakina
@HujjatELC
Lori Suna Rahi Hun- I am telling a bedtime rhyme","TEJANI, WHEN AHLUL BAYT WERE FREED FROM PRISON,
HER MOTHER WAS CRYING AND SAYING
HOW CAN I GO BACK WITHOUT YOU MY SAKINA"
