line id verse number,urdu transliteration text,english translation text
,"Haaye asghar, haay haay asghar
Woe! Asghar; Woe! Asghar",
,Maa kehti thi asghar mere ghar lawt ke aana,"The mother would say, “My Asghar, do return home”"
,"Royi hu bhare ghar ko, muje tum na rulaana",I have wept in front of the whole household; do not make me cry
,Maa kehti thi asghar mere ghar lawt ke aana,"The mother would say, “My Asghar, do return home”"
,"Tu bol nahi sakta hai, kya mangega paani",You cannot even speak; how will you seek water?
,"Ay nehr mere laal ko, tu paani pilaana",O river! Give my beloved a drink of water
,Maa kehti thi asghar mere ghar lawt ke aana,"The mother would say, “My Asghar, do return home”"
,"Talwaar utha sakte nahi, tum mere beta","You cannot carry a sword, my son"
,Tum teer-e-tabassum hi ko hathyaar banaana,Let your weapon be the arrow of your smile
,Maa kehti thi asghar mere ghar lawt ke aana,"The mother would say, “My Asghar, do return home”"
,Maydan me barsaat hai teero(n) ki meri jaan,"Arrows are raining in the battlefield, my love!"
,"Ay laal mere teero(n) se, tum khud ko bachana",O my beloved! Save yourself from arrows
,Maa kehti thi asghar mere ghar lawt ke aana,"The mother would say, “My Asghar, do return home”"
,"Aah nad-e-ali dam karoo(n) gardan pe teri mei
Come, let me recite Nad-e-Ali upon your neck",
,"Hai radde balaa ke liye, nuskha ye puraana",For this is an old prescription for turning away calamities
,Maa kehti thi asghar mere ghar lawt ke aana,"The mother would say, “My Asghar, do return home”"
,Sunti hu(n) lagaa teer gale par tere beta,"I have heard that an arrow struck your neck, my son!"
,"Ye zakhme guloo khuld mei, daada ko dikhana","In paradise, show your grandfather this wound of your neck"
,Maa kehti thi asghar mere ghar lawt ke aana,"The mother would say, “My Asghar, do return home”"
,Maloom tha mujhko ke tumhe pyaas hai kaysi,I knew how intensely thirsty you were
,"Marne ke liye paani ka, karte the bahaana",Water was an excuse for you to find death
,Maa kehti thi asghar mere ghar lawt ke aana,"The mother would say, “My Asghar, do return home”"
,"""Rehan"" dua karta hu(n) nohay ke sile me x2","Rehan, I pray that as a reward for this elegy"
,"""Shabbir"" ka shaair hi, kahe mujhko zamana",I be known in this world as the ‘Poet of Shabbir’
,Maa kehti thi asghar mere ghar lawt ke aana,"The mother would say, “My Asghar, do return home”"
,"Haaye asghar, haay haay asghar
Woe! Asghar; Woe! Asghar",
