line id verse number,urdu transliteration text,english translation text
,"Mai Shaam Chali BhaiyyaI am going to Shaam O BrotherEnglish Transliteration
@HujjatELC",
,"Mai Shaam Chali bhaiyya, Zainab ko sula dena
@HujjatELC","I am going to Shaam O Brother,
Please pray for me"
,"Bazaar jo aajaye, Quran suna dena
When the bazaar comes near, please recite Quran
@HujjatELC",
,"Taskeen hamari ko, akbar ki pyari ko,Laazim nahi bistar ho, matti pe sula dena
@HujjatELC","Our little Sakina (a.s.), the beloved of Akbar,
If we don’t find a bed, we will put her to sleep on earth"
,"Mai Shaam Chali bhaiyya, Zainab ko sula dena
@HujjatELC","I am going to Shaam O Brother,
Please pray for me"
,"Laashon pe wo aayenge, ghore be dorayenge,Masoom ali asgher ko, sene se laga lena
@HujjatELC","They will come to the bodies of the martyrs and will even trample them with horses,
At that time hold innocent Ali Asgher close to your chest"
,"Mai Shaam Chali bhaiyya, Zainab ko sula dena
@HujjatELC","I am going to Shaam O Brother,
Please pray for me"
,"Neze se utaari jo, chadar wo hamari haiJageer tumhari main, akbar ko bata daina
@HujjatELC","The have taken our veils with the spears,
This hijab is our identity, let this be known"
,"Mai Shaam Chali bhaiyya, Zainab ko sula dena
@HujjatELC","I am going to Shaam O Brother,
Please pray for me"
,"Ye khake shifa teri, ban jaye rida meri,Is matti ko ay bhayya, awaaz zara dena
Please tell this Khak (sand) to become my veil
@HujjatELC","I wish that this Khake Shifa (sand of Kerbala) become my veil,"
,"Mai Shaam Chali bhaiyya, Zainab ko sula dena
@HujjatELC","I am going to Shaam O Brother,
Please pray for me"
