line id verse number,urdu transliteration text,english translation text
,"Mera ghar jalaya
-
Please recite a Surah Fateha
made this translation possible",for the Marhumeen of all who
,"Mera ghar jalaya lutiyan ridawan
ro akhay zainab kis pasay jawan","They burnt my house and snatched our veils
Zainab (a.s.) cries and says, where shall I go?"
,"abid bachawan yaan agh bujawaan
Ro akhay zainab kis pasay jawan","Shall I save Abid (a.s) or shall I set off the fire?
Zainab (a.s.) cries and says, where shall I go?"
,"Mera ghar jalaya lutiyan ridawan
ro akhay zainab kis pasay jawan","They burnt my house
and snatched our veils
Zainab (a.s.) cries and says,
where shall I go?"
,"yusuf ton sohnay meray veer maaray
May shaam chaliyan be kafan saray
bodies are without shrouds","They killed my brothers who
are as beautiful as Yusuf
I have left for Shaam and all the"
,"qabaran banawaan yaan rasiyan pawaan
Ro akhay zainab kis pasay jawan","Shall I dig their graves
or shall I tie the ropes?
Zainab (a.s.) cries and says,
where shall I go?"
,"Mera ghar jalaya lutiyan ridawan
ro akhay zainab kis pasay jawan","They burnt my house
and snatched our veils
Zainab (a.s.) cries and says,
where shall I go?"
,"may deen bachawan vich shaam aayi
Sab logh vekhan meri be ridayi
Everyone witnessed me
without my veil",I went to Shaam to save Islam
,"khutbay sunawaan yaan mu lukawaan
Ro akhay zainab kis pasay jawan","Shall I deliver my sermons
or shall I cover my face?
Zainab (a.s.) cries and says,
where shall I go?"
,"Mera ghar jalaya lutiyan ridawan
ro akhay zainab kis pasay jawan","They burnt my house
and snatched our veils
Zainab (a.s.) cries and says,
where shall I go?"
,"abid bachawan yaan agh bujawaan
Ro akhay zainab kis pasay jawan","Shall I save Abid (a.s) or shall I set off the fire?
Zainab (a.s.) cries and says, where shall I go?"
,"Mera ghar jalaya lutiyan ridawan
ro akhay zainab kis pasay jawan","They burnt my house
and snatched our veils
Zainab (a.s.) cries and says,
where shall I go?"
,"jis veer de lay chadya medina
Jiwain qatal hoya bulna kadi na","The brother that I left the
city of Madina for
The way he as killed,
I will never forget"
,"ohnu kafan pawan yaan shaam jawaan
Ro akhay zainab kis pasay jawan","Shall I give him a shroud
or shall I go to Shaam?
Zainab (a.s.) cries and says,
where shall I go?"
,"Mera ghar jalaya lutiyan ridawan
ro akhay zainab kis pasay jawan","They burnt my house
and snatched our veils
Zainab (a.s.) cries and says,
where shall I go?"
,"veeran de qatil khaimaych aagay
come into the tents
Ay hassan zainab abid nu akhay","My brother’s killers will
“Hassan” (poet) this is what
Zainab (a.s) said to Abid (a.s.)"
,"hun jal may jawaan yaan baahar awaan
Ro akhay zainab kis pasay jawan.","Now shall I burn in the tents or
should I come out of the tents?
Zainab (a.s.) cries and says,
where shall I go?"
,"Mera ghar jalaya lutiyan ridawan
ro akhay zainab kis pasay jawan","They burnt my house
and snatched our veils
Zainab (a.s.) cries and says,
where shall I go?"
,"abid bachawan yaan agh bujawaan
Ro akhay zainab kis pasay jawan","Shall I save Abid (a.s) or shall I set off the fire?
Zainab (a.s.) cries and says, where shall I go?"
,"Mera ghar jalaya lutiyan ridawan
ro akhay zainab kis pasay jawan","They burnt my house
and snatched our veils
Zainab (a.s.) cries and says,
where shall I go?"
,"Mera ghar jalaya
-
Please recite a Surah Fateha
made this translation possible",for the Marhumeen of all who
