line id verse number,urdu transliteration text,english translation text
,"Sakina Dasht Me Ayi Hai Dhundh Ne Tujhko
Nishaan Galon Ke Lahu Ashk Dikhane Tujhko","Sakina Has Come Into The Desert To Find You
And Show You The Marks On Her Cheeks And Tears Of Blood"
,"Mujhe Sada Do Bikharne Se Bachalo Baba
Sitam Laeeno Ke Ayi Hun Batane Tujhko","Call Out To Me Save Me From Destruction
I Have Come To Show You The Atrocities By The Oppressors"
,Mujhko Sine Pe Tum Sulado Baba,Make Me Sleep On Your Chest Father
,"MERE BABA MUJHE SADA DO HO KAHAAN BABA
CHIN GAYE MERE GOHAR JAL GAYA DAMAN MERA","Oh Father Call Out To Me Where Are You
They Snatched My Earrings And Burt My Dress"
,NAAM LEKAR MUJHE PUKARO HO KAHAN BABA,Take My Name And Call Out To Me Father
,"Aag Khaimon Me Lagata Hai Shaqi Kehta Huwa
Looton Asbaab Sabhi Dasht Me Ye Shor Utha","The Oppressor Is Burning The Tent Saying,
Loot All The Wealth, There Was An Uproar In The Desert"
,Koi Sunta Hi Nahin Dasht Me Ab Meri Sada,Nobody Is Hearing My Plea In This Desert
,"MAA KI CHADAR KO HAAN BACHALO HO KAHAN BABA
COME AND SAVE MY MOTHER’S CAHDAR OH FATHER",
,"Baad Tere To Sakina Ne Tamache Khaye
Mujhko Awaaz To Do Beti Teri Ghabraye","After You Sakina Was Slapped
Please Call Out For Me, Your Child Is Frightened"
,Tere Janay Ka Who Manzar Mujhe Ab Tarpaye,The Scene Of Your Leaving Is Troubling Me
,MUJH KO TABEER – E GHAM BATADO HO KAHAN BABA,"SHOW ME THE MEANING OF MOURNING, FATHER"
,"May Nay Pardes May Baba Ye Ghareebi Dekhi
Gham Tera Dekha Sakina Nay Yateemi Dekhi","Away From Home I Have Felt Like A Stranger
After Your State, Sakina Has Become An Orphan"
,Khoon May Doobi Huwi Dasht Ki Matti Dekhi,I Have Seen The Desert Sand Drenched In Blood
,APNAY SEENAY PAY TUM SULADO HO KAHAN BABA,MAKE ME SLEEP ON YOUR CHEST FATHER
,"May Teri Jaan Thi Iss Jaan May Ab Jaan Kahan
Aise Ujri Ho Ke Ab Mere Wo Armaan Kahan","I Was Your Life But Now This Life Has No Meaning
I’m Destroyed To An Extent That I Have No Desires"
,MERE ABBAS CHACHA MERE NIGEHBAAN KAHAN,"WHERE IS MY UNCLE ABBAS, WHERE IS MY PROTECTOR?"
,ALQAMA SAY UNHAIN BULADO HO KAHAN BABA,"CALL HIM FROM THE ALQAMA, WHERE ARE YOU FATHER?"
,"Baba Asghar Ki Bina Kaise Jiyungi Tanha
So Gaya Dasht Me Baba Mera Ashgar Pyasa","Father How Will I Live Alone Without Asghar?
He Sleeps On The Desert, Thirsty"
,"Me Tarasti Hun Mere Dil Me Hai Kohraam Bapa
Wo Kahan Hai Hujhe Bata Do Ho Kahan Baba","I Am Searching And My Heart Is Trembling
Tell Me Father Where Is He?"
,"Iss Andherey May Tujhe Kaisey Me Dhundoon Baba
Khun Bhara Kurta Tujhe Kaisey Dikhawoon Baba","Father How Shall I Find You In This Darkness?
Father How Do I Show You My Dress Full Of Blood?"
,"Neel Rukhsaar Ka Ab Kaisay Chhupawoon Baba
Kissay Puchhuun Pata Batado Ho Kahan Baba","Father How Can I Hide The Marks On My Cheeks?
Father, Who Shall I Ask Where To Find You?"
,"Sun Kay Masoom Sakina Ki Sadayein Yawar
Laash Shabbir Ki Tarpi Hai Ilayya Kehkar
Hearing Sakina’s Cries, “Yawar”
The Body Of Hussain Trembled Calling Out “Ilayya”",
,"AJA LORI BHI SUNAYEGA TUJHEY TERA PIDAR
PHIR NA KEHNA MUJHAY SADA DO HO KAHAN BABA","COME YOU FATHER WILL SING A LULLABY TO YOU
AFTER THAT DO NOT SAY CALL OUT TO ME FATHER"
