line id verse number,urdu transliteration text,english translation text
,"AY GHAREEB E ZAHRA, AY MERE BHAI HUSSAIN
MERE MAZLOOM HUSSAIN","O poor son of Zahra, O my brother Hussain (A.S)"
,DASHT E GHURBAT ME YEHI EK BEHAN KI HAI SADA,"In the desert of Karbala, this is the cry of a sister"
,"AY GHAREEB E ZAHRA, AY MERE BHAI HUSSAIN","O poor son of Zahra, O my brother Hussain (A.S)"
,"MERE MAZLOOM HUSSAIN, AY MERE BHAI HUSSAIN","O my oppressed Hussain (A.S), O my brother Hussain (A.S)"
,DHOOP ME JISNE KABHI NA NIKALA THA TUJHE,Someone who never took you out (of the house) in the scorching heat..
,CHAKIYAAN PEES KE IS MA NE PALA THA TUJHE,The mother who nourished you (with her own hands) by grinding wheat…
,USKI AAGHOSH ME HI ZIBHA TU PYASA HUWA,You were slaughtered thirsty in her very own laps
,ILTEJA KARTI RAHI USNE MERI NA SUNI,I kept pleading with him but he did not pay heed
,SHIMR KE HAATH ME JAB HAYE ZULFEIN THI'N TERI,When Shimr held your head by the hair in his hands
,YEH BEHAN ROTI RAHI AUR WO HANSTA RAHA,"This sister kept crying, while he kept laughing"
,"YAAD ATA HAI BOHOT AAJ GHURBAT ME WATAN
Being a stranger today, I remember my home town",
,DOOR PARDES ME HUM LUT GAYE BHAI BEHAN,"Far from our homes, this sister along with her brother has been looted"
,DU TUJHE KAISE KAFAN AB NAHIN SAR PE RIDA,"How do I enshroud you, there is no longer a veil on my head"
,TERE MAQTAL ME MERI ZINDAGI KHATM HUWII,"On your battlefield, my life ended"
,TU JO KHAIME SE GAYA MARGAYI BINTE ALI,"As you left the tents, my life ended"
,ME BHI KHAIME ME GIRI ZIN SE TU JO GIRA,"I fell on the ground, as you fell off your horse"
,SAR PE JO HAATH RAKHE AB NAHIN AISA KOI,There is no one that will put their hands on our heads
,PHIR YATEEM AAJ HUWI SAANI E BINTE ALI,The daughter of Ali has become an orphan once again
,TUJHKO BABA KI TARHA MAINE SAMJHA THA SADA,I used to look up to you as a father figure
,BERIDA KAISE BHALA MONH DIKHAWUNGI UNHEI,How will I show my uncovered face to him
,WOH JO POOCHENGE TERA KYA BATAUNGI UNHE,"When he asks about you, what will I say to him"
,SHAME ASHOOR KO JAB AAENGE SHERE KHUDA,"On the evening after ashoor, when the lion of god arrives"
,THI TAKALLUM WOH BHALA KAISI GHURBAT KI GHARI,"‘Takallum’, it was indeed a difficult moment"
,NAZA ME BINTE ALI ROKE YE KEHTI RAHI,"In her final breaths, the daughter of Ali repeatedly said"
,HAYE JEE BHAR KE TERA MUJHSE MATAM NA HUWA,I was not able to weep and lament over you as I had wished
