line id verse number,urdu transliteration text,english translation text
,"Banu ye abid ko batla rahi hai
Meri sakina ko neend aa rahi hai","Banu (Mother of Bibi Sakina) is telling Abid (a.s)
My Sakina is feeling sleepy.. [after many sleepless nights]"
,"Kehdo hawaon se aahista aayein
Tell the breeze to come slowly
Kehdo parindo se ghul na machayein
Tell the birds to stop chirping
Kehdo andheron se wapas na jayein
Jaagi huvi chain kuch pa rahi hai
My sleepless Sakina is finally getting some rest",Tell the darkness to not go back
,"Meri sakina ko neend aa rahi hai
Banu ye abid ko batla rahi hai
Meri sakina ko neend aa rahi hai","My Sakina is feeling sleepy.. [after many sleepless nights]
Banu (Mother of Bibi Sakina) is telling Abid (a.s)
My Sakina is feeling sleepy.. [after many sleepless nights]"
,"Shayad rasan ki aziyat hui kam
Madham karo bibiyon shor-e-matam
Ladies, please reduce the lamenting and wailing
Sajjad zanjeer bolay na is dum
Shayad ghamo ki ghadi ja rahi hai","Perhaps the tightness of the rope is reduced
Perhaps Sajjad's (a.s) chains are loosened now
Perhaps the time of suffering is coming to an end"
,"Meri sakina ko neend aa rahi hai
Banu ye abid ko batla rahi hai
Meri sakina ko neend aa rahi hai","My Sakina is feeling sleepy.. [after many sleepless nights]
Banu (Mother of Bibi Sakina) is telling Abid (a.s)
My Sakina is feeling sleepy.. [after many sleepless nights]"
,"Zinda ka dar zor se ab na kholo I
Please don't open the prison door with force
Ay pehradaro ab aahista bolo
Oh prison guards, speak softly now
Tum bhi to jaage ho kuch dayr so lo
Baba ki khusboo isay aa rahi hai","You also have been awake for so long, rest for a bit
The fragrance of her father is surrounding her"
,"Meri sakina ko neend aa rahi hai
Banu ye abid ko batla rahi hai
Meri sakina ko neend aa rahi hai","My Sakina is feeling sleepy.. [after many sleepless nights]
Banu (Mother of Bibi Sakina) is telling Abid (a.s)
My Sakina is feeling sleepy.. [after many sleepless nights]"
,"Ke ab dhadkane dil bhi ispe [gira hai]
Na bhai hai nazdeek na iski maa hai
Kano se khoon [goke] ab bhi rawan hai
Magar aankh bojhal ye samjha rahi hai","And even heartbeats are making her heart cry
Neither her brother nor her mother are nearby
Blood is still flowing from her ears [from her forcefully snatched ear rings]
But her eyes show that they are heavy with sleep"
,"Meri sakina ko neend aa rahi hai
Banu ye abid ko batla rahi hai
Meri sakina ko neend aa rahi hai","My Sakina is feeling sleepy.. [after many sleepless nights]
Banu (Mother of Bibi Sakina) is telling Abid (a.s)
My Sakina is feeling sleepy.. [after many sleepless nights]"
,"Ye sham-e-ghariban ki jaagi hui hai
Tamachon ke darr se nahi so saki hai
Zara ab galay se rasan jo khuli hai
Sukoon se jo ab saans le pa rahi hai","She has been awake from Shame Ghariban
Due to the fear of getting slaps, she has not been able to sleep
And now that the rope has loosened slightly from her neck
She is now finally able to breath comfortably"
,"Meri sakina ko neend aa rahi hai
Banu ye abid ko batla rahi hai
Meri sakina ko neend aa rahi hai","My Sakina is feeling sleepy.. [after many sleepless nights]
Banu (Mother of Bibi Sakina) is telling Abid (a.s)
My Sakina is feeling sleepy.. [after many sleepless nights]"
,"Main khush hoo ke soyegi meri dulaari
Mai qurban is ke main ab is ke waari
Bohat seh chuki dukh ye ghazi ki pyari
Magar nafs kuch aur batla rahi hai","I feel happy that my darling is going to sleep
May my life be sacrificed for her
This beloved of Ghazi (Abbas (a.s)) has carried a lot of pain and suffering
But her soul is telling a different story"
,"Meri sakina ko neend aa rahi hai
Banu ye abid ko batla rahi hai
Meri sakina ko neend aa rahi hai","My Sakina is feeling sleepy.. [after many sleepless nights]
Banu (Mother of Bibi Sakina) is telling Abid (a.s)
My Sakina is feeling sleepy.. [after many sleepless nights]"
,"Magar ye hua kya ke zindan roya
Badan rooh ke saath bachi ka soya
Na jaagi wo abid ne shaana hilaaya
Aur ab maa ye kehte bhi sharma rahi hai","But what has now happened that even the prison cried?
So much so, that her soul has left her body
She didn't wake up despite Sajjad (a.s) trying to wake her
And even her mother is shy to say the following"
,"Meri sakina ko neend aa rahi hai
Banu ye abid ko batla rahi hai
Meri sakina ko neend aa rahi hai","My Sakina is feeling sleepy.. [after many sleepless nights]
Banu (Mother of Bibi Sakina) is telling Abid (a.s)
My Sakina is feeling sleepy.. [after many sleepless nights]"
