line id verse number,urdu transliteration text,english translation text
,"Baba, Mere Baba","Baba, O my Baba"
,Shah Ki Laadli Jab Qaidi-e-Zindaan Hui,When the beloved daughter of the king became a prisoner in the prison
,"Roi Ghabraayi Bahut, Aur Pareshaan Hui","She was very afraid, and she cried a lot, and she was very troubled (by the enemies)"
,"Qaid Khaane Ki Ghutan, Mawt Ka Samaan Hui",(To the extent that) The suffocation of the prison became her luggage for the journey ahead
,Jaan Lagta Tha Ke Ma’ṣūm Ki Be-Jaan Hui,It was as if the life of the Ma’ṣūm became lifeless
,Laash Shabbir Ki Maqtal Mein Tadap Jaati Thi,The body of Shabbir would wince in the Maqtal
,"Qaid Khaane Se Jo, Bacchi Ki Sadaa Aati Thi","When he would hear the painful cries of the little girl from the prison, saying…"
,Ab Mujhe Koi Sakina Nahin Kehta Baba,"O Baba, no one calls me Sakina anymore"
,"Qaidi Kehta Hai Koi, Koi Yateema Baba","Someone calls me a prisoner, while others call me an orphan."
,Neel Rukhsaron Pe Binaayi Bhi Jiski Kam Ho,My cheeks have turned blue from the slaps and my vision has become blurred
,"Umr Ho Chaar Baras Aur Kamar Mein Kham Ho
Aapne Dekhi Hai Kya Aisi Zaifaa Baba","I am four years old, but my back is brokenHave you ever seen an aged girl like me Baba?"
,"Main Bayaan Kaise Karoon
Apni Museebat Tumse",How do I narrate to you my tragedy?
,Kya Karoon Apne Tamaacho(n) Ki Shikayat Tumse,How do I complain to you about the slaps that I endured?
,Sunti Hoon Daadi Ne Khaaya Tha Tamaacha Baba,When I’ve heard that my grandmother Fāṭimah al-Zahrā` (sa) was slapped as well!
,Khoon-e-Be-Sheer Se Andaaza Kiya Tha Maine,"Seeing the blood of the one who did not get any milk, I perceived what had happened"
,Aapka Chehra Toh Pehchaan Liya Tha Maine,I had seen the entire tragedy by the look on your face that day
,Aap Pehchaano(n)ge Kaise Mera Chehra Baba,"O Baba, how will you be able to recognize my face now?"
,Aap The Door Toh Main Saare Sitam Sehti Rahi,"While you were away, I endured all the afflictions and oppressions upon me"
,"Ro Padi Kufe Ke Darbaar Mein, Main Seh Naa Saki","But in the court in Kūfah, I could no longer bare when..."
,Aapke Saamne Jab Shimr Ne Mara Baba,"Shimr hit me in front of you, O Baba!"
,"Woh Toh Bimaar Thi, Mar Jaati, Safar Mein Aake","She was very sick, she would’ve died if she came on this trip with us"
,"Dafan Karte Use Bazaar Mein, Bhaiyya Kaise?",How would my brother have shrouded her in the middle of the market?
,Yeh Toh Accha Huwa Aayi Nahin Sughra Baba,"So it is good that Sughra did not accompany us on this trip, O Baba."
,Meri Aankhon se Bahe Jaate The Aansoon Uss Dam,The tears would not stop flowing down my eyes in that moment
,"Haath Bhi Maine Lagaya Nahin, Daadi Ki Qasam","But I did not extend my hand, I swear on my grandmother"
,"Dena Chaha Tha Mujhe, Logon Ne Sadaqah Baba","When the people tried to even give ME their sadaqa, O Baba!"
,"Uss Ghadi Dhoond Rahi Thi Main, Chacha Jaan Ka Sar",In that moment I was searching for the head of my beloved uncle (‘Abbās (as))
,Kaise Batlaoon Ke Kya Guzri Teri Beti Par,How do I explain to you what your daughter has endured?
,Haye Mujhko Zaalim Ne Kanizi Mein Jo Mara Baba,When the oppressor hit me in the moment of my servitude
,Bayn Yeh Karte Hi Khamosh Hui Woh Akbar,"O Akbar (the poet), once she narrated all of this to her father she became quiet:"
,Aaj Toh Jayenge Saath Apne Mujhe Bhi Lekar,"Today, I know he will take me with him"
,"Aapko Meri Qasam, Kijiye Waada Baba","For my sake, promise me you will O Baba!"
