line id verse number,urdu transliteration text,english translation text
,@HujjatELC,"Mujrai khalq main, In ankhon nay kya kya dekhaIn the creation made for me, my eyes have seen so muchEnglish Transliteration"
,"Par kahin sibte payambar sa na aqa dekha
@HujjatELC",But they never saw a master such as the Grandson of The Prophet (saw)
,"Ja ke Zainab ne Medinay main Kaha Sughra sai, Kahon kis moon say keh Pardes main kya kya dekha
@HujjatELC","When Zainab returned to Madina she said to Sughra (sa),
How do I find the words to tell you what I have seen in the foreign land
When Zainab returned to Madina she said
When Zainab returned to Madina she said"
,"Maine dekha alam e shah ko aaluda e khoonMaine abbas ko bejaan labe darya dekha
@HujjatELC","I saw the flag of Imam Hussain (a.s) drenched in blood,
I saw Abbas (a.s) lifeless by the river bank
When Zainab returned to Madina she said
When Zainab returned to Madina she said"
,"Maine dekha ali asghar ka gala khoon may tarMaine zaqmi ali akbar ka kaleja dekha
@HujjatELC","I saw the throat of Ali Asgher (a.s) soaked in blood,
I saw the liver of the injured Ali Akber (a.s)
When Zainab returned to Madina she said
When Zainab returned to Madina she said"
,"Ek ghatri shahe deen pusht pe laaye usmayMaine tukde huye qasim ka sarapa dekha
@HujjatELC","Imam Hussain (a.s) carried a bundle on his back,
Inside I saw the entire body of Qasim (a.s.) in pieces
When Zainab returned to Madina she said
When Zainab returned to Madina she said"
,"Berida qalq ne us bibi ke sarko dekhaJiski maadar ka kisi ne na janaza dekha
Humanity saw that holy lady (sa) without veil, whose mother’s funeral was not seen by anyone
@HujjatELC","When Zainab returned to Madina she said
When Zainab returned to Madina she said"
,"Hai kyun ho na, gayi kor, ke in aankhon ne    Kaidkhaane mei sakina ka janaza dekha
@HujjatELC","Why didn’t my eyes go blind, when I saw the funeral of Sakina in the prison
When Zainab returned to Madina she said
When Zainab returned to Madina she said"
,"Maine dekha, shahe mazloom ko, khanjar ke tale    Maine neze pe, sar e dilbare, Zahra dekha
@HujjatELC","I saw the oppressed Imam (a.s) under the dagger,
Then I saw the head of son of Syeda Zahra (sa) on a spear
When Zainab returned to Madina she said
When Zainab returned to Madina she said"
,"Zulm ay mujrai sajjad ne kya kya dekha    Ghar luta qaid huwe baap ka lasha dekha
@HujjatELC","O People! It is so cruel what Imam Sajjad (as) had to witness,
He lost his loved ones, his family members were imprisoned and he saw the body of his father (as.) without shroud
When Zainab returned to Madina she said
When Zainab returned to Madina she said"
,"Gir pare sibte nabi thaamke haatho se jigarAli Akbar ko jo reti pe tadapta dekha
@HujjatELC","The grandson of the Prophet (saw) fell on the ground holding his heart, When he saw Ali Akbar struggling on the plains of Karbala
When Zainab returned to Madina she said
When Zainab returned to Madina she said"
