line id verse number,urdu transliteration text,english translation text
,"NA AB HUSSAIN NA LASHKAR HUSSAIN KA HOGA
SITAM UTHAANE KO BIMAAR E KARBALA HOGA","No longer will Hussain and His Army be there (to protect women and children)
Alone will be Sajjad (Bemaar-e- Karbala) to bear all the Pain"
,"PATAKTI HONGI SAR APNA FURAT KI MAUJE
DHUAN JALE HUWE KHAIMON SE UTHH RAHA HOGA
Camps must be on Fire now, spreading smoke all around",Waves of river Furat must be repentant now (to have not aided the Holy Family)
,NA AB HUSSAIN NA LASHKAR HUSSAIN KA HOGA,No longer will Hussain and His Army be there (to protect women and children)
,"ZAMINE GARM PE TASHNA DAHAN PADE HONGE
SARON PE AB KOI SAAYAA NA REH GAYA HOGA","Thirst stricken Holy Family (of AhlulBayt) now lays on hottest of grounds
No Shelter (No Support), nothing of comfort can be found anymore"
,NA AB HUSSAIN NA LASHKAR HUSSAIN KA HOGA,No longer will Hussain and His Army be there (to protect women and children)
,"KISI NE BAALIYAAN KAANON KI CHHINLI HONGI
KOI TAMAACHE SAKINA KO MAARTA HOGA","Sakina bleeds now with her earrings snatched (by the enemy)
And she bears the pain of getting smacked (by the enemy)"
,NA AB HUSSAIN NA LASHKAR HUSSAIN KA HOGA,No longer will Hussain and His Army be there (to protect women and children)
,"ASIR HOKE NABI ZAADIYAAN CHALI HONGI
TO DIL KA HAAL KHUDA JAANE KYA HUWA HOGA","Distressed and detained, daughters of Prophet (s.a.w) travelled (to Shaam)
Only God knows how they survived (the utter pain)"
,NA AB HUSSAIN NA LASHKAR HUSSAIN KA HOGA,No longer will Hussain and His Army be there (to protect women and children)
,"LAHU SHAHIDON KA DEKHA JO HOGA ZAINAB NE
Watching the bloodshed of martyrs all around
TO DIL SE PYAAS KA EHSAS MIT GAYA HOGA",Zainab would have forgotten her thirst
,NA AB HUSSAIN NA LASHKAR HUSSAIN KA HOGA,No longer will Hussain and His Army be there (to protect women and children)
,"PADE HAI LAASH KE TUKDE KATE HAI BAAZU BHI
MAGAR SAKINANE PEHCHAAN TO LIYA HOGA","The Body has been scattered & slashed and arms have been severed
But Sakina would have surely recognized (her uncle Abbas)"
,NA AB HUSSAIN NA LASHKAR HUSSAIN KA HOGA,No longer will Hussain and His Army be there (to protect women and children)
,"ABHI NASIB MEN DURRE HAI AUR TAMAACHEN HAI
ABHI SAKINA KO PAANI KAHAAN MILAA HOGA","Beating and whipping is all that is left in (Sakina’s) fate
Her thirst has yet to be quenched"
,NA AB HUSSAIN NA LASHKAR HUSSAIN KA HOGA,No longer will Hussain and His Army be there (to protect women and children)
,"TUMHAARI PYAAS TO NAAWAKSE BUJGAYI ASGHAR
DILE RABAB MAGAR GHAM SE HUK RAHA HOGA","A Sharp arrow has put an end to your thirst, O Asghar!
Rubab’s heart (Asghar’s mother) must be sinking, God knows better!"
,NA AB HUSSAIN NA LASHKAR HUSSAIN KA HOGA,No longer will Hussain and His Army be there (to protect women and children)
,"ABHI SUKUN MUNAWWAR KAHAAN YATIMON KO
ABHI TO QAIDE MUSIBAT KA SAAMNA HOGA","It’s not an end to the pain of the Masooms just yet
As more distress and captivity awaits them"
,NA AB HUSSAIN NA LASHKAR HUSSAIN KA HOGA,No longer will Hussain and His Army be there (to protect women and children)
