line id verse number,urdu transliteration text,english translation text
,"@HujjatELC
Hai Teri Wafaon Ki Ajab Ghazi Kahani- Tales of your Loyalty Oh Abbas are Indescribable",NIKLA HAI JANAZA KOI ALLAH KE GHAR SEA COFFIN HAS EMERGED FROM THE HOUSE OF ALLAHEnglish Transliteration
,"Nikla Hai Janaza Koi Allah Ke Ghar Se
@HujjatELC
Hai Teri Wafaon Ki Ajab Ghazi Kahani- Tales of your Loyalty Oh Abbas are Indescribable",A COFFIN HAS EMERGED FROM THE HOUSE OF ALLAH
,"Aflak Mein ik Shoor Hai Matam Ke Asar Se
@HujjatELC
Hai Teri Wafaon Ki Ajab Ghazi Kahani- Tales of your Loyalty Oh Abbas are Indescribable",THE SKIES ARE ALSO WAILING FROM THE EFFECT OF ITS MOURNING
,"Nikla Hai Janaza Koi Allah Ke Ghar Se
@HujjatELC
Hai Teri Wafaon Ki Ajab Ghazi Kahani- Tales of your Loyalty Oh Abbas are Indescribable",A COFFIN HAS EMERGED FROM THE HOUSE OF ALLAH
,"Afoos Keh Masjid Mein Namazi Giya Mara.Kuch Kam Nahi Yeh Mehshar Qayamat Ke Asar Se
@HujjatELC
Hai Teri Wafaon Ki Ajab Ghazi Kahani- Tales of your Loyalty Oh Abbas are Indescribable","SO SAD A WORSHIPPER OF ALLAH GOT KILLED IN THE MOSQUE
IT IS NO LESS THAN EFFECT OF THE DAY OF JUDGEMENT"
,"Nikla Hai Janaza Koi Allah Ke Ghar Se
@HujjatELC
Hai Teri Wafaon Ki Ajab Ghazi Kahani- Tales of your Loyalty Oh Abbas are Indescribable",A COFFIN HAS EMERGED FROM THE HOUSE OF ALLAH
,"Zainab(SA) Se Yeh Keh Do Keh Woh Dil Khol Ke RoyeShabir(AS) Ki Hamsheer Hai Rone Ko Na Tarse.
PLEASE TELL ZAINAB TO CRY AND MOURN OPENLY
@HujjatELC
Hai Teri Wafaon Ki Ajab Ghazi Kahani- Tales of your Loyalty Oh Abbas are Indescribable","SHE’S SHABBIR’S SISTER, SHE SHOULD NOT BE DEPRIVED FROM MOURNING"
,"Nikla Hai Janaza Koi Allah Ke Ghar Se
@HujjatELC
Hai Teri Wafaon Ki Ajab Ghazi Kahani- Tales of your Loyalty Oh Abbas are Indescribable",A COFFIN HAS EMERGED FROM THE HOUSE OF ALLAH
,"Abbas(AS) Zara Zainab-e-Muztar(AS) Se Khabardar.Faryad Mein Hat Jaye Na Chadar Kahin Sar Se.
ABBAS PLEASE BEWARE OF ZAINAB, THE GRIEVED,
@HujjatELC
Hai Teri Wafaon Ki Ajab Ghazi Kahani- Tales of your Loyalty Oh Abbas are Indescribable",SEE THAT HER HIJAB STAYS WHILE SHE MOURNS
,"Nikla Hai Janaza Koi Allah Ke Ghar Se
@HujjatELC
Hai Teri Wafaon Ki Ajab Ghazi Kahani- Tales of your Loyalty Oh Abbas are Indescribable",A COFFIN HAS EMERGED FROM THE HOUSE OF ALLAH
,"Han Bhol Na Jana Inhein Kofe Ke Makeeno.Guzrein Gein Yeh Shehzadiyaan Iss Rah Guzar Se.
@HujjatELC
Hai Teri Wafaon Ki Ajab Ghazi Kahani- Tales of your Loyalty Oh Abbas are Indescribable","DO NOT FORGET THEM, OH, THE RESIDENTS OF KUFA
THESE PRINCESSES WILL PASS BY THESE STREETS"
,"Nikla Hai Janaza Koi Allah Ke Ghar Se
@HujjatELC
Hai Teri Wafaon Ki Ajab Ghazi Kahani- Tales of your Loyalty Oh Abbas are Indescribable",A COFFIN HAS EMERGED FROM THE HOUSE OF ALLAH
,"Shabir(AS) Ko Yaad Aa Gayi Khud Apni Sakina(SA).Zainab(SA) Ko Hataya Giya Jab Lash Padar Se.
SHABBIR RECALLED HIS OWN DAUGHTER, SAKINA
@HujjatELC
Hai Teri Wafaon Ki Ajab Ghazi Kahani- Tales of your Loyalty Oh Abbas are Indescribable",WHEN ZAINAB WAS BEING FORCEFULLY REMOVED FROM HER FATHER’S CORPSE
,"Nikla Hai Janaza Koi Allah Ke Ghar Se
@HujjatELC
Hai Teri Wafaon Ki Ajab Ghazi Kahani- Tales of your Loyalty Oh Abbas are Indescribable",A COFFIN HAS EMERGED FROM THE HOUSE OF ALLAH
,"Yaad Aa Giya Zainab(SA) Ko Woh Pehlu-e-Shakista.Roomal Hataya Giya Baba Ke Jo Sar Se..
ZAINAB RECALLED HER MOTHER’S BROKEN RIB
@HujjatELC
Hai Teri Wafaon Ki Ajab Ghazi Kahani- Tales of your Loyalty Oh Abbas are Indescribable",WHEN THE CLOTH WAS REMOVED FROM HER FATHER’S HEAD
