line id verse number,urdu transliteration text,english translation text
,,"The people who walk have sworn, The flag of Abbas will not fall. Take our word for it, until Qiyama we’re loyal"
,يابو فاضل يا عباس,
,,"It’s not in our nature to leave you, oh the one who gave his arms. As we approach Karbala, the important thing is to see your shrine"
,يابو فاضل يا عباس,
,,"We walk despite our enemies, your flag we hold high.
Wearing our shrouds, we eagerly wait for our meeting"
,يابو فاضل يا عباس,
,,"We rub in dust the noses of those who try to chain us.
We are going to our beloved, we don’t care whatever you do to us"
,يابو فاضل يا عباس,
,,"We are the people of strength, and our slogan Is one. We challenge and respond to the people that harm us by walking come what may"
,يابو فاضل يا عباس,
,,"Despite the people that hate us, it is in our nature to keep going. Even if you killed all and one person remained, he would still keep alive the walk!"
,يابو فاضل يا عباس,
,,"We give whatever we have, for the walk brings us together. Let the jealous burn in their jealousy, for Karbala is our destination"
,يابو فاضل يا عباس,
