line id verse number,urdu transliteration text,english translation text
,Qayamat Ban Kay Din Ashoor Ka Zainab Pay Aaya Hai,"The day of Ashura became the day of Qiyamat, and befell Zainab"
,Hazaron Qatilon Kay Darmeyan Zehra Ka Jaaya Hai,The beloved son of Zahra is surrounded by thousands of murderers
,Kiya Veeran Ik Jhoola Ujara Aik Madar Ko,"By destroying the cradle, you took away a mother’s hope"
,Bata Aey Qatil-e-Asghar Tere Kya Haath Aaya Hai,"Tell me oh murderer of Asghar, what did you achieve?"
,Kahan Dhoonday Ali Asghar Ko Mader Kis Taraf Jaaey,"Where will Ali Asghars mother find him, which way should she go?"
,Andheri Raat Hai Baysheer Nay Jungle Basaya Hai,"It's a dark night, Baysheer has settled in the outdoors."
,Sada Zehra Ki Aati Thi Utho Ghazi Sahara Do,"The call of Zahra echoes, 'Stand up Abbas, and give support'."
,"Mere Bete Nay Tanha Laasha-e-Akbar Uthaya Hai
My son single-handedly lifted the corpse of Akbar",
,"Sakina Roee Hai Shayad Tamachay Shimr Nay Maaray
Sakina is crying,
maybe Shimr (LA) has struck her",
,Badal Ker Kervateyn Ghazi Ka Laasha Thar Tharaya Hai,"Turning left and right restlessly, the flagbearer is suffering in his grave"
