line id verse number,urdu transliteration text,english translation text
,Kahan jaaye aakhir bayabaan har soo,Where can she go when there is hostility everywhere
,Shikasta hay pehloo akeli hay Zehra,"Her ribs are broken, Zahra is alone"
,Kahan jaaye aakhir bayabaan har soo,Where can she go when there is hostility everywhere
,Shikasta hay pehloo akeli hay Zehra,"Her ribs are broken, Zahra is alone"
,Rone pe pehra masayab ka sehra akeli hay Zehra,"Her mourning is curtailed, a garland of sorrow, Zahra is alone"
,Dar e Fatema ko jalaya hay tumne,You have burned the Fatema’s door
,Kiya waada apna bhulaya hay tumne,Have you forgotten your covenant
,Tamache na maaro musalmano jaao,"Do not slap her, O Muslims leave (her alone)"
,"Ali ko bulaao akeli hay Zehra
Call Ali, Zahra is alone",
,Rone pe pehra masayab ka sehra akeli hay Zehra,"Her mourning is curtailed, a garland of sorrow, Zahra is alone"
,Bayaan kis se jaakar karoon dard apna,Whom can I confide my pain
,hay ghairon ki duniya nahi koi apna,"It is a world of strangers, there is no support(for us)"
,"Koi jaake baba se keh do ye jaa kar
Someone go and tell father this",
,Ke le jaao aa kar akeli hay Zehra,"Please take me from here, Zahra is alone"
,Rone pe pehra masayab ka sehra akeli hay Zehra,"Her mourning is curtailed, a garland of sorrow, Zahra is alone"
,Aey lakhte jigar aey Hasan ibne Haider,"O my heart, Hasan son of Haider"
,Ye nana ke pehlu me sone na dain gar,If they do not let you rest beside grandfather
,"Tum aa jana pehlu me so jana maa ke
Come and rest beside your mother",
,"Baqi me yahan par akeli hay Zehra
Zahra is alone in Baqi",
,Rone pe pehra masayab ka sehra akeli hay Zehra,"Her mourning is curtailed, a garland of sorrow, Zahra is alone"
,Shahe karbala ne kaha roke maa se,The King of Karbala wept and said to his mother
,Ye mazloom bete ne mazloom maa se,From an oppressed son to an oppressed mother
,"Akela hoon main bhi akeli hain Zainab
I am alone as well as Zainab",
,"Akele hain baba akeli hain Zehra
Father is alone, Zahra is alone",
,Rone pe pehra masayab ka sehra akeli hay Zehra,"Her mourning is curtailed, a garland of sorrow, Zahra is alone"
,"Sare marg Akhtar tha Zehra ka nauha
Akhtar, this was Zahra’s lament",
,Kab aaoge Mehdi kab aaoge beta,"When will you appear Mahdi? When will you appear, my son"
,Khuda ke liye ab ye parda hata do,"Remove this veil, for the sake of God"
,"Chale aao aao akeli hay Zehra
Please come , come Zahra is alone",
,Rone pe pehra masayab ka sehra akeli hay Zehra,"Her mourning is curtailed, a garland of sorrow, Zahra is alone"
,Shikasta hay pehloo akeli hay Zehra,"Her ribs are broken, Zahra is alone"
