line id verse number,urdu transliteration text,english translation text
,"Ask Sajjad!
Sajjad se poocho",
,Afsoos nabi zadiyoon ka Shaam may jana,"Unfortunate, the caravan had to go to Shaam"
,"Ask Sajjad!
Sajjad se poocho",
,Sar nangay woh maa behnoon ka darbar may jana,Without a head cover they had to go in the court
,"Ask Sajjad!
Sajjad se poocho",
,"Chupti thi nabi zadi nabi zadi ke peechay
kis sharm-o-haya say",Nabi Zaadi used to hide behind a Nabi Zaadiwith such modesty
,Aur Shimr ka un bibiyoon kay naam batana,
,"Ask Sajjad!
Sajjad se poocho",
,"Baithay huay darbar may sab chootay baray thay
Sadaat Kharay thay",
,Sar tasht may rakkha hua Zainab ko dikhana,
,"Ask Sajjad!
Sajjad se poocho",
,Jab dukhtaray Shabbir nay zindaan may qaza ki - aafat ki ghari thi,
,woh nanhi si mayyat bandhay hathon se uthana,
,"Ask Sajjad!
Sajjad se poocho",
,Jab ghusl Sakina ko wahan day chuki ghassal - tha sab ka boora haal,
,Us nanhi si mayyat par nishaan rassi ke paana,
,"Ask Sajjad!
Sajjad se poocho",
,Thi aik rasan bara aseeron kay galay thay - sab chupke kharay thay,
,Rassi may bandhay Zainb-e-Kulsoom ka aana,
,"Ask Sajjad!
Sajjad se poocho",
,Sar Hazrat-e-Muslim ka latakta tha jahan par - waan sheh ka ruka sar,
,Dur Abid-e-beemar ko us waqt lagana,
,"Ask Sajjad!
Sajjad se poocho",
,Jab bali Sakina ko ghusl datay thay Sajjad - faryad hay faryad,
,Us nanhi si gardan pe nishaan rassi ke paana,
,"Ask Sajjad!
Sajjad se poocho",
,Ghash kha ke giray Syed-e-Sajjad zameen par - barpa hua mehshar,
,Naizay ki ani se unhain us waqt uthana,
,"Ask Sajjad!
Sajjad se poocho",
,Jab qaid-e-sitamgar se chutey Aal-e-payambar ek shor tha ghar-ghar,
,Aththara azeezon ki lahad aakey banana,
,"Ask Sajjad!
Sajjad se poocho",
,"Akbar jo girey ghodey se kahney lagey Shabbeer, beta teri taqdeer",
,Ek zalim-e-be deen ka yun naiza lagana,
,"Ask Sajjad!
Sajjad se poocho",
