line id verse number,urdu transliteration text,english translation text
,"Saraa Jahaan Mein Hussain (as)
Hussain (as)
The whole universe says
Hussain (as) Hussain (as)",
,"Ya Hussain, ya hussain,
ya Hussain, ya hussain",
,"(Urdu)
Sara jahaa(n) mei Hussain Hussain
The whole universe says
“Hussain (as) Hussain (as)”",
,"Har aik aan me hussain hussain
Every age in history has said
“Hussain (as) Hussain (as)”",
,"zaman zaman mei hussain hussain
Generation after generation has said
“Hussain (as) Hussain (as)”",
,"Har ik zabaan mei Hussain Hussain
Every language in the world says
“Hussain (as) Hussain (as)”",
,"Hussain (as), Hussain (as), Hussain (as)
Hussain (as), Hussain (as), Hussain (as)",
,"(Urdu)
Har ik zuban me har ik jaga, Har reet me hota hai aza","In every language and city in the world, the remembrance of Hussain (as) happens in many ways"
,"Saare zabaa(n) hai alag magar, Hussai(n) hai sab ko mila raha",All of us are from different backgrounds and origins but we are united by the name “Hussain (as)”
,"Kyu(n) dundhe ham iska mayina, Nahi hai kuchh isme sochna",Why do people look for a reason for this miracle when the answer is so simple?
,"Juloos aur nohay aur aza, Duae Zahra ki hai sila",The things that bring us together (the aza of Hussain (as)) are the result of Lady Zahra’s (SA) supplication
,"Hussain (as), Hussain (as), Hussain (as)
Hussain (as), Hussain (as), Hussain (as)",
,"(Arabic)
Anta fil bahrin-najaat, nooruka sirrun lil hayaat",You are the sea of salvation and the source of all life is your light
,"Nahtifu bismika lil mamaat, thaaruka laa nansa hayhaat",We will proclaim your name until our deaths and we will never forget your revolution
,"Zainabu nadaat fil falaat, ayna kafeeli fish-shiddaat",We will never forget when Zainab (sa) cried out from Till-e-Zainabiya “Who will be my protector in hardship?”
,"Saaqeena min adhbil-furaat, waylun waylun lit-tughaat","The waves of Al-Furat wash over our thirst quencher, woe upon you oh tyrants!"
,"Hussain (as), Hussain (as), Hussain (as)
Hussain (as), Hussain (as), Hussain (as)",
,"Raaham bede biam Agha, Too Haramet ye baar dige",Oh Master please allow me to visit your shrine again
,"Az Hame Jaa roonde manam, Ooni ke Jaa Moonde Manam",.. I am the one who has been expelled from everywhere. I am the one who is all alone..
,"Ooni ke baal o paresho, Eshghe to Soozoonde manam",…I am like a bird whose feathers and wings have been burnt in your love.
,"Hussain (as), Hussain (as), Hussain (as)
Hussain (as), Hussain (as), Hussain (as)",
,,"By giving your head but not your hand, You showed us all how to make a stand"
,,"Against oppression and evil plans, You are the guidance to all of man"
,,"This promise was made when times began, Throughout the whole world your name will span"
,,"In every race and in every clan, Hussain will live on in every land"
,"Hussain (as), Hussain (as), Hussain (as)
Hussain (as), Hussain (as), Hussain (as)",
,"(Gujrati)
Hussain nu matam ne joyilyo, Chod so varas nu che mojizo",Let the world look at the remembrance of Hussain (as) because it is a 1400 year old miracle
,"Jyarsudhi jivta amme hasso, Tammone pursa deta reso",For as long as we are alive we shall continue to remember you
,"Jaba(n) nu mohtaj aza nathi, Hussain nu naam che atyaar sudhi",The aza of Hussain (as) is not limited by language. Hussain’s (as) name has lived on until today
,"Tamara jevi barabari, Duniya ma koyi aywu nathi",No person in the history of the world can have this claim
,"Hussain (as), Hussain (as), Hussain (as)
Hussain (as), Hussain (as), Hussain (as)",
,"(Katchii)
Paanke bulayo karbobala, achine ziyarat kare ada",Please call us to Karbala so that we can perform your Ziyarah
,"paanke naseeb thye ainjo mazaar, huda achine kare aza",May we all have the ability to see your shrine one day so that we may come and pay your our respects
,"hi matam ayn Zahra ji dua, inthi mileto panke khuda","This remembrance of Hussain (as) is the prayer of Fatema (sa), it takes us closer to Allah (swt)"
,"hi matam ayn panji dil ji shifa, hi matam ayn panji ruh ji  giza","It is the cure for the ailments of the heart, and is the sustenance for our souls"
,"Hussain (as), Hussain (as), Hussain (as)
Hussain (as), Hussain (as), Hussain (as)",
,"(Swahili)
Hussain Hussain wa na sema watu, Wote wa na liya killa siku",People throughout the world say “Hussain (as) Hussain (as)” and cry in your name every day
,"Ume fandisha ulimwengu, Katika moyoni ya watu",You have left this message in the hearts of people throughout the world
,"killa siku iko Ashura, Killa ardhi iko karbobala
Every day is Ashura and every land is Karbala",
,"Wewe ume okowa islam, Wewe huta sahaaw lika",You are the saviour of Islam and for that you will never be forgotten
,"Hussain (as), Hussain (as), Hussain (as)
Hussain (as), Hussain (as), Hussain (as)",
,"(Arabic)
Sirruka min allahi saar, awsal islaam al-mukhtaar",Even Allah (swt) endorses your remembrance oh Saviour of Islam
,"Hussainun minni ya ahraar, man aadhaahu bi qa’rin-naar",The Prophet (pbuh) himself has said: “Hussain (as) is from me oh people and whoever hurts him will be thrown in hell”
,"Al-mahdi yadh’haru biftikhaar, yahmilu sayfan dhul-fiqaar",Al-Mahdi (as) will return with pride holding the Dhulfiqar
,"Ya yubqi minal ashraar, yarfa’u raayaatil-karraar",He will fight holding the flag of Islam and all the oppressors will cease to exist
,"Hussain (as), Hussain (as), Hussain (as)
Hussain (as), Hussain (as), Hussain (as)",
,"(Urdu)
Ye faisla hai ke karbobala, Hai inqelaab ka ye mayina",Without a doubt Karbala is the embodiment of the word “revolution”
,"Har aik momin ki hai baqa, Har aik zalim ki hai qaza","It serves as the existence and hope of the pure hearted, and serves as the means for destruction of all evil"
,"“Tejani” zinda rahe aza, Sara jahaa(n) me ho ye sada",“Tejani” may this aza live on forever. May the whole universe call out..
,"Har aik zaban ki ho bus buka, Labbayk labbayk Hussain maula mera","In every dialect of every language:
“Labbayk Labbayk Hussain (as) our master!”"
,"Hussain (as), Hussain (as), Hussain (as)
Hussain (as), Hussain (as), Hussain (as)",
