line id verse number,urdu transliteration text,english translation text
,"SHABBIR KO SAJDAY MAIN ZIBAH KISNAY KIYA HAIWHO SLAYED SHABBIR IN SAJDAHEnglish Transliteration
@HujjatELC
Shabbir Ko Sajday Main Zibah Kisnay Kiya Hai - Who has slain Shabbir in Sajdah",
,"Shabbir Ko Sajday Main Zibah Kisnay Kiya Hai
@HujjatELC
Shabbir Ko Sajday Main Zibah Kisnay Kiya Hai - Who has slain Shabbir in Sajdah",WHO HAS SLAINED SHABBIR IN SAJDAH?
,"Mazloom Kay Matam Say Humay Roknay Walon
Ghaar Fatima Zahra Ka Tabah Kisnay Kiya Hai
@HujjatELC
Shabbir Ko Sajday Main Zibah Kisnay Kiya Hai - Who has slain Shabbir in Sajdah","TRYING TO STOP US MOURNING FOR THE OPRESSED IMAM,
WHO HAS DESTROYED AND PILLAGED THE HOUSE OF ZAHRA"
,"Khaimay Bhi Jaalahay Toh Ridayen Bhi UthariSyedaniya Saar Nangay Khari Roti Thi SaariHindu Thay Yahudi Thay Isayi Ya Koyi AurItna To Bata Do Yeh Gunah Kisnay Kiya Hai
@HujjatELC
Shabbir Ko Sajday Main Zibah Kisnay Kiya Hai - Who has slain Shabbir in Sajdah","TENTS WERE BURNT AND VEILS WERE SNATCHED,
DAUGHTERS OF PROPHET CRYING FOR THEIR HIJABS,
WERE THEY HINDUS, JEWS, CHRISTIANS OR SOMEONE ELSE?
DO TELL US WHO PERPETRATED THESE ATROCITIES?"
,"Baysheer Kay Halqoom Pe Jab Teer Laga ThaAur Pyaas Se Masoom Ka Haye Khuskh Gala ThaAsghar Nay Zubaan Honton Pay Jab Peri Thi LogoTab Khoon Se Tar Khuskh Gala Kisnay Kiya Hai
@HujjatELC
Shabbir Ko Sajday Main Zibah Kisnay Kiya Hai - Who has slain Shabbir in Sajdah","WHEN THE THIRSTY BABY GOT THE ARROW IN HIS NECK,
AND HE WAS DISTRAUGHT WITH SEVERE THIRST,
WHEN ASGAR PUT HIS TOUNGE ON HIS PARCHED LIPS,
WHO QUENCHED HIS THIRST WITH A BLOODY ARROW?"
,"Zanjeero May Jakrah Huwa Sajaad MuhariAur Shimr Kay Zulmo Se Dari Bibiyan SaariJis Bibi Ka Suraj Bhi Haya Karta Tha Chup KarUss Bibi Kay Sar Ko Bayrida Kisnay Kiya Hai
BOUND WITH CHAINS SAJJAD IS THE CARAVAN LEADER,
@HujjatELC
Shabbir Ko Sajday Main Zibah Kisnay Kiya Hai - Who has slain Shabbir in Sajdah","AND ALL THE LADIES ARE FRIGHTENED BY THE CRUELTY OF SHIMR,
THE LADY WHOSE HIJAB WAS RESPECTED BY THE SUN,
WHO SNATCHED AWAY THE VEIL OF ZAINAB?"
,"Barchhi Nay Jo Cheera Ali Akbar Kay Jigar KoHaye Kaisay Uthaya Meray Mola Nay Pisar KoLaila Ka Pisar Lagta Tha Tasveer Nabi KiSarkar-e-risalaat Ka Haya Kisnay Kiya Hai
THE SPEAR TORE THROUGH THE HEART OF ALI AKBAR,
@HujjatELC
Shabbir Ko Sajday Main Zibah Kisnay Kiya Hai - Who has slain Shabbir in Sajdah","O’ HOW COULD MY MOLA LIFT HIS YOUTHFUL SON,
LAILA’S SON WAS THE REPLICA OF THE PROPHET,
WHO COMMITTED THESE CRIMES ON ALI AKBAR?"
,"Apno Kay Bhi Maiyat Pay Nah Tum Ashkh BahaoNa Pursa-ay Shabbir Peh Nah Pehray LagaoBay Goro Kafan Run May Raha Shah Ka LashaDafna Nay Ka Tab Farz-e-ada Kisnay Kiya Hai
@HujjatELC
Shabbir Ko Sajday Main Zibah Kisnay Kiya Hai - Who has slain Shabbir in Sajdah","IF YOU DON’T SHED TEARS FOR YOUR OWN DEAD,
DON’T STOP US FROM MOURNING AND CRYING FOR SHABBIR,
THE BODY OF SHABBIR IS WITHOUT A SHROUD,
WHO PERFORMED THE RITES OF BURIAL FOR THESE MARTYRS?"
,"Abbas-e-wafadaar Ka Parcham Hai NishaniYaad Aayi Isay Dekh Ke Karbal Ki KahaniJo Haath Teh Zahra Ki Duawon Kah NateejaUn Haathon Ko Shaahno Seh Juda Kisnay Kiya Hai
@HujjatELC
Shabbir Ko Sajday Main Zibah Kisnay Kiya Hai - Who has slain Shabbir in Sajdah","LOYAL ABBAS’S FLAG IS A SIGN FOR US,
WE WILL RECALL KARBALA EVERYTIME WE SEE IT,
THOSE ARMS WERE THE ANSWER TO ZAHRA’S PRAYERS,
WHO SEVERED THOSE ARMS FROM THE SHOULDERS?"
,"Akhtar Ko Yeh Ek Masla Sabhi Mulla Bata AyKis Jurm May Looti Gayi Karbal May RidaaenDarbaar May Khutba Jo Parha Bintay Ali NayAzaano Se Phir Showr Bapa Kisnay Kiya Hai
PLEASE TELL AKHTHAR (POET) ALL THE MULLAS,
@HujjatELC
Shabbir Ko Sajday Main Zibah Kisnay Kiya Hai - Who has slain Shabbir in Sajdah","WHY THE VEILS WERE SNATCHED IN KARBALA?
AS ZAINAB SPOKE IN COURT OF THE TYRANT,
WHO TRIED TO DROWN HER VOICE BY RECITING ADHAAN?"
