line id verse number,urdu transliteration text,english translation text
,Surae Kahf Sunata Hai Ye Sar Kiska Hai,"Reciting Surah Kahf, whose head is this?"
,Khoon Ankho Se Bahata Hai.Ye Sar Kiska Hai,"Crying tears of blood, whose head is this?"
,,"Chalte Chalte Jo Sakina (S.a.) Kahi Gir Jati Hai
Whenever Sakina falls while she is walking"
,Khudko Naize Se Girata Hai. Ye Sar Kiska Hai,"It throws itself off the spear, whose head is this?"
,,"Jis Taraf Jata Hai Bazar Me Sar Akbar (A.s.) Ka
Whichever way the head of Akbar goes in the bazaar,"
,Us Taraf Dekhta Jata Hai. Ye Sar Kiska Hai,"It keeps looking that way, whose head is this?"
,Raat Hoti Hai To Masoom Si Ek Bachi Ko,"When it becomes dark, to this little innocent girl"
,Lori Naize Se Sunata Hai Ye Sar Kiska Hai,"It sings lullabies from the top of the spear, whose head is this?"
,Ye Sama Kaash Na Dekhe Koi Khwahar Iski,If only any sister of his was not present to see this moment
,Shimr (L.a.) Zulfo Se Uthata Hai Ye Sar Kiska Hai,"Shimr is picking it up by its hair, whose head is this?"
