line id verse number,urdu transliteration text,english translation text
,"Tabootay Hassan par hai, kiyu teeron ka siya hai",Woe! Why is there a shadow of arrows over Hassan’s coffin?
,"Peh-chanoo Muslamano, ye Zahra ka jaya hai",Recognize Oh Muslims! This is Zahra’s son!
,"Tabootay Hassan par hai, kiyu teeron ka siya hai",Woe! Why is there a shadow of arrows over Hassan’s coffin?
,"Zainab ki aahow-zaree se, koharam macha harsu","From the lamentation of Zainab, arises wailing in all directions"
,"Nana ki nishani ko, kiyu zehar pilaya hai",Why has my Grandfather’s heir been poisoned?
,"Tabootay Hassan par hai, kiyu teeron ka siya hai",Woe! Why is there a shadow of arrows over Hassan’s coffin?
,"Lay jaoo janazay ko, ye kis ne kaha logo","“Who asked you to bury the coffin, O people?”"
,"Ahsan risalat ka, teeron say lutaya hai",“Now we will return the favour of Prophethood with arrows.”
,"Tabootay Hassan par hai, kiyu teeron ka siya hai",Woe! Why is there a shadow of arrows over Hassan’s coffin?
,"Tukaray jiggar kay tamay, Karbobala ki khatir
Qasim ki jiwani ko, taweez banaya hai",
,"Tabootay Hassan par hai, kiyu teeron ka siya hai",Woe! Why is there a shadow of arrows over Hassan’s coffin?
,"Peh-chanoo Muslamano, ye Zahra ka jaya hai",Recognize Oh Muslims! This is Zahra’s son!
,"Tabootay Hassan par hai, kiyu teeron ka siya hai",Woe! Why is there a shadow of arrows over Hassan’s coffin?
