line id verse number,urdu transliteration text,english translation text
,"HAYE ZEHRA TERI TANHAI HAI TANHAI ALI KI
Tanhai Ali Ki","O Zahra, your loneliness is the loneliness of Ali"
,HAYE GHAM MAY TERE JAATI RAHI BEENAYI ALI KI,"In your sorrow, Ali is losing his vision"
,TERI TANHAI HAI TANHAI ALI KI,Your loneliness is the loneliness of Ali
,DARBAR MAY ZAALIM KE GAYI BINTE PAYAMBAR,The daughter of the Prophet went to court of the unjust
,KYA WAQT THA KUCH KAR NA SAKA FAATAHE KHYBER,What a time that was? The conqueror of Khyber could not do anything
,HAYE HASTE RAHE GHURBAT PE TAMASHAYI ALI KI,The audience laughed at the helplessness of Ali
,TERI TANHAI HAI TANHAI ALI KI,Your loneliness is the loneliness of Ali
,KEHTE THAY ALI ZEHRA SE KYA HAAL HAI BIBI,"Ali would ask Zahra about her state, to which she replied…"
,AB HUM KO SALAM AAKE BHI KARTA NAHI KOI,“No one even says Salam to us”
,HAYE HAI BAADE NABI KAISI PAZEERAYI ALI KI,What a welcome Ali has received after the Prophet’s death?
,TERI TANHAI HAI TANHAI ALI KI,Your loneliness is the loneliness of Ali
,DAR JALTA HUA FATEMA ZEHRA PE GIRAYA,The burning door was slammed on Fatema Zahra (AS)
,MOHSIN KI SHAHADAT KA SABAB BANGAYI DUNYA,The world became responsible for the shahadat of Mohsin (AS)
,HAYE TASVEER MUKAMMAL NAHI HO PAYI ALI KI,Alas! The family of Ali remained incomplete
,TERI TANHAI HAI TANHAI ALI KI,Your loneliness is the loneliness of Ali
,BAAHAR KABHI HUJRE MAY KABHI QABRE NABI PAR,"Sometimes in the chambers, sometimes at the grave of the Prophet…"
,HAR RAAT KI TAREEKI MAY AULAAD SE CHUP KAR,"In the darkness of nights, hiding from his children…"
,"HAYE NIKLI HAI TUJHE DHOONDNE BEENAYI ALI KI
Ali’s eyes are searching for you everywhere",
,TERI TANHAI HAI TANHAI ALI KI,Your loneliness is the loneliness of Ali
,ZAHRA KI JUDAI KO LAGAYE HUE DIL SE,Keeping the separation of Zahra close to his heart…
,"PACHEES BARAS MAULA NE CHUP CHAAP GUZARE
Imam Ali kept silent for twenty five years",
,HAYE EK HUJRE MAY KUL DUNYA SIMAT AAYI ALI KI,Imam Ali’s world was confined to just once chamber of the house
,TERI TANHAI HAI TANHAI ALI KI,Your loneliness is the loneliness of Ali
