line id verse number,urdu transliteration text,english translation text
,Teri raaha dekhtey hai(n),"Dedicated to Sayyid Muhammad A. Rizvi… who inspired in us the love of poetry for the Alhul Bayt.
Special Thanks to Sr. Asma… for editing.
We’re awaiting your return"
,"Aiy Imam-e-Zamana teri raaha dekhtey hai(n)
O Imam-e-Zamana we’re awaiting your return
Tujhe deekh ke yaad ayegi, Karbal ki kaahani","When we’ll see you we’ll remember, the events of Karbala"
,"Aiy Imam-e-Zamana teri raaha dekhtey hai(n)
O Imam-e-Zamana we’re awaiting your return",
,"Tujhe deekh ke do manzar yaad ayenge Farwa ko
Eik Tasht-me hai(n) eik hai(n), Sarwar ki jo aba mei(n)
Karbal-me jo tukre(n) hai(n), Qassim badan ke hai(n)","When Farwa see’s you she’ll remember two events
One is the tray and one is Hussain’s cloak
The pieces in Karbala are the those of Qassim’s body"
,Teri raaha dekhtey hai(n),We’re awaiting your return
,"Tujhe deekh ke Akbar ki yaad ayegi eik maa ko
Zainab-se koi puuche, Layla ki jo halaat hai(n)
Go ask Zainab, How Layla feels
Baba ka jo sahara tha, wo eriya(n) ragarta hai(n)","When she see’s you she’ll remember Akbar
The one who is the father’s support, he is digging his heels (dying)"
,Teri raaha dekhtey hai(n),We’re awaiting your return
,"Tujhe deekh ke yaad ayega Sajjad ko manzar
Naiyze-ke sahare-se, khara deekh raha hai(n)
Naiyze-pe charha kiska, sar ye jo para hai(n)","When Sajjad see’s you he’ll remember the event
(standing) With the support of the spear, he was watching
There upon the spear! Whose head is that?"
,Teri raaha dekhtey hai(n),We’re awaiting your return
,"Shayed mere Imam ye jawaab dain…
Perhaps my Imam will respond back…",
,"“Mujhe deekh ke batayega, Zainab ke masaeb tu
Abbasali kitna, likh likh ke parhe ga
Zainab-pe to masaeb, din raat pare hai(n)”","“When you see me you’ll tell me, What befell on Zainab
Abbasali how much will you write and retell?
For what befell on Zainab, befell on her during the day and the night!”"
,"Aiy Mere Chahne waale, teri raaha dekhta hu(n)","O the one who loves me, I’m awaiting your return (to me)."
,"Tujhe deekh ke yaad ayegi, Karbal ki kaahani
Aiy Imam-e-Zamana
meri raaha dekhtey hai(n)
O Imam-e-Zamana","When we’ll see you we’ll remember, the events of Karbala
He is awaiting my return (to him)."
