line id verse number,urdu transliteration text,english translation text
,"TUJE JULAA JULAA-OONLET ME ROCK YOUR CRADLEEnglish Transliteration
@HujjatELC",Tuje Julaa Julaoon Me Tuje Julaa Julaoon- Let me rock your cradle
,"Tuje Julaa Julaoon Me Tuje Julaa Julaoon
@HujjatELC","LET ME ROCK YOUR CRADLE
Tuje Julaa Julaoon Me Tuje Julaa Julaoon- Let me rock your cradle"
,"Mei Khawab Me Asgar Tuje
Lori Bhi Sunaawun
@HujjatELC","EVEN IN MY DREAMS I WILL SING YOU LULLABIES
Tuje Julaa Julaoon Me Tuje Julaa Julaoon- Let me rock your cradle"
,"Tuje Julaa Julaoon Me Tuje Julaa Julaoon
@HujjatELC","LET ME ROCK YOUR CRADLE
Tuje Julaa Julaoon Me Tuje Julaa Julaoon- Let me rock your cradle"
,"Lowt Awo Safar Se Ke Bari Deyr Huwi HaiBetab Hun Kab Se TujeSine Se Lagawoon
@HujjatELC","COME BACK FROM YOUR JOURNEY AS ITS BEEN TOO LONG,
I AM WAITING TO HOLD YOU CLOSE TO MY CHEST
Tuje Julaa Julaoon Me Tuje Julaa Julaoon- Let me rock your cradle"
,"Tuje Julaa Julaoon Me Tuje Julaa Julaoon
@HujjatELC","LET ME ROCK YOUR CRADLE
Tuje Julaa Julaoon Me Tuje Julaa Julaoon- Let me rock your cradle"
,"Koyi Muje Batlaa Ta Nahi Teri NishaniBarsaat Me Teeron Ki Kahan Dhoond Ne Jawoon
@HujjatELC","NOBODY IS TELLING ME OF WHERE YOU ARE,
HOW SHALL I FIND YOU IN THE RAIN OF ARROWS
Tuje Julaa Julaoon Me Tuje Julaa Julaoon- Let me rock your cradle"
,"Tuje Julaa Julaoon Me Tuje Julaa Julaoon
@HujjatELC","LET ME ROCK YOUR CRADLE
Tuje Julaa Julaoon Me Tuje Julaa Julaoon- Let me rock your cradle"
,"Sochaa Tha Teri Saal Ghira Ghar Me KaroongiTaqdir Ye Kehti HaiTeraa Sog Manawoo
@HujjatELC","I WAS HOPING THAT YOU WILL BE WITH ME AT YOUR BIRTHDAY,
BUT NOW I HAVE TO MOURN YOU
Tuje Julaa Julaoon Me Tuje Julaa Julaoon- Let me rock your cradle"
,"Tuje Julaa Julaoon Me Tuje Julaa Julaoon
@HujjatELC","LET ME ROCK YOUR CRADLE
Tuje Julaa Julaoon Me Tuje Julaa Julaoon- Let me rock your cradle"
,"Babaa Se Tere Teraa Janaza Naa UthegaaRukh Jaa Zaraa Abbas KoDaryaa Se Bulaawoo
@HujjatELC","IT WILL NOT BE EASY FOR YOUR FATHER TO CARRY YOUR BODY,
WAIT A WHILE LET ME CALL ABBAS FROM THE RIVER
Tuje Julaa Julaoon Me Tuje Julaa Julaoon- Let me rock your cradle"
,"Tuje Julaa Julaoon Me Tuje Julaa Julaoon
@HujjatELC","LET ME ROCK YOUR CRADLE
Tuje Julaa Julaoon Me Tuje Julaa Julaoon- Let me rock your cradle"
,"Ye Khoon Bharaa Kurtaa Ye Mati Me Bhare BaalSine Me Chupawoon KeMei Aankhon Se Lagawoon
@HujjatELC","YOUR CLOTHES ARE DRENCHED IN BLOOD AND YOUR HAIR ARE FILLED WITH DUST,
SHALL I HIDE YOU IN MY CHEST OR HUG YOU WITH MY EYES
Tuje Julaa Julaoon Me Tuje Julaa Julaoon- Let me rock your cradle"
,"Tuje Julaa Julaoon Me Tuje Julaa Julaoon
@HujjatELC","LET ME ROCK YOUR CRADLE
Tuje Julaa Julaoon Me Tuje Julaa Julaoon- Let me rock your cradle"
,"Is Tarhaa Koyi Ruth Ke Maa Se Nahi JataaTu Khud Hi Bataa De MeiTuje Kaise Manawoo
@HujjatELC","YOU CAN’T GO AWAY FROM YOUR MOTHER ANGRY
TELL ME YOURSELF HOW SHALL I PAMPER YOU
Tuje Julaa Julaoon Me Tuje Julaa Julaoon- Let me rock your cradle"
