line id verse number,urdu transliteration text,english translation text
,"Tujhe jhula jhulaoon
--",Please recite a Surah Fateha for the Marhumeen of all who made this translation possible
,"Tujhe jhula jhulaoon, mai tujhe jhula jhulaoon","I rock your cradle, I rock your cradle"
,Mai khwaab me asghar tujhe Lori bhi sunaoo,"Asghar, I sing a lullaby to you in my dreams, too"
,Laut aao safar se ke badi der hui hai,"Return from your journey, for you been gone too long
betaab hu kabse tujhe seene se lagaooI'm restless for a while (x2) to wrap you in my embrace"
,"Tujhe jhula jhulaoon, mai tujhe jhula jhulaoon","I rock your cradle, I rock your cradle"
,Koi mujhe batlata nahi teri nishani,"No one gives me any directions, how to find you
Barsaat me teero ki Kaha dhundhne jaooIn the shower of arrows how do I come out in search of you"
,"Tujhe jhula jhulaoon, mai tujhe jhula jhulaoon","I rock your cradle, I rock your cradle"
,"Socha tha teri saalgira ghar me karungi
Taqdeer ye kehti hai Tera sog manaooBut fate dictates of mourning your sorrow, instead",I had thought of celebrating your birthday at home (in Madina)
,"Tujhe jhula jhulaoon, mai tujhe jhula jhulaoon","I rock your cradle, I rock your cradle"
,Mai khwaab me asghar tujhe Lori bhi sunaoo,"Asghar, I sing a lullaby to you in my dreams, too"
,"Tujhe jhula jhulaoon, mai tujhe jhula jhulaoon","I rock your cradle, I rock your cradle"
,"Baba se tere tera janaza na uthega
Rukja zara abbas ko Darya se bulaooHold on, let me call Abbas from the riverbanks",Your father will be unable to carry your deceased body
,"Tujhe jhula jhulaoon, mai tujhe jhula jhulaoon","I rock your cradle, I rock your cradle"
,"Ye khoon bhara kurta ye matti me bhare baal
These blood stained clothes and dusty hair","Seene me chupau ke Mai aankho se lagaooShould I bury (the sorrow, with them) in my chest, or wipe my tears with them"
,"Tujhe jhula jhulaoon, mai tujhe jhula jhulaoon","I rock your cradle, I rock your cradle"
,"Is tarha koi rooth ke maa se nahi jaata
Tu khud hi bata de mai tujhe kaise manaoo","No one estranges from their mother like this
You tell me yourself how do I mourn you"
,"Tujhe jhula jhulaoon, mai tujhe jhula jhulaoon","I rock your cradle, I rock your cradle"
,"Rehan ke nauhe pe sada bano ki aai
Bano (Asghar's mother) wailed when she heard Rehan (poet's) eulogy
Mai aankho se ashko ke Samandar ko bahaoo",I shed oceans of tears from my eyes (in mourning Asghar)
,"Tujhe jhula jhulaoon, mai tujhe jhula jhulaoon","I rock your cradle, I rock your cradle"
,Mai khwaab me asghar tujhe Lori bhi sunaoo,"Asghar, I sing a lullaby to you in my dreams, too"
,"Tujhe jhula jhulaoon, mai tujhe jhula jhulaoon","I rock your cradle, I rock your cradle"
,"Tujhe jhula jhulaoon
--",Please recite a Surah Fateha for the Marhumeen of all who made this translation possible
