line id verse number,urdu transliteration text,english translation text
,Tum To Maqtal Main Basar Raat Karoge Baba,"You will spend the night lying on the battlefield, O Father"
,Kab Sakina Se Mulaqat Karoge Baba,"When will you meet Sakina again, O Father?"
,Baba Jis Waqt Bandha Hoga Rasan Main Yeh Gala,"O Father, When in ropes this neck will be tied"
,Aur Neze Pe Tera Sir Bhi Karega Giriya,And upon the lance your head shall cry
,Mujhse Is Haal Main Kya Baat Karoge Baba,How in that state will you talk to me?
,Tum To Maqtal Main Basar Raat Karoge Baba,"You will spend the night lying on the battlefield, O Father"
,Mujhko Maaloom Hai Ab Ghar Na Kabhi Jaoongi,I know that I shall never return home
,"Gutke Zindaan Ke Andhere Hi Main, Marjaoongi",In the darkness of the dungeons shall I suffocate and die
,Mere Bin Kaise Basar Raat Karoge Baba,"But how, without me, shall you spend your night?"
,Tum To Maqtal Main Basar Raat Karoge Baba,"You will spend the night lying on the battlefield, O Father"
,Baba Yeh Shimr Toh Rone Bhi Nahi Dega Mujhe,"Father, this Shimr will not allow me to cry"
,Neend Aayegi Toh Sone Bhi Nahi Deega Mujhe,Nor to slumber when I am drowsy
,Dil Pe Mehsoos Yeh Sadmaat Karoge Baba,"In your heart will you share this grief, O Father"
,Tum To Maqtal Main Basar Raat Karoge Baba,"You will spend the night lying on the battlefield, O Father"
,"Amaa Kehti Hai Ke Asghar Bhi Na Aab Aayega
Mother says that Asghar shall never return",
,Shab Ki Tariqi Main Bhaya Mera Ghabrayega,But in the darkness of the night will my brother take fright
,Door Kab Gham Ke Khayalaat Karoge Baba,"When will you alleviate this sorrow, Father?"
,Tum To Maqtal Main Basar Raat Karoge Baba,"You will spend the night lying on the battlefield, O Father"
,Nauha Rehan Sakina Ka Sare Maqtal Tha,O Rehan! This was Sakina’s elegy in the midst of the battlefield
,Gham Se Fatta Hai Sakina Ka Kaleja Baba,"Grief has torn my heart asunder, O Father"
,Apni Yaadein Bhi Mere Saath Karoge Baba,"Share your memories with me, O Father"
,Tum To Maqtal Main Basar Raat Karoge Baba,"You will spend the night lying on the battlefield, O Father"
