line id verse number,urdu transliteration text,english translation text
,Sakina aye Sakina,Sakina! Oh Sakina!
,"Get up Sakina, Let’s go to Karbala!
Utho Sakina Chalein Karbala",
,Zindann se jab riha hue sadate karbala,
,"Maa ne lipat k qabre sakina pe di yeh sada
Utho Sakina Chalein Karbala","Mother hugged the grave of Sakina and cried… Get up Sakina, Let’s go to Karbala!"
,"Choti si turbat pe maa ne kaha
Utho sakina chalein karbala","On the small grave … cried the mother…Get up Sakina, Let’s go to Karbala!"
,"Zindan se jata hai ab qafla
Utho Sakina Chalein Karbala","The caravan is setting off from the prisonGet up Sakina, Let’s go to Karbala!"
,"Mujhe shahzadi tumhari qasam
Na rakhun gi zindan se bahir qadam",By You! My princess! I will not set a  foot out of this prison indeed
,"Safar ki ab hoti hai tayarian
Amari mei bethe hai ahl e haram",Preparations to depart made … the household seated on the rides
,"Ghurbat ka mere tumhe wasta
Utho Sakina Chalein Karbala","Have my mercy on my lonelinessGet up Sakina, Let’s go to Karbala!"
,"Woh pehle k jese to ghurbat nahi
Aye bibi hamari woh halat nahi","Ghurbat, not like it used to be … O’ Lady! We are not like we used to be!"
,"Tumhe shamiyon se ab aye meri jaan
Kafan mangne ki zaroorat nahi",My dear! There is no need for a shroud from the people of Shaam anymore
,"Lo mil gai hai tumhari rida
Utho Sakina Chalein Karbala","Your chaadar has been returnedGet up Sakina, Let’s go to Karbala!"
,"Mujhe yaad asghar ki hai babasi
Lahad se woh mayat nikali gai","I remember Asghar’s helplessness,His body exhumed from the grave"
,"Akele mei rehne na dun gi tumhe
Bharosa nahi shamio ka koi","I will not let you stay alone,I do not trust the people of Shaam"
,Rehte hai charo taraf ashqian Utho Sakina Chalein Karbala,"Tyrants are stationed on all sides,Get up Sakina! Let’s go to Karbala!"
,"Yeh shami kahan tumko behlai gay
Tumhari lahad per nahi ai gay","The people of Shaam won’t look after you,Will never visit you at your grave!"
,"Rahay ga andhera hi zindan mei
Haram jab yahan se chale jai gay",When we are gone this prison will still remain in darkness
,"Kon ai ga phir jalane diya
Utho Sakina Chalein Karbala","Who will come to light a candle?Get up Sakina, Let’s go to Karbala!"
,"Kahani padar gi sunao gi mei
Agar neend ai sulao gi mei","I’ll tell you the story of your father,I’ll put you to bed, when you are feeling sleepy"
,"Akele na naqe pe bethu gi tum
Tumhay sath apnay bithao gi mei","You won’t mount the camel alone,I will make you sit with me!"
,"Ab to rasan mei na hoga gala
Utho Sakina Chalein Karbala","Your neck won’t be in the chains anymore,Get up Sakina, Let’s go to Karbala!"
,"Mujhe maar daale ga bus yahi ghum
Qamar hai bete tumhari tukham","This pain will kill meThis hunch of yours, my dear daughter!"
,"Waram bazou ka mujhe yaad hai
Tumhe to dikhai bhi deta hai kam","I still remember the bruises in your arms,and your eye sight is weak too"
,"Akbar se bibi mile gi shifa
Utho Sakina Chalein Karbala","From Akbar, you will get curedGet up Sakina, Let’s go to Karbala!"
,"Bari dair tehri hai darbar mei
Yahan per na roko ziyada unhe",She waited for a long time in the courtdon’t make her wait more here
,"K pehlu pe ek hath rakhe hue
Sada de rahi hai sakina tumhe","With her hand on her side,Sakina is calling you"
,"Lene ko ai hai khud sayedda
Utho Sakina Chalein Karbala","Sayeda herself has come to take you,Get up Sakina, Let’s go to Karbala!"
,"Thi zindan mei akber ajab woh ghari
Rehai pe roti thi her ek phoopi","Akbar, It was painful time in the prisons,every aunt was crying for freedom"
,"Idher khoon rota tha abid
udhar Sakina lahad mei tarapti rahi",Here Abid cried in tears of bloodthere Sakina was disturbed in her grave
,"Jab bhi yeh madar ne ro ker kaha
Utho Sakina Chalein Karbala",Whenever Mother cried and said:“Get up Sakina! Let’s go to Karbala”
