line id verse number,urdu transliteration text,english translation text
,@HujjatELC,"WOH NABI (SAW) KA JAANASHIN THAA HE WAS THE SUCCESSOR OF THE HOLY PROPHET,  FROM THE HOUSE OF ALLAHEnglish Transliteration"
,"Woh Nabi (Saw) Ka Jaanashin Thaa Woh Ali (As) Mara Gaya
@HujjatELC","HE WAS THE SUCCESSOR OF THE HOLY PROPHET,
IT IS THAT ALI WHO HAS BEEN MARTYRED"
,"Masjid E Kufa Sey Logon Aa Rahi Hai Ye Sada
@HujjatELC","O PEOPLE, A CRY IS HEARD FROM MASJID AL-KUFA"
,"Woh Nabi (Saw) Ka Jaanashin Thaa Woh Ali (As) Mara Gaya
@HujjatELC","HE WAS THE SUCCESSOR OF THE HOLY PROPHET,
IT IS THAT ALI WHO HAS BEEN MARTYRED"
,"Jis Ki Aamad Kay Leeye Deewarey Kaaba Shak HueHalat E Sajda Mey Uska, Khoon Masjid Mey BahaMasjid E Kufa Sey Logon Aa Rahi Hai Ye Sada
@HujjatELC","THE ONE FOR WHOSE ARRIVAL THE WALL OF THE KA’BA SPLIT,
HIS BLOOD WAS SHED WHEN HE WAS IN SAJDA (PROSTRATION)
O PEOPLE, A CRY IS HEARD FROM MASJID AL-KUFA"
,"Woh Nabi (Saw) Ka Jaanashin Thaa Woh Ali (As) Mara Gaya
@HujjatELC","HE WAS THE SUCCESSOR OF THE HOLY PROPHET,
IT IS THAT ALI WHO HAS BEEN MARTYRED"
,"Saazish E Ahley Saqifa Kaam Apna Kar GayeeAaj Sajdey Mey Ali (As) Par, Chal Gayee Teghey JafaaMasjid E Kufa Sey Logon Aa Rahi Hai Ye Sada
@HujjatELC","THE PLOT OF SAQIFA HAS REACHED ITS GOAL TODAY,
TODAY ALI HAS BEEN STRUCK BY A SWORD IN THE STATE OF PROSTRATION,
O PEOPLE, A CRY IS HEARD FROM MASJID AL-KUFA"
,"Woh Nabi (Saw) Ka Jaanashin Thaa Woh Ali (As) Mara Gaya
@HujjatELC","HE WAS THE SUCCESSOR OF THE HOLY PROPHET,
IT IS THAT ALI WHO HAS BEEN MARTYRED"
,"Kufiyo Khushiya Manaao Qatl Haider (As) Ho GayeKhaana E Zehra (Sa) Mey Lekin, Aaj Hai Matam BapaaMasjid E Kufa Sey Logon Aa Rahi Hai Ye Sada
@HujjatELC","OH PEOPLE OF KUFA, YOU CAN CELEBRATE TODAY, ALI HAS BEEN KILLED,
BUT TODAY THERE IS MOURNING IN THE HOUSE OF ZAHRA,
O PEOPLE, A CRY IS HEARD FROM MASJID AL-KUFA"
,"Woh Nabi (Saw) Ka Jaanashin Thaa Woh Ali (As) Mara Gaya
@HujjatELC","HE WAS THE SUCCESSOR OF THE HOLY PROPHET,
IT IS THAT ALI WHO HAS BEEN MARTYRED"
,"Kis Tarah Zainab (As) Ney Sun Li Ye Qayamat Ki KhabrHonsla  Bibi Ko Koi, Deney Wala Bhi Na ThaaMasjid E Kufa Sey Logon Aa Rahi Hai Ye Sada
HOW MUST ZAINAB HAVE HEARD THIS CALAMITOUS NEWS,
@HujjatELC","THERE WAS NO ONE TO GIVE HER ANY CONSOLATION,
O PEOPLE, A CRY IS HEARD FROM MASJID AL-KUFA"
,"Woh Nabi (Saw) Ka Jaanashin Thaa Woh Ali (As) Mara Gaya
@HujjatELC","HE WAS THE SUCCESSOR OF THE HOLY PROPHET,
IT IS THAT ALI WHO HAS BEEN MARTYRED"
,"Ambiya Noha Kuna Hai Rotey Hai Jinno BasharJaa Raha Hai Aaj Duniya, Sey Ali (As) Sher E KhudaMasjid E Kufa Sey Logon Aa Rahi Hai Ye Sada
@HujjatELC","THE PROPHETS ARE RECITING EULOGIES,
THE JINN & MANKIND ARE WEEPING,
TODAY ALI, THE LION OF GOD, IS DEPARTING FROM THIS WORLD.
O PEOPLE, A CRY IS HEARD FROM MASJID AL-KUFA"
,"Woh Nabi (Saw) Ka Jaanashin Thaa Woh Ali (As) Mara Gaya
@HujjatELC","HE WAS THE SUCCESSOR OF THE HOLY PROPHET,
IT IS THAT ALI WHO HAS BEEN MARTYRED"
,"Momino Tum Aaj Milkar Pursa Do Hasnain (As) KoUth Gaya Hai Unkey Sar Sey, Aaj Saaya Baap KaMasjid E Kufa Sey Logon Aa Rahi Hai Ye Sada
O MU’MINEEN, GATHER TOGETHER AND GIVE CONDOLENCES TO IMAM HASAN & HUSAIN,
@HujjatELC","TODAY THEY HAVE LOST THE GUARDIANSHIP/PROTECTION OF THEIR BELOVED FATHER,
O PEOPLE, A CRY IS HEARD FROM MASJID AL-KUFA"
,"Woh Nabi (Saw) Ka Jaanashin Thaa Woh Ali (As) Mara Gaya
@HujjatELC","HE WAS THE SUCCESSOR OF THE HOLY PROPHET,
IT IS THAT ALI WHO HAS BEEN MARTYRED"
,"Jaafri Mushkilkusha Kay Qatl Ka Noha Hai YeJoh Musalley Par Usikay, Khoon Sey Likkha Gaya..Masjid E Kufa Sey Logon Aa Rahi Hai Ye Sada
@HujjatELC","THIS IS A EULOGY ABOUT THE MARTYRDOM OF MUSHKIL KUSHA (SOLVER OF PROBLEMS) ALI,
THAT HAS BEEN WRITTEN ON THE PRAYER MAT WITH HIS OWN BLOOD,
O PEOPLE, A CRY IS HEARD FROM MASJID AL-KUFA"
,"Woh Nabi (Saw) Ka Jaanashin Thaa Woh Ali (As) Mara Gaya
@HujjatELC","HE WAS THE SUCCESSOR OF THE HOLY PROPHET,
IT IS THAT ALI WHO HAS BEEN MARTYRED"
